tipo_celular,module_size,EHBP1_MM,EHBP1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,184,0.171,28.0,21,9,42.86,1.13 (0.54-1.72),12,57.14,3.26 (2.67-3.85),2.25,1.82
T cells 18,610,0.282,99.0,98,13,13.27,1.63 (0.96-2.31),85,86.73,3.38 (3.06-3.69),12.59,2.73
astrocytes 5,499,0.169,54.0,32,0,0.0,NA,32,100.0,5.02 (4.53-5.52),NA,3.79
oligodendrocyte progenitor cells 7,448,0.044,1.0,108,0,0.0,NA,108,100.0,3.26 (2.82-3.69),NA,17.12
GABA neurons expressing GLU receptors 22,459,0.133,37.0,165,2,1.21,2.53 (2.34-2.73),163,98.79,5.11 (4.76-5.46),5.52,4.07
GLU like neurons 17,1316,0.157,76.0,101,0,0.0,NA,101,100.0,3.05 (2.70-3.40),NA,3.05
da like neurons 11,102,0.493,100.0,8,1,12.5,0.95 (NA-NA),7,87.5,3.07 (2.93-3.20),2.05,1.90
GABA neurons expressing GABA receptors 13,200,0.167,61.0,34,1,2.94,3.65 (NA-NA),33,97.06,3.90 (2.98-4.81),2.02,3.53
endothelial cells 9,1653,0.213,93.0,297,0,0.0,NA,297,100.0,3.67 (3.47-3.88),NA,5.52
oligodendrocytes 20,322,0.048,14.0,10,0,0.0,NA,10,100.0,1.41 (0.38-2.43),NA,5.13
GABA like neurons 14,1300,0.175,35.0,306,4,1.31,2.47 (1.57-3.37),302,98.69,5.14 (4.88-5.41),5.45,6.72
astrocytes 8,279,0.13,6.0,78,2,2.56,2.53 (2.34-2.73),76,97.44,4.37 (3.95-4.79),5.29,2.64
oligodendrocyte progenitor cells 12,254,0.277,49.0,37,2,5.41,2.53 (2.34-2.73),35,94.59,4.63 (4.04-5.22),2.15,2.49
oligodendrocytes 10,2107,0.169,58.0,358,13,3.63,1.63 (0.96-2.31),345,96.37,3.97 (3.78-4.16),58.23,7.64
connective tissue cells 21,183,0.176,13.0,32,0,0.0,NA,32,100.0,5.12 (4.48-5.76),NA,2.67
astrocytes 15,268,0.233,81.0,10,1,10.0,2.95 (NA-NA),9,90.0,3.80 (1.86-5.74),1.46,1.60
oligodendrocytes 16,149,0.19,44.0,70,0,0.0,NA,70,100.0,5.65 (5.18-6.12),NA,3.31
da neurons 6,553,0.165,72.0,124,1,0.81,0.40 (NA-NA),123,99.19,4.23 (3.84-4.61),3.77,3.03
astrocytes microglia 23,253,0.178,11.0,47,0,0.0,NA,47,100.0,2.84 (2.52-3.17),NA,3.08
astrocytes 4,220,0.19,64.0,63,0,0.0,NA,63,100.0,5.13 (4.57-5.69),NA,3.29
oligodendrocytes 0,117,0.189,73.0,4,0,0.0,NA,4,100.0,5.93 (4.98-6.88),NA,2.12
microglia 1,1615,0.12,65.0,161,13,8.07,1.63 (0.96-2.31),148,91.93,3.45 (3.18-3.72),22.02,3.97
oligodendrocytes 3,681,0.131,78.0,87,9,10.34,2.14 (1.37-2.91),78,89.66,2.64 (2.35-2.93),11.40,3.42
oligodendrocytes 2,407,0.188,79.0,122,12,9.84,1.69 (0.96-2.42),110,90.16,3.56 (3.16-3.97),4.81,2.47
