tipo_celular,module_size,CLNS1A_MM,CLNS1A_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,125,0.258,67.0,1,0,0.0,NA,1,100.0,0.55 (NA-NA),NA,3.32
T cells 18,624,0.09,8.0,142,1,0.7,5.45 (NA-NA),141,99.3,3.19 (2.92-3.46),2.14,4.31
astrocytes 5,1141,0.091,7.0,166,35,21.08,2.19 (1.85-2.53),131,78.92,3.80 (3.53-4.08),6.46,4.04
oligodendrocyte progenitor cells 7,4285,0.12,27.0,353,64,18.13,2.24 (1.94-2.54),289,81.87,4.39 (4.21-4.57),21.26,5.14
GABA neurons expressing GLU receptors 22,1069,0.155,43.0,37,4,10.81,2.23 (1.51-2.95),33,89.19,2.15 (1.63-2.66),2.83,3.13
GLU like neurons 17,795,0.093,25.0,80,2,2.5,2.53 (2.34-2.73),78,97.5,5.80 (5.40-6.19),3.78,2.99
da like neurons 11,853,0.082,12.0,133,42,31.58,2.22 (1.77-2.67),91,68.42,3.87 (3.51-4.22),5.40,3.59
GABA neurons expressing GABA receptors 13,288,0.144,37.0,93,6,6.45,1.58 (0.94-2.23),87,93.55,5.48 (5.01-5.94),2.78,4.03
endothelial cells 9,450,0.076,8.0,74,1,1.35,1.74 (NA-NA),73,98.65,5.54 (5.00-6.08),4.42,3.63
oligodendrocytes 20,938,0.197,80.0,169,9,5.33,2.43 (1.39-3.48),160,94.67,3.55 (3.33-3.77),5.27,5.37
GABA like neurons 14,3052,0.109,24.0,125,1,0.8,3.17 (NA-NA),124,99.2,3.35 (3.03-3.68),11.43,8.59
astrocytes 8,1266,0.043,8.0,66,18,27.27,1.76 (1.23-2.30),48,72.73,3.90 (3.49-4.32),4.25,2.46
oligodendrocyte progenitor cells 12,708,0.061,18.0,25,1,4.0,0.21 (NA-NA),24,96.0,3.00 (2.02-3.99),1.83,2.57
oligodendrocytes 10,2107,0.102,30.0,358,71,19.83,2.28 (1.95-2.61),287,80.17,4.43 (4.25-4.61),23.98,5.88
connective tissue cells 21,78,0.287,63.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,338,0.202,80.0,14,1,7.14,4.40 (NA-NA),13,92.86,1.55 (0.90-2.20),1.93,6.00
oligodendrocytes 16,84,0.205,70.0,4,0,0.0,NA,4,100.0,0.39 (0.29-0.50),NA,2.06
da neurons 6,448,0.078,21.0,43,1,2.33,3.17 (NA-NA),42,97.67,3.28 (2.75-3.82),1.72,3.51
astrocytes microglia 23,114,0.343,74.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,721,0.137,24.0,61,7,11.48,2.86 (2.18-3.54),54,88.52,2.98 (2.52-3.44),2.20,6.52
oligodendrocytes 0,1186,0.122,19.0,300,4,1.33,3.97 (2.06-5.88),296,98.67,3.79 (3.58-4.00),1.87,4.19
microglia 1,1615,0.131,77.0,161,48,29.81,1.83 (1.57-2.09),113,70.19,4.10 (3.83-4.36),10.56,3.25
oligodendrocytes 3,1003,0.074,26.0,111,5,4.5,4.00 (2.78-5.22),106,95.5,3.27 (2.91-3.62),3.42,4.27
oligodendrocytes 2,921,0.112,13.0,200,21,10.5,3.75 (3.13-4.36),179,89.5,3.60 (3.31-3.89),5.04,3.28
