tipo_celular,module_size,WWP1_MM,WWP1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,500,0.493,99.0,32,0,0.0,NA,32,100.0,3.72 (2.95-4.50),NA,3.61
T cells 18,610,0.236,93.0,98,36,36.73,2.28 (1.88-2.68),62,63.27,3.70 (3.31-4.08),4.02,4.05
astrocytes 5,1141,0.147,72.0,166,52,31.33,2.93 (2.58-3.27),114,68.67,3.63 (3.30-3.96),4.87,4.40
oligodendrocyte progenitor cells 7,4285,0.171,94.0,353,69,19.55,2.57 (2.26-2.88),284,80.45,4.30 (4.10-4.49),16.11,6.11
GABA neurons expressing GLU receptors 22,1069,0.29,99.0,37,5,13.51,2.19 (1.75-2.64),32,86.49,2.15 (1.61-2.69),2.33,3.22
GLU like neurons 17,1316,0.109,37.0,101,3,2.97,3.19 (2.31-4.07),98,97.03,3.05 (2.68-3.41),3.98,3.03
da like neurons 11,197,0.349,86.0,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,266,0.15,46.0,118,3,2.54,3.77 (3.74-3.80),115,97.46,4.77 (4.40-5.13),2.85,4.02
endothelial cells 9,658,0.193,46.0,120,14,11.67,2.77 (2.39-3.15),106,88.33,4.89 (4.57-5.21),4.48,3.54
oligodendrocytes 20,233,0.243,72.0,5,0,0.0,NA,5,100.0,0.63 (-0.10-1.37),NA,2.11
GABA like neurons 14,3052,0.182,84.0,125,7,5.6,3.54 (2.91-4.17),118,94.4,3.34 (3.01-3.68),4.81,8.84
astrocytes 8,727,0.129,64.0,29,1,3.45,3.17 (NA-NA),28,96.55,2.33 (1.82-2.84),2.85,3.57
oligodendrocyte progenitor cells 12,3303,0.061,28.0,276,59,21.38,2.55 (2.23-2.86),217,78.62,3.89 (3.63-4.14),8.33,4.23
oligodendrocytes 10,1277,0.081,31.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27),NA,6.37
connective tissue cells 21,101,0.301,65.0,1,0,0.0,NA,1,100.0,8.28 (NA-NA),NA,1.40
astrocytes 15,1401,0.076,42.0,96,3,3.12,2.51 (1.36-3.66),93,96.88,3.66 (3.19-4.12),1.40,3.87
oligodendrocytes 16,74,0.178,37.0,1,0,0.0,NA,1,100.0,3.65 (NA-NA),NA,1.76
da neurons 6,448,0.129,74.0,43,6,13.95,3.78 (3.48-4.08),37,86.05,3.18 (2.56-3.80),2.80,3.58
astrocytes microglia 23,140,0.26,18.0,1,0,0.0,NA,1,100.0,NA,NA,1.75
astrocytes 4,255,0.137,21.0,12,0,0.0,NA,12,100.0,4.62 (3.76-5.48),NA,2.33
oligodendrocytes 0,1186,0.157,71.0,300,8,2.67,3.51 (2.73-4.29),292,97.33,3.80 (3.59-4.01),6.78,4.08
microglia 1,1615,0.13,77.0,161,60,37.27,2.48 (2.14-2.82),101,62.73,3.84 (3.50-4.18),6.65,4.71
oligodendrocytes 3,854,0.174,97.0,76,3,3.95,2.11 (0.24-3.98),73,96.05,2.81 (2.48-3.14),4.05,4.75
oligodendrocytes 2,348,0.16,32.0,114,7,6.14,3.92 (2.89-4.94),107,93.86,5.23 (4.80-5.66),6.74,4.24
