tipo_celular,module_size,PAFAH1B2_MM,PAFAH1B2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,206,0.241,71.0,10,0,0.0,NA,10,100.0,1.83 (0.82-2.85),NA,3.03
T cells 18,282,0.216,71.0,241,2,0.83,7.59 (NA-NA),239,99.17,4.03 (3.78-4.28),4.80,4.34
astrocytes 5,228,0.137,29.0,266,32,12.03,2.89 (1.91-3.88),234,87.97,4.25 (4.05-4.45),8.83,4.45
oligodendrocyte progenitor cells 7,296,0.17,43.0,251,5,1.99,NA,246,98.01,4.07 (3.83-4.30),6.53,6.15
GABA neurons expressing GLU receptors 22,848,0.289,74.0,262,23,8.78,2.68 (1.52-3.84),239,91.22,4.26 (4.01-4.51),8.45,3.69
GLU like neurons 17,1316,0.157,77.0,101,5,4.95,5.24 (3.45-7.03),96,95.05,2.94 (2.60-3.28),3.57,3.03
da like neurons 11,1220,0.26,73.0,410,26,6.34,3.75 (2.63-4.86),384,93.66,4.27 (4.08-4.46),14.85,7.02
GABA neurons expressing GABA receptors 13,266,0.092,7.0,118,0,0.0,NA,118,100.0,4.74 (4.38-5.09),NA,3.99
endothelial cells 9,338,0.121,45.0,191,8,4.19,5.40 (3.95-6.85),183,95.81,3.82 (3.60-4.04),5.63,9.31
oligodendrocytes 20,271,0.111,18.0,8,2,25.0,5.98 (5.98-5.98),6,75.0,2.50 (1.33-3.67),1.98,3.90
GABA like neurons 14,2402,0.361,75.0,455,41,9.01,2.67 (1.91-3.42),414,90.99,4.50 (4.32-4.69),20.44,7.69
astrocytes 8,520,0.207,71.0,288,28,9.72,3.65 (2.62-4.67),260,90.28,4.21 (4.01-4.41),11.00,4.01
oligodendrocyte progenitor cells 12,3303,0.083,57.0,276,26,9.42,2.19 (1.64-2.74),250,90.58,3.72 (3.49-3.94),12.89,4.30
oligodendrocytes 10,806,0.231,69.0,261,12,4.6,2.62 (1.87-3.36),249,95.4,4.41 (4.17-4.65),7.33,6.00
connective tissue cells 21,125,0.259,31.0,10,0,0.0,NA,10,100.0,1.32 (0.64-1.99),NA,2.65
astrocytes 15,377,0.168,64.0,14,5,35.71,0.80 (0.19-1.40),9,64.29,3.03 (1.31-4.75),2.52,2.42
oligodendrocytes 16,90,0.204,44.0,2,1,50.0,1.71 (NA-NA),1,50.0,0.94 (NA-NA),1.88,1.73
da neurons 6,553,0.146,62.0,124,2,1.61,1.54 (-0.69-3.77),122,98.39,4.24 (3.85-4.63),2.71,3.04
astrocytes microglia 23,96,0.293,35.0,3,0,0.0,NA,3,100.0,1.95 (-1.12-5.03),NA,5.42
astrocytes 4,157,0.132,13.0,178,23,12.92,3.22 (2.16-4.29),155,87.08,4.29 (4.03-4.55),5.87,4.30
oligodendrocytes 0,613,0.116,20.0,127,4,3.15,2.17 (1.40-2.94),123,96.85,3.09 (2.66-3.51),3.75,6.36
microglia 1,214,0.137,29.0,227,16,7.05,3.17 (1.87-4.48),211,92.95,4.11 (3.87-4.35),12.17,5.66
oligodendrocytes 3,743,0.088,60.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55),NA,7.29
oligodendrocytes 2,528,0.192,44.0,175,19,10.86,2.86 (2.14-3.59),156,89.14,4.49 (4.13-4.85),11.11,3.83
