tipo_celular,module_size,CKB_MM,CKB_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,172,0.222,67.0,140,0,0.0,NA,140,100.0,4.51 (4.08-4.93),NA,3.57
T cells 18,282,0.311,89.0,241,4,1.66,3.12 (2.26-3.98),237,98.34,4.08 (3.82-4.33),3.52,4.35
astrocytes 5,328,0.26,82.0,128,0,0.0,NA,128,100.0,3.57 (3.23-3.91),NA,6.76
oligodendrocyte progenitor cells 7,628,0.368,95.0,164,7,4.27,4.75 (3.93-5.58),157,95.73,4.06 (3.72-4.39),3.67,7.70
GABA neurons expressing GLU receptors 22,848,0.488,98.0,262,16,6.11,2.88 (1.68-4.07),246,93.89,4.22 (3.97-4.47),11.25,3.64
GLU like neurons 17,1316,0.264,100.0,101,3,2.97,2.53 (NA-NA),98,97.03,3.06 (2.70-3.41),2.51,3.07
da like neurons 11,1220,0.577,99.0,410,19,4.63,3.59 (2.47-4.70),391,95.37,4.27 (4.08-4.46),15.69,7.12
GABA neurons expressing GABA receptors 13,266,0.263,88.0,118,0,0.0,NA,118,100.0,4.74 (4.38-5.09),NA,3.99
endothelial cells 9,338,0.387,95.0,191,1,0.52,3.72 (NA-NA),190,99.48,3.89 (3.66-4.11),3.10,9.19
oligodendrocytes 20,938,0.098,36.0,169,17,10.06,2.54 (1.51-3.56),152,89.94,3.55 (3.33-3.77),7.90,5.08
GABA like neurons 14,2402,0.684,99.0,455,24,5.27,2.13 (1.11-3.15),431,94.73,4.45 (4.27-4.64),25.43,7.91
astrocytes 8,279,0.282,52.0,78,4,5.13,3.14 (2.28-4.00),74,94.87,4.39 (3.96-4.82),3.77,2.65
oligodendrocyte progenitor cells 12,1049,0.16,77.0,235,7,2.98,3.80 (3.17-4.43),228,97.02,3.82 (3.59-4.06),15.12,7.38
oligodendrocytes 10,806,0.541,97.0,261,9,3.45,3.28 (1.57-5.00),252,96.55,4.38 (4.14-4.63),6.64,6.04
connective tissue cells 21,101,0.392,71.0,116,9,7.76,2.28 (1.36-3.21),107,92.24,4.76 (4.34-5.18),3.53,3.19
astrocytes 15,208,0.529,94.0,4,1,25.0,4.85 (NA-NA),3,75.0,2.25 (-0.30-4.81),3.98,2.43
oligodendrocytes 16,313,0.454,91.0,291,4,1.37,0.55 (NA-NA),287,98.63,4.34 (4.12-4.57),5.39,3.79
da neurons 6,409,0.345,98.0,235,8,3.4,3.06 (1.94-4.19),227,96.6,4.01 (3.75-4.26),8.10,4.29
astrocytes microglia 23,70,0.311,47.0,76,2,2.63,NA,74,97.37,4.20 (3.69-4.72),7.51,4.45
astrocytes 4,208,0.352,87.0,173,0,0.0,NA,173,100.0,3.80 (3.50-4.10),NA,5.62
oligodendrocytes 0,546,0.311,91.0,252,25,9.92,2.00 (1.01-2.99),227,90.08,4.28 (4.04-4.52),17.70,7.17
microglia 1,214,0.436,94.0,227,12,5.29,4.59 (3.34-5.85),215,94.71,4.07 (3.83-4.31),12.65,5.76
oligodendrocytes 3,457,0.343,95.0,345,12,3.48,3.67 (3.30-4.05),333,96.52,4.29 (4.07-4.50),19.21,5.21
oligodendrocytes 2,526,0.439,87.0,213,5,2.35,5.04 (2.54-7.54),208,97.65,3.96 (3.68-4.23),2.30,8.07
