tipo_celular,module_size,FYTTD1_MM,FYTTD1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,351,0.129,31.0,71,3,4.23,2.21 (0.11-4.31),68,95.77,2.64 (2.22-3.07),1.96,3.65
T cells 18,518,0.183,67.0,131,0,0.0,NA,131,100.0,3.07 (2.80-3.35),NA,4.75
astrocytes 5,1656,0.132,77.0,136,5,3.68,1.40 (1.29-1.50),131,96.32,3.29 (3.01-3.56),7.69,4.89
oligodendrocyte progenitor cells 7,4285,0.132,46.0,353,42,11.9,2.91 (2.25-3.58),311,88.1,4.05 (3.87-4.23),24.71,5.82
GABA neurons expressing GLU receptors 22,848,0.084,4.0,262,7,2.67,1.65 (0.43-2.87),255,97.33,4.24 (4.00-4.48),5.19,4.07
GLU like neurons 17,380,0.242,90.0,39,2,5.13,2.51 (1.64-3.37),37,94.87,2.99 (2.41-3.58),4.09,2.49
da like neurons 11,1220,0.106,18.0,410,7,1.71,2.84 (1.52-4.15),403,98.29,4.28 (4.09-4.47),11.63,7.44
GABA neurons expressing GABA receptors 13,90,0.12,22.0,4,0,0.0,NA,4,100.0,5.34 (2.61-8.07),NA,1.84
endothelial cells 9,385,0.174,86.0,275,32,11.64,2.36 (1.69-3.03),243,88.36,4.24 (3.98-4.50),14.09,4.80
oligodendrocytes 20,228,0.218,56.0,5,3,60.0,1.95 (0.03-3.87),2,40.0,5.21 (1.90-8.51),1.78,3.49
GABA like neurons 14,3052,0.177,81.0,125,4,3.2,5.30 (4.42-6.19),121,96.8,3.27 (2.95-3.60),1.77,8.84
astrocytes 8,354,0.091,29.0,8,0,0.0,NA,8,100.0,0.78 (0.08-1.47),NA,5.07
oligodendrocyte progenitor cells 12,3303,0.113,85.0,276,26,9.42,2.25 (1.80-2.69),250,90.58,3.71 (3.48-3.94),14.25,4.16
oligodendrocytes 10,735,0.108,58.0,277,0,0.0,NA,277,100.0,3.89 (3.65-4.14),NA,8.95
connective tissue cells 21,118,0.341,77.0,4,0,0.0,NA,4,100.0,1.60 (-1.03-4.24),NA,2.02
astrocytes 15,1401,0.066,31.0,96,1,1.04,2.00 (NA-NA),95,98.96,3.63 (3.18-4.09),1.35,3.82
oligodendrocytes 16,64,0.118,12.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,553,0.087,18.0,124,1,0.81,0.40 (NA-NA),123,99.19,4.23 (3.84-4.61),3.77,3.03
astrocytes microglia 23,131,0.347,82.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,1807,0.134,31.0,104,21,20.19,1.76 (1.30-2.22),83,79.81,3.13 (2.83-3.44),11.56,3.84
oligodendrocytes 0,2078,0.131,84.0,238,13,5.46,4.88 (3.78-5.98),225,94.54,3.55 (3.33-3.77),5.57,4.99
microglia 1,480,0.134,20.0,163,0,0.0,NA,163,100.0,3.71 (3.44-3.97),NA,5.17
oligodendrocytes 3,743,0.079,46.0,76,1,1.32,NA,75,98.68,3.16 (2.77-3.55),1.86,7.36
oligodendrocytes 2,1630,0.182,99.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51),NA,3.59
