tipo_celular,module_size,PIK3CA_MM,PIK3CA_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,185,0.154,21.0,17,0,0.0,NA,17,100.0,1.90 (1.29-2.52),NA,5.26
T cells 18,518,0.159,55.0,131,0,0.0,NA,131,100.0,3.07 (2.80-3.35),NA,4.75
astrocytes 5,1141,0.141,65.0,166,20,12.05,2.93 (2.23-3.63),146,87.95,3.47 (3.20-3.74),4.09,4.61
oligodendrocyte progenitor cells 7,4285,0.098,8.0,353,49,13.88,3.38 (2.84-3.92),304,86.12,4.00 (3.81-4.19),13.59,7.17
GABA neurons expressing GLU receptors 22,714,0.335,95.0,17,1,5.88,2.68 (NA-NA),16,94.12,2.28 (1.66-2.91),2.01,3.66
GLU like neurons 17,795,0.121,44.0,80,5,6.25,3.51 (2.72-4.31),75,93.75,5.89 (5.49-6.30),3.05,3.01
da like neurons 11,289,0.136,30.0,6,1,16.67,NA,5,83.33,2.89 (2.54-3.24),1.44,2.30
GABA neurons expressing GABA receptors 13,80,0.172,54.0,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,586,0.154,36.0,62,8,12.9,5.13 (4.16-6.09),54,87.1,3.86 (3.38-4.33),2.62,4.44
oligodendrocytes 20,228,0.191,47.0,5,3,60.0,1.91 (0.06-3.75),2,40.0,5.27 (2.10-8.45),3.04,1.60
GABA like neurons 14,1300,0.133,17.0,306,68,22.22,3.81 (3.41-4.22),238,77.78,5.65 (5.35-5.94),6.31,6.82
astrocytes 8,354,0.183,80.0,8,0,0.0,NA,8,100.0,0.78 (0.08-1.47),NA,5.07
oligodendrocyte progenitor cells 12,218,0.433,100.0,1,1,100.0,2.68 (NA-NA),0,0.0,NA,2.31,NA
oligodendrocytes 10,2107,0.182,63.0,358,48,13.41,3.06 (2.50-3.62),310,86.59,4.03 (3.84-4.23),12.96,8.93
connective tissue cells 21,106,0.237,36.0,2,0,0.0,NA,2,100.0,4.57 (NA-NA),NA,1.33
astrocytes 15,377,0.212,85.0,14,1,7.14,1.71 (NA-NA),13,92.86,2.18 (0.80-3.57),2.13,2.48
oligodendrocytes 16,75,0.186,48.0,1,0,0.0,NA,1,100.0,NA,NA,1.70
da neurons 6,553,0.088,19.0,124,11,8.87,4.45 (3.36-5.53),113,91.13,4.16 (3.74-4.58),2.14,3.12
astrocytes microglia 23,101,0.187,4.0,6,0,0.0,NA,6,100.0,4.26 (2.94-5.59),NA,2.93
astrocytes 4,255,0.148,29.0,12,2,16.67,5.61 (5.41-5.82),10,83.33,4.12 (3.17-5.08),1.36,2.53
oligodendrocytes 0,1186,0.162,78.0,300,27,9.0,4.47 (3.85-5.08),273,91.0,3.73 (3.51-3.94),4.17,4.15
microglia 1,1615,0.163,94.0,161,37,22.98,3.12 (2.46-3.78),124,77.02,3.32 (3.04-3.61),6.31,5.17
oligodendrocytes 3,681,0.136,80.0,87,17,19.54,2.46 (1.79-3.13),70,80.46,2.62 (2.32-2.91),4.12,4.27
oligodendrocytes 2,921,0.158,82.0,200,15,7.5,4.59 (3.45-5.74),185,92.5,3.53 (3.26-3.80),3.36,3.47
