tipo_celular,module_size,GIGYF2_MM,GIGYF2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,211,0.136,36.0,47,1,2.13,5.72 (NA-NA),46,97.87,2.50 (2.03-2.97),1.41,4.22
T cells 18,624,0.193,79.0,142,5,3.52,5.60 (5.51-5.70),137,96.48,3.11 (2.85-3.37),2.05,4.38
astrocytes 5,1141,0.147,73.0,166,40,24.1,2.85 (2.36-3.35),126,75.9,3.61 (3.33-3.89),4.05,4.71
oligodendrocyte progenitor cells 7,448,0.076,7.0,108,1,0.93,2.76 (NA-NA),107,99.07,3.26 (2.82-3.70),24.79,17.05
GABA neurons expressing GLU receptors 22,1069,0.14,32.0,37,3,8.11,2.03 (1.31-2.75),34,91.89,2.17 (1.67-2.67),2.49,3.16
GLU like neurons 17,380,0.16,40.0,39,0,0.0,NA,39,100.0,2.97 (2.41-3.52),NA,2.57
da like neurons 11,59,0.414,87.0,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,77,0.133,25.0,2,0,0.0,NA,2,100.0,NA,NA,1.47
endothelial cells 9,1653,0.183,84.0,297,3,1.01,5.64 (5.34-5.94),294,98.99,3.65 (3.44-3.85),1.91,5.55
oligodendrocytes 20,403,0.153,61.0,18,10,55.56,1.22 (0.49-1.94),8,44.44,2.71 (1.71-3.70),5.04,2.23
GABA like neurons 14,1300,0.217,55.0,306,31,10.13,3.22 (2.44-4.00),275,89.87,5.38 (5.12-5.63),9.30,6.41
astrocytes 8,727,0.078,30.0,29,1,3.45,NA,28,96.55,2.37 (1.87-2.86),1.39,3.62
oligodendrocyte progenitor cells 12,143,0.457,71.0,1,1,100.0,7.70 (NA-NA),0,0.0,NA,1.31,NA
oligodendrocytes 10,2107,0.247,81.0,358,76,21.23,2.72 (2.33-3.11),282,78.77,4.30 (4.12-4.49),17.68,7.26
connective tissue cells 21,118,0.221,15.0,4,0,0.0,NA,4,100.0,1.60 (-1.03-4.24),NA,2.02
astrocytes 15,1768,0.109,71.0,105,32,30.48,2.81 (2.13-3.50),73,69.52,3.40 (3.03-3.77),4.76,3.63
oligodendrocytes 16,94,0.126,6.0,5,1,20.0,3.78 (NA-NA),4,80.0,2.59 (1.15-4.04),2.44,1.72
da neurons 6,398,0.147,49.0,138,28,20.29,2.91 (2.34-3.49),110,79.71,5.37 (4.99-5.75),2.97,2.67
astrocytes microglia 23,253,0.305,81.0,47,11,23.4,2.71 (2.05-3.37),36,76.6,2.88 (2.50-3.27),1.95,3.43
astrocytes 4,752,0.175,83.0,96,17,17.71,3.02 (2.48-3.56),79,82.29,3.37 (2.97-3.76),2.67,4.68
oligodendrocytes 0,1186,0.181,94.0,300,11,3.67,3.82 (3.32-4.31),289,96.33,3.79 (3.58-4.01),5.88,4.09
microglia 1,1615,0.116,60.0,161,44,27.33,2.01 (1.66-2.35),117,72.67,3.91 (3.62-4.19),7.63,4.61
oligodendrocytes 3,1003,0.111,64.0,111,13,11.71,5.20 (4.63-5.77),98,88.29,3.02 (2.68-3.37),2.93,4.40
oligodendrocytes 2,804,0.153,52.0,84,8,9.52,1.51 (0.77-2.24),76,90.48,2.85 (2.50-3.20),3.00,3.44
