tipo_celular,module_size,GOLGA4_MM,GOLGA4_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,184,0.127,5.0,21,10,47.62,1.50 (0.60-2.40),11,52.38,3.10 (2.54-3.65),2.16,1.86
T cells 18,610,0.126,29.0,98,22,22.45,2.12 (1.51-2.73),76,77.55,3.43 (3.09-3.77),8.87,2.64
astrocytes 5,1141,0.157,82.0,166,13,7.83,2.08 (1.16-3.01),153,92.17,3.49 (3.24-3.75),10.29,4.06
oligodendrocyte progenitor cells 7,448,0.131,43.0,108,0,0.0,NA,108,100.0,3.26 (2.82-3.69),NA,17.12
GABA neurons expressing GLU receptors 22,192,0.203,78.0,55,0,0.0,NA,55,100.0,4.03 (3.61-4.44),NA,3.32
GLU like neurons 17,1247,0.157,66.0,51,2,3.92,2.04 (1.96-2.12),49,96.08,3.70 (3.11-4.30),2.73,3.26
da like neurons 11,289,0.242,73.0,6,0,0.0,NA,6,100.0,2.89 (2.54-3.24),NA,2.16
GABA neurons expressing GABA receptors 13,200,0.12,21.0,34,1,2.94,3.65 (NA-NA),33,97.06,3.90 (2.98-4.81),2.02,3.53
endothelial cells 9,385,0.08,22.0,275,28,10.18,2.13 (1.59-2.66),247,89.82,4.20 (3.94-4.47),9.17,5.51
oligodendrocytes 20,676,0.167,40.0,110,34,30.91,4.76 (3.92-5.59),76,69.09,5.15 (4.64-5.65),4.64,3.02
GABA like neurons 14,1300,0.279,81.0,306,72,23.53,4.74 (4.10-5.39),234,76.47,5.23 (4.97-5.49),10.15,5.65
astrocytes 8,354,0.242,95.0,8,0,0.0,NA,8,100.0,0.78 (0.08-1.47),NA,5.07
oligodendrocyte progenitor cells 12,143,0.41,39.0,1,0,0.0,NA,1,100.0,7.70 (NA-NA),NA,1.31
oligodendrocytes 10,130,0.439,61.0,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,152,0.157,8.0,21,0,0.0,NA,21,100.0,5.18 (3.84-6.52),NA,2.22
astrocytes 15,1768,0.171,97.0,105,15,14.29,2.31 (1.69-2.93),90,85.71,3.38 (3.01-3.75),6.25,3.60
oligodendrocytes 16,153,0.263,22.0,14,0,0.0,NA,14,100.0,4.67 (3.94-5.40),NA,2.89
da neurons 6,553,0.13,52.0,124,2,1.61,0.40 (NA-NA),122,98.39,4.23 (3.84-4.61),2.83,3.04
astrocytes microglia 23,70,0.127,2.0,76,0,0.0,NA,76,100.0,4.20 (3.69-4.72),NA,4.53
astrocytes 4,752,0.163,64.0,96,3,3.12,4.33 (3.16-5.50),93,96.88,3.25 (2.91-3.58),2.35,4.38
oligodendrocytes 0,261,0.098,7.0,42,17,40.48,3.43 (2.30-4.57),25,59.52,4.69 (3.99-5.39),2.31,2.25
microglia 1,480,0.1,5.0,163,1,0.61,3.41 (NA-NA),162,99.39,3.71 (3.44-3.98),2.28,5.19
oligodendrocytes 3,357,0.26,96.0,127,0,0.0,NA,127,100.0,3.12 (2.79-3.45),NA,4.24
oligodendrocytes 2,804,0.174,73.0,84,7,8.33,1.16 (0.44-1.88),77,91.67,2.79 (2.44-3.13),2.46,3.48
