tipo_celular,module_size,DOCK3_MM,DOCK3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,305,0.414,89.0,15,0,0.0,NA,15,100.0,5.79 (5.09-6.49),NA,2.34
T cells 18,349,0.259,72.0,68,7,10.29,2.58 (1.17-4.00),61,89.71,4.65 (4.08-5.21),2.54,3.40
astrocytes 5,118,0.209,42.0,8,0,0.0,NA,8,100.0,4.18 (2.41-5.94),NA,2.01
oligodendrocyte progenitor cells 7,436,0.082,18.0,219,3,1.37,5.49 (4.10-6.88),216,98.63,5.21 (4.92-5.50),2.39,4.64
GABA neurons expressing GLU receptors 22,714,0.059,1.0,17,0,0.0,NA,17,100.0,2.31 (1.72-2.89),NA,3.57
GLU like neurons 17,795,0.322,95.0,80,2,2.5,2.53 (2.34-2.73),78,97.5,5.80 (5.40-6.19),3.78,2.99
da like neurons 11,191,0.377,72.0,93,3,3.23,2.12 (1.30-2.94),90,96.77,5.81 (5.43-6.18),4.61,4.12
GABA neurons expressing GABA receptors 13,288,0.232,72.0,93,10,10.75,2.70 (1.60-3.80),83,89.25,5.50 (5.02-5.99),3.00,4.06
endothelial cells 9,450,0.5,87.0,74,0,0.0,NA,74,100.0,5.46 (4.91-6.02),NA,3.64
oligodendrocytes 20,676,0.483,77.0,110,3,2.73,0.90 (0.75-1.04),107,97.27,5.16 (4.73-5.58),3.60,3.52
GABA like neurons 14,1300,0.35,97.0,306,28,9.15,3.16 (2.38-3.94),278,90.85,5.35 (5.09-5.61),5.36,6.84
astrocytes 8,354,0.179,79.0,8,0,0.0,NA,8,100.0,0.78 (0.08-1.47),NA,5.07
oligodendrocyte progenitor cells 12,411,0.192,58.0,103,0,0.0,NA,103,100.0,5.55 (5.16-5.93),NA,3.08
oligodendrocytes 10,204,0.441,50.0,92,2,2.17,2.53 (2.34-2.73),90,97.83,5.82 (5.36-6.28),7.06,3.65
connective tissue cells 21,250,0.554,82.0,117,8,6.84,3.27 (2.20-4.35),109,93.16,5.56 (5.16-5.96),3.53,3.75
astrocytes 15,268,0.286,89.0,10,0,0.0,NA,10,100.0,3.69 (2.00-5.38),NA,1.59
oligodendrocytes 16,287,0.239,34.0,105,5,4.76,1.55 (0.76-2.34),100,95.24,5.35 (4.94-5.76),3.35,3.47
da neurons 6,398,0.204,68.0,138,18,13.04,2.75 (2.00-3.50),120,86.96,5.18 (4.81-5.55),3.35,2.64
astrocytes microglia 23,190,0.203,11.0,7,2,28.57,7.18 (NA-NA),5,71.43,4.37 (3.67-5.07),1.68,1.86
astrocytes 4,251,0.105,8.0,34,2,5.88,2.42 (2.37-2.47),32,94.12,5.49 (4.93-6.06),2.75,3.09
oligodendrocytes 0,261,0.194,57.0,42,3,7.14,0.90 (0.75-1.04),39,92.86,4.39 (3.73-5.04),2.20,2.28
microglia 1,127,0.155,38.0,24,2,8.33,2.53 (2.34-2.73),22,91.67,5.48 (4.84-6.12),2.39,2.48
oligodendrocytes 3,639,0.201,93.0,15,2,13.33,0.61 (-0.07-1.28),13,86.67,3.81 (2.38-5.23),3.88,1.96
oligodendrocytes 2,237,0.359,91.0,26,0,0.0,NA,26,100.0,5.22 (4.28-6.15),NA,2.55
