tipo_celular,module_size,DDX42_MM,DDX42_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,351,0.174,63.0,71,7,9.86,1.83 (1.12-2.54),64,90.14,2.73 (2.28-3.18),1.81,3.77
T cells 18,518,0.19,72.0,131,6,4.58,3.48 (2.87-4.09),125,95.42,3.05 (2.76-3.34),4.18,4.78
astrocytes 5,1656,0.142,88.0,136,12,8.82,2.66 (1.83-3.48),124,91.18,3.27 (2.98-3.56),5.64,4.93
oligodendrocyte progenitor cells 7,4285,0.163,88.0,353,61,17.28,2.37 (2.00-2.75),292,82.72,4.29 (4.11-4.47),21.95,5.16
GABA neurons expressing GLU receptors 22,703,0.155,31.0,23,3,13.04,1.84 (1.08-2.60),20,86.96,2.13 (1.31-2.95),2.39,4.16
GLU like neurons 17,1247,0.097,23.0,51,2,3.92,2.00 (NA-NA),49,96.08,3.66 (3.08-4.25),2.93,3.25
da like neurons 11,89,0.095,15.0,1,0,0.0,NA,1,100.0,0.26 (NA-NA),NA,2.49
GABA neurons expressing GABA receptors 13,93,0.144,41.0,2,0,0.0,NA,2,100.0,NA,NA,2.07
endothelial cells 9,559,0.055,4.0,155,0,0.0,NA,155,100.0,4.34 (3.97-4.70),NA,4.33
oligodendrocytes 20,676,0.051,23.0,110,5,4.55,1.11 (0.68-1.54),105,95.45,5.20 (4.78-5.62),3.60,3.52
GABA like neurons 14,2402,0.077,4.0,455,43,9.45,2.44 (1.99-2.89),412,90.55,4.63 (4.45-4.81),18.97,7.78
astrocytes 8,520,0.055,17.0,288,12,4.17,2.69 (2.02-3.36),276,95.83,4.26 (4.06-4.46),7.67,4.56
oligodendrocyte progenitor cells 12,708,0.079,33.0,32,13,40.62,1.88 (1.06-2.70),19,59.38,4.27 (3.24-5.30),3.28,2.13
oligodendrocytes 10,735,0.159,79.0,277,0,0.0,NA,277,100.0,3.89 (3.65-4.14),NA,8.95
connective tissue cells 21,111,0.265,40.0,26,1,3.85,2.53 (NA-NA),25,96.15,2.52 (1.83-3.22),1.32,2.20
astrocytes 15,367,0.173,70.0,17,0,0.0,NA,17,100.0,2.08 (1.12-3.04),NA,3.30
oligodendrocytes 16,66,0.222,45.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,553,0.118,43.0,124,1,0.81,0.40 (NA-NA),123,99.19,4.23 (3.84-4.61),3.77,3.03
astrocytes microglia 23,101,0.341,62.0,6,1,16.67,3.65 (NA-NA),5,83.33,4.57 (2.52-6.62),1.61,3.19
astrocytes 4,1807,0.171,91.0,104,32,30.77,1.80 (1.48-2.12),72,69.23,3.34 (3.02-3.67),9.92,3.39
oligodendrocytes 0,2078,0.132,85.0,238,8,3.36,2.71 (1.52-3.90),230,96.64,3.67 (3.45-3.90),10.20,4.84
microglia 1,958,0.103,36.0,290,24,8.28,2.74 (2.33-3.15),266,91.72,3.93 (3.68-4.17),6.45,4.87
oligodendrocytes 3,457,0.039,3.0,345,14,4.06,2.86 (2.40-3.31),331,95.94,4.36 (4.14-4.57),8.11,5.59
oligodendrocytes 2,1630,0.171,95.0,154,2,1.3,4.67 (3.69-5.64),152,98.7,3.22 (2.96-3.49),3.26,3.60
