tipo_celular,module_size,ZC3H13_MM,ZC3H13_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,395,0.201,72.0,97,0,0.0,NA,97,100.0,3.06 (2.66-3.45),NA,4.90
T cells 18,518,0.101,15.0,131,0,0.0,NA,131,100.0,3.07 (2.80-3.35),NA,4.75
astrocytes 5,1141,0.147,72.0,166,11,6.63,2.10 (1.37-2.84),155,93.37,3.48 (3.22-3.74),12.70,3.97
oligodendrocyte progenitor cells 7,4285,0.158,83.0,353,25,7.08,1.99 (1.41-2.57),328,92.92,4.06 (3.87-4.24),33.69,6.11
GABA neurons expressing GLU receptors 22,203,0.201,27.0,12,0,0.0,NA,12,100.0,2.44 (0.91-3.97),NA,3.80
GLU like neurons 17,1247,0.22,89.0,51,1,1.96,NA,50,98.04,3.62 (3.05-4.20),2.50,3.25
da like neurons 11,71,0.073,5.0,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,200,0.107,12.0,34,1,2.94,3.65 (NA-NA),33,97.06,3.90 (2.98-4.81),2.02,3.53
endothelial cells 9,450,0.056,2.0,74,0,0.0,NA,74,100.0,5.46 (4.91-6.02),NA,3.64
oligodendrocytes 20,330,0.096,19.0,36,6,16.67,2.35 (1.90-2.81),30,83.33,1.85 (1.45-2.24),5.01,2.75
GABA like neurons 14,1300,0.187,41.0,306,6,1.96,1.91 (1.20-2.63),300,98.04,5.19 (4.93-5.45),6.18,6.72
astrocytes 8,218,0.144,66.0,9,0,0.0,NA,9,100.0,2.12 (1.21-3.03),NA,4.91
oligodendrocyte progenitor cells 12,3303,0.111,83.0,276,16,5.8,1.98 (1.49-2.47),260,94.2,3.66 (3.44-3.88),17.55,4.34
oligodendrocytes 10,2107,0.084,19.0,358,24,6.7,1.55 (1.10-2.01),334,93.3,4.06 (3.87-4.24),37.28,7.47
connective tissue cells 21,114,0.23,24.0,11,2,18.18,0.79 (0.03-1.55),9,81.82,1.81 (0.52-3.10),2.82,1.99
astrocytes 15,377,0.153,51.0,14,5,35.71,1.37 (0.15-2.58),9,64.29,2.90 (0.82-4.99),2.59,2.37
oligodendrocytes 16,78,0.14,17.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,307,0.083,16.0,95,0,0.0,NA,95,100.0,4.85 (4.41-5.28),NA,3.36
astrocytes microglia 23,121,0.273,26.0,1,0,0.0,NA,1,100.0,6.31 (NA-NA),NA,1.47
astrocytes 4,787,0.149,45.0,65,0,0.0,NA,65,100.0,2.96 (2.57-3.36),NA,5.75
oligodendrocytes 0,309,0.151,69.0,30,0,0.0,NA,30,100.0,6.09 (5.49-6.69),NA,2.87
microglia 1,958,0.112,52.0,290,3,1.03,1.63 (0.06-3.19),287,98.97,3.84 (3.61-4.07),11.45,4.93
oligodendrocytes 3,357,0.182,88.0,127,2,1.57,NA,125,98.43,3.12 (2.79-3.45),7.55,4.18
oligodendrocytes 2,921,0.106,8.0,200,4,2.0,3.20 (3.15-3.24),196,98.0,3.63 (3.36-3.90),10.55,3.32
