tipo_celular,module_size,ARID1A_MM,ARID1A_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,159,0.152,15.0,18,0,0.0,NA,18,100.0,2.04 (1.57-2.51),NA,3.27
T cells 18,727,0.163,64.0,49,0,0.0,NA,49,100.0,2.43 (2.03-2.82),NA,6.24
astrocytes 5,932,0.121,68.0,80,10,12.5,4.85 (4.37-5.33),70,87.5,3.49 (3.04-3.94),3.24,4.45
oligodendrocyte progenitor cells 7,4285,0.141,59.0,353,85,24.08,2.61 (2.32-2.89),268,75.92,4.45 (4.27-4.64),16.58,5.36
GABA neurons expressing GLU receptors 22,1069,0.198,73.0,37,6,16.22,2.60 (1.48-3.71),31,83.78,2.07 (1.57-2.57),2.15,3.29
GLU like neurons 17,1247,0.065,7.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20),NA,3.24
da like neurons 11,200,0.141,30.0,8,0,0.0,NA,8,100.0,NA,NA,1.62
GABA neurons expressing GABA receptors 13,288,0.088,5.0,93,13,13.98,2.70 (2.03-3.36),80,86.02,5.70 (5.21-6.18),3.44,4.03
endothelial cells 9,1653,0.145,64.0,297,28,9.43,3.78 (3.50-4.05),269,90.57,3.66 (3.43-3.89),5.19,5.55
oligodendrocytes 20,403,0.143,58.0,18,9,50.0,0.95 (0.43-1.47),9,50.0,2.81 (1.88-3.73),4.66,2.92
GABA like neurons 14,2090,0.169,60.0,74,23,31.08,2.93 (2.42-3.44),51,68.92,2.95 (2.44-3.45),3.04,13.86
astrocytes 8,1266,0.178,93.0,66,28,42.42,2.39 (1.74-3.03),38,57.58,3.88 (3.45-4.32),3.47,2.57
oligodendrocyte progenitor cells 12,708,0.153,65.0,32,7,21.88,0.80 (0.32-1.28),25,78.12,4.06 (3.26-4.86),4.07,2.19
oligodendrocytes 10,2107,0.288,88.0,358,101,28.21,2.49 (2.24-2.75),257,71.79,4.62 (4.43-4.80),18.28,6.01
connective tissue cells 21,111,0.22,17.0,1,0,0.0,NA,1,100.0,NA,NA,1.30
astrocytes 15,1401,0.083,47.0,96,10,10.42,2.65 (1.80-3.50),86,89.58,3.74 (3.25-4.22),4.21,3.75
oligodendrocytes 16,151,0.12,6.0,7,0,0.0,NA,7,100.0,1.31 (0.28-2.35),NA,1.82
da neurons 6,398,0.098,19.0,138,23,16.67,2.52 (1.98-3.06),115,83.33,5.39 (5.03-5.74),2.42,2.80
astrocytes microglia 23,229,0.21,20.0,99,17,17.17,3.89 (3.47-4.32),82,82.83,4.40 (4.00-4.79),3.31,3.22
astrocytes 4,251,0.137,30.0,34,2,5.88,2.42 (2.37-2.47),32,94.12,5.49 (4.93-6.06),2.75,3.09
oligodendrocytes 0,1186,0.157,69.0,300,38,12.67,3.85 (3.58-4.13),262,87.33,3.78 (3.54-4.02),3.68,4.22
microglia 1,1615,0.117,61.0,161,68,42.24,2.30 (2.02-2.57),93,57.76,4.28 (3.96-4.60),8.10,3.48
oligodendrocytes 3,681,0.089,45.0,87,57,65.52,2.18 (1.93-2.44),30,34.48,3.32 (2.81-3.84),4.81,3.16
oligodendrocytes 2,407,0.189,80.0,122,56,45.9,2.07 (1.80-2.33),66,54.1,5.10 (4.65-5.55),3.27,2.22
