tipo_celular,module_size,RUFY2_MM,RUFY2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,500,0.157,46.0,32,3,9.38,3.95 (2.24-5.67),29,90.62,3.69 (2.84-4.55),2.67,3.71
T cells 18,349,0.158,41.0,68,9,13.24,1.75 (1.15-2.35),59,86.76,4.85 (4.31-5.39),3.02,3.36
astrocytes 5,1141,0.103,16.0,166,3,1.81,0.43 (0.21-0.66),163,98.19,3.46 (3.21-3.70),6.49,4.51
oligodendrocyte progenitor cells 7,4285,0.145,66.0,353,15,4.25,1.32 (0.80-1.84),338,95.75,4.04 (3.86-4.22),30.70,7.06
GABA neurons expressing GLU receptors 22,203,0.301,62.0,12,1,8.33,NA,11,91.67,2.44 (0.91-3.97),1.78,3.99
GLU like neurons 17,1316,0.092,21.0,101,1,0.99,3.38 (NA-NA),100,99.01,3.05 (2.69-3.40),2.47,3.06
da like neurons 11,172,0.181,36.0,8,0,0.0,NA,8,100.0,3.69 (3.52-3.86),NA,2.87
GABA neurons expressing GABA receptors 13,75,0.181,63.0,3,0,0.0,NA,3,100.0,1.99 (1.51-2.46),NA,3.40
endothelial cells 9,1653,0.135,56.0,297,0,0.0,NA,297,100.0,3.67 (3.47-3.88),NA,5.52
oligodendrocytes 20,253,0.157,49.0,7,0,0.0,NA,7,100.0,0.94 (0.08-1.80),NA,5.94
GABA like neurons 14,2090,0.141,41.0,74,1,1.35,NA,73,98.65,2.94 (2.57-3.32),1.57,10.62
astrocytes 8,771,0.065,22.0,48,1,2.08,0.79 (NA-NA),47,97.92,4.53 (3.78-5.27),1.35,3.18
oligodendrocyte progenitor cells 12,3303,0.099,74.0,276,10,3.62,1.91 (1.36-2.46),266,96.38,3.62 (3.40-3.84),6.61,5.05
oligodendrocytes 10,1277,0.077,28.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27),NA,6.37
connective tissue cells 21,82,0.203,12.0,19,0,0.0,NA,19,100.0,7.57 (7.32-7.82),NA,1.85
astrocytes 15,367,0.137,46.0,17,1,5.88,2.91 (NA-NA),16,94.12,2.03 (1.01-3.05),1.87,3.39
oligodendrocytes 16,74,0.232,74.0,1,0,0.0,NA,1,100.0,3.65 (NA-NA),NA,1.76
da neurons 6,518,0.065,5.0,122,16,13.11,1.91 (1.31-2.50),106,86.89,4.42 (4.02-4.82),4.05,3.40
astrocytes microglia 23,114,0.219,8.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,721,0.138,25.0,61,3,4.92,2.86 (0.66-5.06),58,95.08,2.97 (2.55-3.39),2.53,6.20
oligodendrocytes 0,479,0.141,40.0,40,0,0.0,NA,40,100.0,5.86 (5.35-6.38),NA,3.47
microglia 1,1615,0.106,45.0,161,10,6.21,0.87 (0.32-1.41),151,93.79,3.47 (3.21-3.73),14.96,4.80
oligodendrocytes 3,639,0.155,83.0,15,4,26.67,0.50 (0.20-0.80),11,73.33,4.56 (3.30-5.82),3.19,1.87
oligodendrocytes 2,804,0.21,93.0,84,4,4.76,1.16 (0.44-1.88),80,95.24,2.79 (2.44-3.13),2.94,3.42
