tipo_celular,module_size,SRSF10_MM,SRSF10_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,172,0.161,47.0,140,2,1.43,5.16 (NA-NA),138,98.57,4.50 (4.07-4.92),2.75,3.58
T cells 18,518,0.171,61.0,131,9,6.87,3.43 (2.93-3.93),122,93.13,3.04 (2.75-3.34),4.19,4.80
astrocytes 5,1656,0.152,95.0,136,9,6.62,2.12 (1.46-2.78),127,93.38,3.30 (3.01-3.58),6.54,4.88
oligodendrocyte progenitor cells 7,628,0.162,49.0,164,3,1.83,NA,161,98.17,4.08 (3.76-4.41),2.15,7.63
GABA neurons expressing GLU receptors 22,400,0.14,17.0,24,6,25.0,0.51 (0.32-0.70),18,75.0,2.70 (2.26-3.14),6.32,2.67
GLU like neurons 17,229,0.152,23.0,22,0,0.0,NA,22,100.0,2.52 (1.91-3.13),NA,3.09
da like neurons 11,168,0.109,43.0,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,266,0.105,17.0,118,0,0.0,NA,118,100.0,4.74 (4.38-5.09),NA,3.99
endothelial cells 9,385,0.089,35.0,275,68,24.73,2.74 (2.34-3.14),207,75.27,4.58 (4.30-4.86),10.98,4.21
oligodendrocytes 20,295,0.151,34.0,28,7,25.0,2.83 (2.03-3.63),21,75.0,1.95 (1.43-2.48),2.02,3.42
GABA like neurons 14,2402,0.247,55.0,455,37,8.13,2.28 (1.84-2.72),418,91.87,4.60 (4.41-4.78),18.50,7.98
astrocytes 8,577,0.059,27.0,83,5,6.02,2.52 (0.55-4.49),78,93.98,3.30 (2.84-3.76),2.04,4.63
oligodendrocyte progenitor cells 12,1049,0.054,19.0,235,9,3.83,3.76 (3.27-4.25),226,96.17,3.83 (3.58-4.07),5.23,7.71
oligodendrocytes 10,2107,0.187,65.0,358,68,18.99,2.37 (2.01-2.72),290,81.01,4.36 (4.17-4.54),24.12,6.04
connective tissue cells 21,139,0.234,20.0,6,1,16.67,NA,5,83.33,1.24 (-0.25-2.73),1.37,2.18
astrocytes 15,268,0.058,32.0,10,2,20.0,2.44 (1.43-3.45),8,80.0,4.11 (1.93-6.29),1.44,1.63
oligodendrocytes 16,91,0.217,60.0,1,0,0.0,NA,1,100.0,7.70 (NA-NA),NA,5.09
da neurons 6,448,0.081,24.0,43,5,11.63,3.90 (3.68-4.13),38,88.37,3.18 (2.58-3.78),3.01,3.53
astrocytes microglia 23,121,0.335,67.0,1,0,0.0,NA,1,100.0,6.31 (NA-NA),NA,1.47
astrocytes 4,1807,0.157,73.0,104,27,25.96,1.72 (1.38-2.06),77,74.04,3.26 (2.95-3.58),10.23,3.70
oligodendrocytes 0,613,0.163,69.0,127,25,19.69,2.59 (2.22-2.97),102,80.31,3.22 (2.68-3.77),3.53,6.95
microglia 1,958,0.11,48.0,290,28,9.66,3.58 (2.89-4.27),262,90.34,3.84 (3.60-4.09),6.56,4.83
oligodendrocytes 3,743,0.078,43.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55),NA,7.29
oligodendrocytes 2,921,0.147,68.0,200,20,10.0,3.78 (3.10-4.46),180,90.0,3.60 (3.32-3.89),5.26,3.26
