tipo_celular,module_size,TRAPPC9_MM,TRAPPC9_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,125,0.106,2.0,1,0,0.0,NA,1,100.0,0.55 (NA-NA),NA,3.32
T cells 18,388,0.159,54.0,84,0,0.0,NA,84,100.0,2.97 (2.65-3.30),NA,4.32
astrocytes 5,156,0.091,9.0,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,200,0.076,7.0,16,0,0.0,NA,16,100.0,3.93 (3.11-4.74),NA,4.29
GABA neurons expressing GLU receptors 22,400,0.112,8.0,24,10,41.67,1.19 (0.50-1.88),14,58.33,2.85 (2.38-3.31),5.09,2.50
GLU like neurons 17,1247,0.138,53.0,51,2,3.92,2.04 (1.96-2.12),49,96.08,3.70 (3.11-4.30),2.73,3.26
da like neurons 11,197,0.351,86.0,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,93,0.061,0.0,2,0,0.0,NA,2,100.0,NA,NA,2.07
endothelial cells 9,1653,0.199,89.0,297,2,0.67,4.27 (3.13-5.40),295,99.33,3.67 (3.46-3.87),6.43,5.51
oligodendrocytes 20,275,0.257,69.0,17,0,0.0,NA,17,100.0,1.72 (1.15-2.29),NA,4.30
GABA like neurons 14,1300,0.216,54.0,306,19,6.21,3.23 (2.44-4.02),287,93.79,5.28 (5.02-5.55),8.10,6.61
astrocytes 8,727,0.101,45.0,29,0,0.0,NA,29,100.0,2.37 (1.87-2.86),NA,3.55
oligodendrocyte progenitor cells 12,143,0.446,64.0,1,0,0.0,NA,1,100.0,7.70 (NA-NA),NA,1.31
oligodendrocytes 10,2107,0.275,85.0,358,29,8.1,2.49 (1.89-3.10),329,91.9,4.03 (3.83-4.22),18.56,8.67
connective tissue cells 21,69,0.185,3.0,1,0,0.0,NA,1,100.0,NA,NA,1.82
astrocytes 15,377,0.13,33.0,14,3,21.43,0.49 (0.40-0.58),11,78.57,2.84 (1.34-4.34),3.00,2.30
oligodendrocytes 16,149,0.086,1.0,70,0,0.0,NA,70,100.0,5.65 (5.18-6.12),NA,3.31
da neurons 6,398,0.132,42.0,138,12,8.7,3.51 (2.33-4.69),126,91.3,4.97 (4.60-5.35),2.44,2.76
astrocytes microglia 23,229,0.276,43.0,99,4,4.04,2.97 (2.40-3.54),95,95.96,4.36 (4.02-4.70),3.30,3.23
astrocytes 4,201,0.105,5.0,18,0,0.0,NA,18,100.0,4.54 (3.65-5.42),NA,3.09
oligodendrocytes 0,1186,0.126,23.0,300,4,1.33,4.04 (2.57-5.52),296,98.67,3.79 (3.58-4.00),2.10,4.18
microglia 1,315,0.092,10.0,144,5,3.47,3.25 (2.55-3.95),139,96.53,4.51 (4.19-4.82),4.44,4.20
oligodendrocytes 3,187,0.173,81.0,2,0,0.0,NA,2,100.0,3.78 (NA-NA),NA,2.73
oligodendrocytes 2,347,0.17,37.0,15,1,6.67,5.21 (NA-NA),14,93.33,4.80 (3.88-5.72),1.49,2.43
