tipo_celular,module_size,PCBP2_MM,PCBP2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,178,0.13,7.0,13,0,0.0,NA,13,100.0,1.68 (1.03-2.33),NA,5.07
T cells 18,610,0.12,25.0,98,40,40.82,2.18 (1.77-2.59),58,59.18,3.80 (3.45-4.16),5.97,2.70
astrocytes 5,1141,0.094,9.0,166,37,22.29,2.37 (2.01-2.74),129,77.71,3.75 (3.47-4.04),6.74,3.92
oligodendrocyte progenitor cells 7,4285,0.121,29.0,353,55,15.58,2.14 (1.83-2.45),298,84.42,4.30 (4.12-4.48),22.98,5.31
GABA neurons expressing GLU receptors 22,400,0.178,37.0,24,10,41.67,1.55 (0.67-2.43),14,58.33,2.59 (2.07-3.11),5.21,2.41
GLU like neurons 17,685,0.13,49.0,135,40,29.63,2.27 (1.85-2.69),95,70.37,3.56 (3.20-3.93),5.20,3.14
da like neurons 11,1220,0.093,12.0,410,26,6.34,3.58 (3.06-4.10),384,93.66,4.29 (4.09-4.48),15.21,6.99
GABA neurons expressing GABA receptors 13,77,0.288,98.0,2,0,0.0,NA,2,100.0,NA,NA,1.47
endothelial cells 9,385,0.088,33.0,275,63,22.91,2.29 (1.96-2.63),212,77.09,4.63 (4.36-4.90),10.79,4.43
oligodendrocytes 20,233,0.087,9.0,5,0,0.0,NA,5,100.0,0.63 (-0.10-1.37),NA,2.11
GABA like neurons 14,2402,0.183,36.0,455,46,10.11,2.43 (1.95-2.91),409,89.89,4.59 (4.40-4.77),19.61,7.62
astrocytes 8,260,0.124,52.0,4,2,50.0,1.10 (-0.55-2.76),2,50.0,3.78 (NA-NA),2.39,1.78
oligodendrocyte progenitor cells 12,3303,0.063,30.0,276,47,17.03,2.30 (1.99-2.60),229,82.97,3.87 (3.63-4.11),10.29,4.05
oligodendrocytes 10,483,0.089,37.0,129,5,3.88,4.31 (3.88-4.73),124,96.12,3.40 (3.00-3.80),17.28,19.27
connective tissue cells 21,93,0.192,8.0,1,0,0.0,NA,1,100.0,0.26 (NA-NA),NA,1.92
astrocytes 15,1401,0.1,64.0,96,5,5.21,2.78 (0.89-4.66),91,94.79,3.65 (3.18-4.11),3.97,3.79
oligodendrocytes 16,71,0.124,18.0,1,1,100.0,3.52 (NA-NA),0,0.0,NA,1.65,NA
da neurons 6,553,0.104,31.0,124,3,2.42,2.28 (-1.40-5.95),121,97.58,4.23 (3.83-4.62),2.70,3.04
astrocytes microglia 23,70,0.249,28.0,76,2,2.63,NA,74,97.37,4.20 (3.69-4.72),7.51,4.45
astrocytes 4,721,0.16,67.0,61,6,9.84,3.81 (3.50-4.12),55,90.16,2.87 (2.42-3.32),3.35,6.31
oligodendrocytes 0,1186,0.142,45.0,300,10,3.33,3.74 (3.23-4.24),290,96.67,3.80 (3.58-4.01),4.72,4.14
microglia 1,958,0.109,47.0,290,22,7.59,3.13 (2.43-3.83),268,92.41,3.88 (3.64-4.12),5.44,4.96
oligodendrocytes 3,743,0.068,29.0,76,1,1.32,NA,75,98.68,3.16 (2.77-3.55),1.86,7.36
oligodendrocytes 2,921,0.107,10.0,200,7,3.5,3.04 (1.97-4.10),193,96.5,3.64 (3.37-3.92),7.55,3.32
