tipo_celular,module_size,GNAS_MM,GNAS_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,235,0.266,62.0,140,28,20.0,4.22 (3.48-4.96),112,80.0,4.65 (4.35-4.95),4.64,3.27
T cells 18,282,0.278,85.0,241,6,2.49,3.74 (3.47-4.00),235,97.51,4.06 (3.80-4.31),1.85,4.40
astrocytes 5,228,0.356,92.0,266,38,14.29,2.50 (2.03-2.98),228,85.71,4.40 (4.20-4.61),8.20,4.44
oligodendrocyte progenitor cells 7,628,0.349,94.0,164,6,3.66,3.61 (2.48-4.74),158,96.34,4.11 (3.77-4.45),4.85,7.63
GABA neurons expressing GLU receptors 22,848,0.55,100.0,262,29,11.07,3.21 (2.53-3.88),233,88.93,4.27 (4.01-4.53),7.10,3.73
GLU like neurons 17,1316,0.273,100.0,101,1,0.99,2.53 (NA-NA),100,99.01,3.06 (2.70-3.41),2.99,3.05
da like neurons 11,1220,0.509,98.0,410,27,6.59,2.79 (2.24-3.33),383,93.41,4.34 (4.15-4.53),15.33,6.96
GABA neurons expressing GABA receptors 13,265,0.24,81.0,78,7,8.97,2.92 (2.30-3.53),71,91.03,4.55 (4.11-4.99),4.45,4.25
endothelial cells 9,338,0.328,90.0,191,2,1.05,2.34 (1.80-2.87),189,98.95,3.91 (3.68-4.13),5.89,9.19
oligodendrocytes 20,938,0.064,20.0,169,16,9.47,2.85 (2.01-3.69),153,90.53,3.54 (3.32-3.77),8.35,5.05
GABA like neurons 14,2402,0.595,95.0,455,35,7.69,2.34 (1.74-2.94),420,92.31,4.51 (4.33-4.70),23.65,7.60
astrocytes 8,520,0.407,95.0,288,37,12.85,3.19 (2.72-3.65),251,87.15,4.32 (4.11-4.53),9.95,3.91
oligodendrocyte progenitor cells 12,254,0.2,31.0,37,19,51.35,3.86 (3.09-4.62),18,48.65,5.39 (4.73-6.04),2.15,2.82
oligodendrocytes 10,806,0.526,97.0,261,19,7.28,2.31 (1.84-2.78),242,92.72,4.46 (4.22-4.71),7.09,5.98
connective tissue cells 21,101,0.432,81.0,116,16,13.79,2.83 (1.78-3.88),100,86.21,4.92 (4.50-5.33),3.59,3.16
astrocytes 15,261,0.12,32.0,8,4,50.0,1.87 (0.12-3.62),4,50.0,6.09 (4.30-7.88),1.65,2.01
oligodendrocytes 16,313,0.489,94.0,291,22,7.56,2.84 (2.39-3.28),269,92.44,4.46 (4.23-4.69),6.55,3.59
da neurons 6,300,0.15,47.0,159,6,3.77,6.33 (6.33-6.33),153,96.23,4.32 (4.00-4.63),2.48,3.78
astrocytes microglia 23,70,0.319,51.0,76,1,1.32,NA,75,98.68,4.20 (3.69-4.72),1.30,4.58
astrocytes 4,157,0.305,80.0,178,27,15.17,2.45 (1.91-3.00),151,84.83,4.50 (4.24-4.76),6.16,4.20
oligodendrocytes 0,116,0.294,80.0,169,1,0.59,2.08 (NA-NA),168,99.41,4.29 (4.00-4.59),2.25,6.51
microglia 1,214,0.302,79.0,227,9,3.96,2.96 (1.86-4.06),218,96.04,4.13 (3.89-4.37),17.12,5.67
oligodendrocytes 3,457,0.424,97.0,345,31,8.99,3.32 (2.90-3.74),314,91.01,4.37 (4.15-4.59),12.30,5.04
oligodendrocytes 2,99,0.364,75.0,116,0,0.0,NA,116,100.0,3.96 (3.66-4.26),NA,7.24
