tipo_celular,module_size,RABL6_MM,RABL6_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,185,0.122,19.0,98,4,4.08,1.23 (0.76-1.70),94,95.92,3.34 (2.85-3.82),11.52,13.54
T cells 18,624,0.094,10.0,142,2,1.41,NA,140,98.59,3.21 (2.94-3.48),7.22,4.26
astrocytes 5,932,0.124,72.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08),NA,4.30
oligodendrocyte progenitor cells 7,4285,0.133,47.0,353,21,5.95,1.75 (1.16-2.35),332,94.05,4.05 (3.87-4.23),24.41,7.03
GABA neurons expressing GLU receptors 22,1069,0.07,3.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61),NA,3.10
GLU like neurons 17,489,0.156,59.0,42,0,0.0,NA,42,100.0,5.99 (5.44-6.55),NA,3.21
da like neurons 11,853,0.167,71.0,133,9,6.77,1.21 (0.57-1.86),124,93.23,3.43 (3.12-3.74),6.25,4.01
GABA neurons expressing GABA receptors 13,238,0.111,17.0,36,0,0.0,NA,36,100.0,3.88 (3.35-4.40),NA,17.22
endothelial cells 9,303,0.062,8.0,54,1,1.85,4.29 (NA-NA),53,98.15,4.85 (4.21-5.50),1.48,5.10
oligodendrocytes 20,253,0.135,37.0,7,0,0.0,NA,7,100.0,0.94 (0.08-1.80),NA,5.94
GABA like neurons 14,2090,0.254,95.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32),NA,10.50
astrocytes 8,1266,0.068,35.0,66,13,19.7,1.77 (0.84-2.71),53,80.3,3.57 (3.16-3.99),3.65,2.78
oligodendrocyte progenitor cells 12,3303,0.075,45.0,276,15,5.43,2.31 (1.66-2.96),261,94.57,3.62 (3.40-3.85),5.75,5.07
oligodendrocytes 10,483,0.061,17.0,129,0,0.0,NA,129,100.0,3.43 (3.04-3.82),NA,19.19
connective tissue cells 21,106,0.284,52.0,4,0,0.0,NA,4,100.0,4.98 (4.91-5.06),NA,1.87
astrocytes 15,1401,0.053,19.0,96,3,3.12,2.48 (0.70-4.26),93,96.88,3.66 (3.20-4.12),8.37,3.65
oligodendrocytes 16,155,0.271,76.0,8,2,25.0,0.47 (0.34-0.61),6,75.0,4.21 (0.18-8.24),1.69,1.63
da neurons 6,553,0.139,58.0,124,1,0.81,0.40 (NA-NA),123,99.19,4.23 (3.84-4.61),3.77,3.03
astrocytes microglia 23,96,0.255,15.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,721,0.158,63.0,61,0,0.0,NA,61,100.0,2.97 (2.55-3.38),NA,6.02
oligodendrocytes 0,2078,0.104,28.0,238,4,1.68,2.49 (1.32-3.66),234,98.32,3.65 (3.43-3.88),2.42,5.07
microglia 1,1615,0.072,4.0,161,12,7.45,1.04 (0.48-1.61),149,92.55,3.48 (3.21-3.74),15.45,4.63
oligodendrocytes 3,357,0.047,8.0,127,0,0.0,NA,127,100.0,3.12 (2.79-3.45),NA,4.24
oligodendrocytes 2,921,0.106,8.0,200,1,0.5,NA,199,99.5,3.62 (3.36-3.89),2.96,3.47
