tipo_celular,module_size,MKLN1_MM,MKLN1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,235,0.148,24.0,140,15,10.71,3.84 (2.90-4.79),125,89.29,4.66 (4.37-4.95),4.78,3.39
T cells 18,282,0.129,13.0,12,0,0.0,NA,12,100.0,3.30 (2.18-4.42),NA,5.37
astrocytes 5,222,0.202,48.0,98,6,6.12,4.59 (2.54-6.65),92,93.88,4.60 (4.19-5.01),2.91,2.63
oligodendrocyte progenitor cells 7,4285,0.099,9.0,353,16,4.53,1.92 (1.33-2.52),337,95.47,4.01 (3.83-4.20),23.32,7.34
GABA neurons expressing GLU receptors 22,599,0.1,4.0,22,0,0.0,NA,22,100.0,2.24 (1.45-3.03),NA,3.95
GLU like neurons 17,685,0.108,35.0,135,4,2.96,1.10 (0.52-1.69),131,97.04,3.27 (2.96-3.57),2.61,3.78
da like neurons 11,140,0.308,74.0,1,0,0.0,NA,1,100.0,NA,NA,1.72
GABA neurons expressing GABA receptors 13,288,0.204,63.0,93,19,20.43,3.61 (2.66-4.57),74,79.57,5.63 (5.11-6.15),3.85,3.98
endothelial cells 9,586,0.292,65.0,62,1,1.61,5.98 (NA-NA),61,98.39,4.01 (3.56-4.46),1.81,4.25
oligodendrocytes 20,676,0.571,86.0,110,20,18.18,3.83 (2.93-4.73),90,81.82,5.37 (4.88-5.85),3.82,3.46
GABA like neurons 14,1300,0.209,52.0,306,34,11.11,3.21 (2.58-3.83),272,88.89,5.44 (5.18-5.70),7.51,6.61
astrocytes 8,283,0.369,100.0,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,411,0.185,57.0,103,3,2.91,5.97 (3.65-8.28),100,97.09,5.53 (5.14-5.92),3.26,3.08
oligodendrocytes 10,236,0.22,6.0,82,11,13.41,4.93 (3.87-5.99),71,86.59,5.01 (4.42-5.59),4.76,3.69
connective tissue cells 21,250,0.161,8.0,117,13,11.11,4.08 (3.08-5.08),104,88.89,5.61 (5.19-6.02),3.91,3.72
astrocytes 15,208,0.066,37.0,4,0,0.0,NA,4,100.0,3.12 (0.87-5.36),NA,2.82
oligodendrocytes 16,287,0.297,48.0,105,20,19.05,3.73 (2.76-4.70),85,80.95,5.54 (5.10-5.98),4.50,3.23
da neurons 6,398,0.229,77.0,138,25,18.12,3.24 (2.52-3.96),113,81.88,5.21 (4.83-5.60),3.23,2.63
astrocytes microglia 23,59,0.227,16.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,255,0.223,78.0,12,1,8.33,5.72 (NA-NA),11,91.67,4.40 (3.48-5.32),1.35,2.42
oligodendrocytes 0,261,0.135,21.0,42,14,33.33,3.58 (2.54-4.62),28,66.67,4.44 (3.52-5.35),2.84,1.99
microglia 1,315,0.14,33.0,144,8,5.56,3.80 (2.60-5.00),136,94.44,4.50 (4.18-4.81),3.79,4.23
oligodendrocytes 3,127,0.245,47.0,45,8,17.78,3.55 (2.44-4.65),37,82.22,4.66 (3.55-5.76),2.23,6.72
oligodendrocytes 2,407,0.093,4.0,122,8,6.56,1.34 (0.61-2.06),114,93.44,3.51 (3.12-3.91),2.97,2.68
