tipo_celular,module_size,KPNA3_MM,KPNA3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,125,0.149,13.0,1,0,0.0,NA,1,100.0,0.55 (NA-NA),NA,3.32
T cells 18,518,0.081,5.0,131,2,1.53,4.17 (NA-NA),129,98.47,3.06 (2.79-3.34),1.50,4.80
astrocytes 5,1141,0.118,31.0,166,15,9.04,2.51 (1.75-3.28),151,90.96,3.50 (3.24-3.76),9.35,4.07
oligodendrocyte progenitor cells 7,4285,0.142,61.0,353,46,13.03,2.59 (2.15-3.02),307,86.97,4.13 (3.94-4.32),22.87,5.85
GABA neurons expressing GLU receptors 22,703,0.248,83.0,23,2,8.7,1.50 (0.87-2.12),21,91.3,2.15 (1.37-2.93),2.71,4.04
GLU like neurons 17,380,0.196,68.0,39,4,10.26,3.29 (2.33-4.24),35,89.74,2.93 (2.32-3.54),3.26,2.49
da like neurons 11,71,0.081,9.0,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,90,0.14,34.0,4,1,25.0,2.24 (NA-NA),3,75.0,6.38 (3.80-8.96),2.06,1.77
endothelial cells 9,1653,0.1,26.0,297,4,1.35,4.34 (4.15-4.54),293,98.65,3.66 (3.45-3.87),3.96,5.54
oligodendrocytes 20,275,0.166,36.0,17,0,0.0,NA,17,100.0,1.72 (1.15-2.29),NA,4.30
GABA like neurons 14,3052,0.132,43.0,125,2,1.6,4.52 (4.52-4.52),123,98.4,3.33 (3.00-3.66),1.96,8.72
astrocytes 8,218,0.234,87.0,9,1,11.11,4.17 (NA-NA),8,88.89,1.87 (1.01-2.73),1.81,5.30
oligodendrocyte progenitor cells 12,3303,0.125,92.0,276,34,12.32,2.93 (2.48-3.37),242,87.68,3.64 (3.40-3.88),11.64,4.19
oligodendrocytes 10,2107,0.153,53.0,358,41,11.45,2.55 (2.08-3.02),317,88.55,4.07 (3.88-4.27),24.68,7.51
connective tissue cells 21,106,0.186,5.0,4,0,0.0,NA,4,100.0,4.98 (4.91-5.06),NA,1.87
astrocytes 15,1401,0.076,41.0,96,4,4.17,2.87 (1.89-3.84),92,95.83,3.64 (3.18-4.11),2.76,3.84
oligodendrocytes 16,121,0.203,45.0,8,0,0.0,NA,8,100.0,0.99 (0.10-1.89),NA,1.91
da neurons 6,518,0.112,53.0,122,25,20.49,2.40 (1.84-2.96),97,79.51,4.54 (4.12-4.96),4.75,3.16
astrocytes microglia 23,86,0.239,15.0,1,0,0.0,NA,1,100.0,1.71 (NA-NA),NA,1.66
astrocytes 4,721,0.143,34.0,61,5,8.2,3.08 (1.86-4.30),56,91.8,2.96 (2.52-3.39),2.36,6.35
oligodendrocytes 0,1186,0.116,13.0,300,3,1.0,3.37 (1.55-5.19),297,99.0,3.80 (3.59-4.00),1.55,4.18
microglia 1,1615,0.106,45.0,161,21,13.04,1.72 (1.19-2.26),140,86.96,3.57 (3.29-3.84),15.41,3.94
oligodendrocytes 3,1003,0.098,53.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64),NA,4.23
oligodendrocytes 2,921,0.111,12.0,200,27,13.5,3.67 (3.28-4.06),173,86.5,3.61 (3.32-3.91),4.24,3.34
