tipo_celular,module_size,HSPH1_MM,HSPH1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,351,0.246,95.0,71,1,1.41,0.21 (NA-NA),70,98.59,2.66 (2.25-3.07),1.95,3.60
T cells 18,477,0.483,100.0,43,1,2.33,8.28 (NA-NA),42,97.67,1.85 (1.47-2.22),1.31,7.26
astrocytes 5,423,0.575,100.0,80,6,7.5,5.61 (3.14-8.08),74,92.5,3.23 (2.78-3.68),3.26,5.16
oligodendrocyte progenitor cells 7,666,0.818,100.0,127,13,10.24,2.87 (1.07-4.67),114,89.76,3.93 (3.61-4.25),4.52,5.99
GABA neurons expressing GLU receptors 22,848,0.205,48.0,262,13,4.96,2.42 (1.29-3.54),249,95.04,4.24 (3.99-4.48),10.69,3.76
GLU like neurons 17,489,0.139,52.0,42,0,0.0,NA,42,100.0,5.99 (5.44-6.55),NA,3.21
da like neurons 11,1220,0.264,74.0,410,16,3.9,4.01 (2.64-5.38),394,96.1,4.26 (4.07-4.44),17.85,7.10
GABA neurons expressing GABA receptors 13,265,0.18,64.0,78,2,2.56,3.18 (3.18-3.18),76,97.44,4.40 (3.97-4.82),5.07,4.24
endothelial cells 9,385,0.564,100.0,275,43,15.64,2.27 (1.69-2.86),232,84.36,4.37 (4.12-4.62),11.57,4.83
oligodendrocytes 20,322,0.163,67.0,10,0,0.0,NA,10,100.0,1.41 (0.38-2.43),NA,5.13
GABA like neurons 14,2402,0.351,74.0,455,34,7.47,2.46 (1.68-3.24),421,92.53,4.52 (4.35-4.70),22.11,7.76
astrocytes 8,577,0.463,100.0,83,7,8.43,4.96 (2.56-7.35),76,91.57,3.08 (2.66-3.50),4.01,4.51
oligodendrocyte progenitor cells 12,3303,0.074,44.0,276,25,9.06,1.78 (1.47-2.09),251,90.94,3.78 (3.56-4.00),13.56,4.27
oligodendrocytes 10,735,0.15,76.0,277,3,1.08,6.25 (4.97-7.52),274,98.92,3.86 (3.62-4.10),2.64,9.01
connective tissue cells 21,152,0.307,70.0,21,0,0.0,NA,21,100.0,5.18 (3.84-6.52),NA,2.22
astrocytes 15,377,0.166,62.0,14,4,28.57,1.28 (-0.27-2.83),10,71.43,2.71 (0.96-4.45),2.71,2.35
oligodendrocytes 16,74,0.198,57.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,518,0.177,89.0,122,16,13.11,2.10 (0.82-3.37),106,86.89,4.27 (3.89-4.64),2.33,3.66
astrocytes microglia 23,327,0.651,98.0,120,33,27.5,2.84 (2.11-3.58),87,72.5,3.92 (3.64-4.20),3.75,2.43
astrocytes 4,514,0.712,100.0,95,9,9.47,3.95 (1.76-6.13),86,90.53,3.30 (2.90-3.69),3.97,4.71
oligodendrocytes 0,613,0.296,99.0,127,12,9.45,3.28 (2.04-4.51),115,90.55,3.01 (2.57-3.46),3.59,6.56
microglia 1,958,0.405,100.0,290,9,3.1,2.38 (0.68-4.08),281,96.9,3.87 (3.64-4.09),6.07,4.97
oligodendrocytes 3,357,0.141,77.0,127,0,0.0,NA,127,100.0,3.12 (2.79-3.45),NA,4.24
oligodendrocytes 2,921,0.242,100.0,200,2,1.0,1.64 (1.01-2.27),198,99.0,3.65 (3.38-3.91),5.80,3.44
