tipo_celular,module_size,SNX6_MM,SNX6_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,500,0.278,89.0,32,2,6.25,3.37 (1.15-5.58),30,93.75,3.75 (2.92-4.58),2.44,3.69
T cells 18,518,0.193,74.0,131,3,2.29,3.32 (2.27-4.37),128,97.71,3.07 (2.79-3.35),4.21,4.77
astrocytes 5,932,0.098,34.0,80,4,5.0,3.92 (3.42-4.43),76,95.0,3.66 (3.22-4.09),1.97,4.43
oligodendrocyte progenitor cells 7,4285,0.094,6.0,353,69,19.55,2.75 (2.35-3.15),284,80.45,4.27 (4.09-4.45),15.91,6.16
GABA neurons expressing GLU receptors 22,1069,0.166,51.0,37,5,13.51,2.19 (1.75-2.64),32,86.49,2.15 (1.61-2.69),2.33,3.22
GLU like neurons 17,1247,0.148,60.0,51,2,3.92,2.04 (1.96-2.12),49,96.08,3.70 (3.11-4.30),2.73,3.26
da like neurons 11,853,0.101,28.0,133,41,30.83,2.29 (1.92-2.67),92,69.17,3.80 (3.41-4.19),5.86,3.41
GABA neurons expressing GABA receptors 13,357,0.079,4.0,237,13,5.49,4.73 (3.92-5.55),224,94.51,4.38 (4.14-4.63),4.95,4.14
endothelial cells 9,916,0.102,15.0,302,5,1.66,1.73 (0.76-2.70),297,98.34,4.03 (3.81-4.26),9.33,10.68
oligodendrocytes 20,938,0.175,72.0,169,25,14.79,3.15 (2.66-3.63),144,85.21,3.55 (3.31-3.80),4.43,5.53
GABA like neurons 14,2090,0.128,31.0,74,11,14.86,2.10 (1.87-2.33),63,85.14,3.12 (2.68-3.55),3.37,11.74
astrocytes 8,1266,0.039,6.0,66,12,18.18,1.64 (0.85-2.44),54,81.82,3.65 (3.24-4.06),3.05,2.93
oligodendrocyte progenitor cells 12,1049,0.041,9.0,235,11,4.68,4.02 (3.01-5.02),224,95.32,3.81 (3.57-4.05),3.63,7.81
oligodendrocytes 10,483,0.093,38.0,129,1,0.78,3.96 (NA-NA),128,99.22,3.42 (3.03-3.82),2.60,19.32
connective tissue cells 21,139,0.268,26.0,4,0,0.0,NA,4,100.0,3.51 (2.25-4.78),NA,1.71
astrocytes 15,458,0.038,9.0,36,3,8.33,3.95 (2.83-5.06),33,91.67,3.75 (2.56-4.94),1.99,2.63
oligodendrocytes 16,64,0.177,43.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,409,0.058,4.0,235,8,3.4,4.04 (2.29-5.79),227,96.6,3.97 (3.72-4.22),2.27,4.49
astrocytes microglia 23,127,0.254,20.0,1,0,0.0,NA,1,100.0,NA,NA,1.78
astrocytes 4,787,0.114,4.0,65,0,0.0,NA,65,100.0,2.96 (2.57-3.36),NA,5.75
oligodendrocytes 0,613,0.106,14.0,127,21,16.54,2.66 (2.22-3.09),106,83.46,3.19 (2.65-3.73),2.84,6.96
microglia 1,346,0.058,1.0,43,4,9.3,3.93 (3.47-4.39),39,90.7,3.75 (3.18-4.31),3.83,4.55
oligodendrocytes 3,357,0.094,50.0,127,0,0.0,NA,127,100.0,3.12 (2.79-3.45),NA,4.24
oligodendrocytes 2,921,0.075,1.0,200,14,7.0,3.41 (2.55-4.26),186,93.0,3.64 (3.36-3.92),4.81,3.36
