tipo_celular,module_size,STXBP1_MM,STXBP1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,172.0,0.361,89.0,140,12,8.57,3.52 (2.43-4.60),128,91.43,4.61 (4.16-5.05),2.61,3.66
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,228.0,0.194,60.0,266,52,19.55,3.13 (2.64-3.62),214,80.45,4.40 (4.19-4.62),6.94,4.50
oligodendrocyte progenitor cells 7,296.0,0.24,73.0,251,1,0.4,3.22 (NA-NA),250,99.6,4.07 (3.83-4.31),1.83,6.17
GABA neurons expressing GLU receptors 22,848.0,0.171,32.0,262,68,25.95,4.44 (3.94-4.94),194,74.05,4.04 (3.76-4.31),6.34,3.32
GLU like neurons 17,1247.0,0.211,86.0,51,4,7.84,3.77 (1.81-5.74),47,92.16,3.61 (3.00-4.22),3.68,3.20
da like neurons 11,1220.0,0.226,64.0,410,39,9.51,3.37 (2.94-3.79),371,90.49,4.35 (4.15-4.56),12.98,6.94
GABA neurons expressing GABA receptors 13,357.0,0.284,87.0,237,8,3.38,3.92 (3.44-4.40),229,96.62,4.43 (4.19-4.67),5.58,4.13
endothelial cells 9,338.0,0.25,79.0,191,12,6.28,3.85 (2.92-4.78),179,93.72,3.89 (3.66-4.12),3.44,9.54
oligodendrocytes 20,250.0,0.095,18.0,14,0,0.0,NA,14,100.0,1.92 (1.21-2.62),NA,4.81
GABA like neurons 14,2402.0,0.181,35.0,455,53,11.65,2.77 (2.39-3.16),402,88.35,4.60 (4.41-4.80),20.05,7.36
astrocytes 8,520.0,0.344,91.0,288,51,17.71,3.66 (3.26-4.07),237,82.29,4.30 (4.08-4.53),8.73,3.81
oligodendrocyte progenitor cells 12,3303.0,0.137,96.0,276,36,13.04,2.81 (2.37-3.26),240,86.96,3.69 (3.45-3.93),11.14,4.21
oligodendrocytes 10,806.0,0.449,94.0,261,41,15.71,4.44 (3.73-5.14),220,84.29,4.35 (4.10-4.61),5.21,6.22
connective tissue cells 21,104.0,0.291,57.0,3,0,0.0,NA,3,100.0,1.89 (-1.31-5.09),NA,1.73
astrocytes 15,367.0,0.121,36.0,17,1,5.88,2.91 (NA-NA),16,94.12,2.03 (1.01-3.05),1.87,3.39
oligodendrocytes 16,313.0,0.486,93.0,291,33,11.34,3.47 (3.04-3.89),258,88.66,4.46 (4.22-4.71),5.57,3.59
da neurons 6,300.0,0.412,98.0,159,8,5.03,5.80 (4.63-6.98),151,94.97,4.28 (3.96-4.59),2.78,3.78
astrocytes microglia 23,126.0,0.241,9.0,1,0,0.0,NA,1,100.0,5.16 (NA-NA),NA,1.67
astrocytes 4,157.0,0.196,59.0,178,37,20.79,2.94 (2.33-3.55),141,79.21,4.50 (4.23-4.76),5.08,4.35
oligodendrocytes 0,116.0,0.181,57.0,169,7,4.14,4.69 (2.96-6.43),162,95.86,4.26 (3.96-4.56),2.18,6.67
microglia 1,214.0,0.378,90.0,227,19,8.37,4.03 (3.19-4.87),208,91.63,4.10 (3.85-4.34),9.97,5.77
oligodendrocytes 3,457.0,0.214,84.0,345,45,13.04,3.30 (3.00-3.60),300,86.96,4.45 (4.22-4.68),10.50,4.97
oligodendrocytes 2,99.0,0.248,54.0,116,5,4.31,5.78 (5.38-6.17),111,95.69,3.91 (3.61-4.21),2.45,7.45
