tipo_celular,module_size,HTT_MM,HTT_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,184,0.113,3.0,21,14,66.67,1.93 (1.14-2.71),7,33.33,3.17 (2.54-3.81),2.05,1.92
T cells 18,624,0.201,83.0,142,8,5.63,3.94 (2.76-5.13),134,94.37,3.17 (2.90-3.44),3.62,4.34
astrocytes 5,932,0.067,3.0,80,3,3.75,3.84 (3.13-4.55),77,96.25,3.66 (3.24-4.09),2.00,4.39
oligodendrocyte progenitor cells 7,4285,0.153,76.0,353,69,19.55,2.90 (2.48-3.33),284,80.45,4.21 (4.02-4.39),17.86,5.68
GABA neurons expressing GLU receptors 22,703,0.172,42.0,23,2,8.7,1.18 (NA-NA),21,91.3,2.13 (1.39-2.88),1.45,4.16
GLU like neurons 17,300,0.208,68.0,16,6,37.5,2.38 (1.62-3.14),10,62.5,1.86 (0.45-3.27),2.09,2.69
da like neurons 11,153,0.134,22.0,2,1,50.0,5.80 (NA-NA),1,50.0,NA,1.72,11.13
GABA neurons expressing GABA receptors 13,101,0.161,50.0,3,0,0.0,NA,3,100.0,1.59 (0.34-2.85),NA,1.99
endothelial cells 9,1653,0.136,57.0,297,10,3.37,4.43 (3.19-5.68),287,96.63,3.65 (3.44-3.85),4.92,5.54
oligodendrocytes 20,279,0.195,47.0,16,1,6.25,4.17 (NA-NA),15,93.75,2.26 (1.50-3.01),1.42,3.62
GABA like neurons 14,1300,0.156,25.0,306,73,23.86,3.70 (3.29-4.10),233,76.14,5.65 (5.37-5.94),8.08,6.28
astrocytes 8,727,0.199,89.0,29,1,3.45,3.81 (NA-NA),28,96.55,2.31 (1.81-2.81),2.39,3.59
oligodendrocyte progenitor cells 12,3303,0.079,51.0,276,59,21.38,3.08 (2.67-3.49),217,78.62,3.71 (3.46-3.96),9.45,3.93
oligodendrocytes 10,2107,0.23,77.0,358,67,18.72,2.64 (2.20-3.08),291,81.28,4.23 (4.05-4.42),19.68,7.12
connective tissue cells 21,111,0.214,13.0,10,0,0.0,NA,10,100.0,2.44 (1.89-3.00),NA,1.84
astrocytes 15,367,0.093,20.0,17,1,5.88,2.91 (NA-NA),16,94.12,2.03 (1.01-3.05),1.87,3.39
oligodendrocytes 16,112,0.249,92.0,1,0,0.0,NA,1,100.0,NA,NA,1.31
da neurons 6,553,0.088,19.0,124,18,14.52,3.93 (3.26-4.60),106,85.48,4.23 (3.78-4.67),2.69,3.09
astrocytes microglia 23,255,0.239,34.0,57,9,15.79,2.87 (2.44-3.29),48,84.21,2.62 (2.21-3.03),2.80,3.43
astrocytes 4,721,0.107,3.0,61,3,4.92,2.12 (1.37-2.87),58,95.08,3.01 (2.58-3.44),2.87,6.18
oligodendrocytes 0,1186,0.137,36.0,300,29,9.67,4.33 (3.71-4.95),271,90.33,3.73 (3.51-3.94),3.68,4.21
microglia 1,813,0.101,30.0,79,7,8.86,3.02 (2.32-3.73),72,91.14,3.11 (2.67-3.54),3.06,8.37
oligodendrocytes 3,854,0.06,15.0,76,5,6.58,3.07 (1.50-4.63),71,93.42,2.76 (2.42-3.09),3.12,4.83
oligodendrocytes 2,804,0.146,44.0,84,16,19.05,2.39 (1.59-3.19),68,80.95,2.76 (2.39-3.13),2.55,3.59
