tipo_celular,module_size,TMED10_MM,TMED10_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,351,0.18,67.0,71,16,22.54,3.30 (2.44-4.17),55,77.46,2.43 (1.98-2.89),2.16,3.99
T cells 18,393,0.101,12.0,59,6,10.17,4.29 (3.32-5.26),53,89.83,2.96 (2.42-3.49),2.48,5.67
astrocytes 5,322,0.101,10.0,58,5,8.62,2.34 (1.43-3.25),53,91.38,4.38 (3.96-4.80),1.73,2.37
oligodendrocyte progenitor cells 7,628,0.156,43.0,164,18,10.98,3.55 (2.91-4.19),146,89.02,4.14 (3.79-4.49),4.40,7.91
GABA neurons expressing GLU receptors 22,714,0.079,3.0,17,2,11.76,2.07 (2.05-2.09),15,88.24,2.34 (1.67-3.00),1.76,3.81
GLU like neurons 17,380,0.178,55.0,39,8,20.51,3.13 (2.30-3.96),31,79.49,2.92 (2.25-3.59),2.72,2.53
da like neurons 11,408,0.12,30.0,25,11,44.0,3.65 (1.61-5.68),14,56.0,5.79 (4.54-7.05),2.53,2.08
GABA neurons expressing GABA receptors 13,70,0.13,21.0,4,0,0.0,NA,4,100.0,3.85 (3.81-3.89),NA,5.49
endothelial cells 9,559,0.158,51.0,155,7,4.52,5.10 (4.31-5.88),148,95.48,4.30 (3.92-4.68),2.43,4.42
oligodendrocytes 20,221,0.128,20.0,12,2,16.67,5.75 (5.75-5.75),10,83.33,1.58 (0.12-3.05),2.17,4.65
GABA like neurons 14,2402,0.234,51.0,455,71,15.6,3.42 (2.99-3.86),384,84.4,4.57 (4.38-4.77),14.36,7.81
astrocytes 8,771,0.061,19.0,48,1,2.08,0.79 (NA-NA),47,97.92,4.53 (3.78-5.27),1.35,3.18
oligodendrocyte progenitor cells 12,1049,0.112,61.0,235,14,5.96,3.60 (2.99-4.22),221,94.04,3.84 (3.59-4.08),4.04,7.84
oligodendrocytes 10,483,0.093,39.0,129,2,1.55,3.76 (3.36-4.16),127,98.45,3.42 (3.02-3.82),2.54,19.45
connective tissue cells 21,111,0.232,20.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,268,0.039,10.0,10,2,20.0,2.33 (1.53-3.13),8,80.0,4.14 (1.98-6.31),1.67,1.57
oligodendrocytes 16,65,0.142,19.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,518,0.068,6.0,122,38,31.15,2.57 (2.19-2.95),84,68.85,4.97 (4.51-5.43),5.26,2.68
astrocytes microglia 23,53,0.189,0.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,721,0.138,25.0,61,3,4.92,2.12 (1.37-2.87),58,95.08,3.01 (2.58-3.44),2.87,6.18
oligodendrocytes 0,613,0.157,64.0,127,15,11.81,2.57 (2.08-3.07),112,88.19,3.16 (2.67-3.65),3.19,6.69
microglia 1,406,0.116,24.0,278,12,4.32,5.09 (4.47-5.71),266,95.68,4.33 (4.04-4.61),3.54,6.88
oligodendrocytes 3,854,0.093,55.0,76,2,2.63,2.13 (-1.64-5.89),74,97.37,2.80 (2.47-3.13),2.20,4.79
oligodendrocytes 2,528,0.174,33.0,175,28,16.0,3.82 (3.14-4.50),147,84.0,4.53 (4.13-4.93),6.75,4.21
