tipo_celular,module_size,AP2A1_MM,AP2A1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,352,0.277,85.0,73,0,0.0,NA,73,100.0,3.56 (3.22-3.91),NA,3.22
T cells 18,393,0.128,32.0,59,11,18.64,4.02 (3.45-4.60),48,81.36,2.87 (2.28-3.46),2.64,5.97
astrocytes 5,1656,0.095,20.0,136,6,4.41,2.96 (1.87-4.05),130,95.59,3.22 (2.94-3.50),4.75,5.00
oligodendrocyte progenitor cells 7,296,0.118,13.0,251,12,4.78,5.01 (4.28-5.74),239,95.22,4.02 (3.78-4.27),2.22,6.35
GABA neurons expressing GLU receptors 22,400,0.271,84.0,24,15,62.5,1.83 (1.14-2.52),9,37.5,2.70 (2.09-3.32),4.23,2.50
GLU like neurons 17,1247,0.104,28.0,51,2,3.92,2.04 (1.96-2.12),49,96.08,3.70 (3.11-4.30),2.73,3.26
da like neurons 11,1220,0.147,37.0,410,37,9.02,3.44 (3.04-3.83),373,90.98,4.35 (4.15-4.56),9.87,7.28
GABA neurons expressing GABA receptors 13,357,0.109,21.0,237,7,2.95,3.80 (3.39-4.22),230,97.05,4.43 (4.19-4.67),6.23,4.12
endothelial cells 9,338,0.15,59.0,191,13,6.81,3.76 (3.30-4.23),178,93.19,3.90 (3.66-4.14),5.60,9.42
oligodendrocytes 20,221,0.205,54.0,12,2,16.67,5.75 (5.75-5.75),10,83.33,1.58 (0.12-3.05),2.17,4.65
GABA like neurons 14,2402,0.231,51.0,455,56,12.31,3.28 (2.83-3.72),399,87.69,4.55 (4.36-4.75),15.42,7.91
astrocytes 8,520,0.101,42.0,288,55,19.1,3.92 (3.50-4.35),233,80.9,4.24 (4.02-4.47),7.23,4.08
oligodendrocyte progenitor cells 12,3303,0.069,37.0,276,39,14.13,2.92 (2.42-3.42),237,85.87,3.68 (3.45-3.92),8.61,4.53
oligodendrocytes 10,806,0.157,50.0,261,25,9.58,3.62 (3.06-4.19),236,90.42,4.47 (4.21-4.73),8.44,5.81
connective tissue cells 21,91,0.37,86.0,4,0,0.0,NA,4,100.0,0.35 (0.26-0.44),NA,2.51
astrocytes 15,208,0.052,29.0,4,0,0.0,NA,4,100.0,3.12 (0.87-5.36),NA,2.82
oligodendrocytes 16,156,0.166,25.0,3,0,0.0,NA,3,100.0,0.40 (0.24-0.56),NA,1.61
da neurons 6,300,0.181,58.0,159,13,8.18,4.65 (4.14-5.16),146,91.82,4.33 (4.00-4.67),3.39,3.76
astrocytes microglia 23,131,0.293,47.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,1807,0.167,88.0,104,20,19.23,2.30 (1.65-2.95),84,80.77,3.01 (2.70-3.31),8.79,4.59
oligodendrocytes 0,2078,0.1,22.0,238,13,5.46,3.52 (2.79-4.24),225,94.54,3.64 (3.41-3.87),6.35,4.95
microglia 1,214,0.109,16.0,227,14,6.17,3.79 (3.18-4.40),213,93.83,4.12 (3.87-4.37),4.60,6.22
oligodendrocytes 3,457,0.081,29.0,345,49,14.2,3.90 (3.53-4.27),296,85.8,4.35 (4.11-4.59),7.71,5.36
oligodendrocytes 2,1630,0.149,64.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51),NA,3.59
