tipo_celular,module_size,NSF_MM,NSF_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,172,0.157,44.0,140,14,10.0,3.98 (2.62-5.34),126,90.0,4.56 (4.11-5.00),3.24,3.61
T cells 18,282,0.194,62.0,241,16,6.64,4.58 (3.76-5.40),225,93.36,4.02 (3.76-4.28),2.72,4.45
astrocytes 5,228,0.285,85.0,266,55,20.68,3.38 (2.89-3.87),211,79.32,4.33 (4.11-4.56),5.38,4.88
oligodendrocyte progenitor cells 7,296,0.204,64.0,251,9,3.59,5.41 (1.13-9.68),242,96.41,4.05 (3.81-4.29),1.76,6.32
GABA neurons expressing GLU receptors 22,848,0.214,52.0,262,45,17.18,3.80 (3.31-4.29),217,82.82,4.25 (3.96-4.53),5.25,3.87
GLU like neurons 17,795,0.141,55.0,80,2,2.5,2.53 (2.34-2.73),78,97.5,5.80 (5.40-6.19),3.78,2.99
da like neurons 11,853,0.176,75.0,133,21,15.79,2.08 (1.15-3.01),112,84.21,3.46 (3.15-3.78),4.99,4.01
GABA neurons expressing GABA receptors 13,357,0.412,98.0,237,13,5.49,4.05 (3.65-4.46),224,94.51,4.43 (4.18-4.68),4.97,4.14
endothelial cells 9,338,0.293,86.0,191,11,5.76,4.07 (3.49-4.66),180,94.24,3.87 (3.64-4.11),5.76,9.37
oligodendrocytes 20,358,0.095,28.0,31,2,6.45,3.42 (3.07-3.77),29,93.55,2.28 (1.83-2.73),1.81,3.97
GABA like neurons 14,2402,0.095,7.0,455,53,11.65,3.18 (2.73-3.63),402,88.35,4.54 (4.34-4.73),15.90,7.90
astrocytes 8,520,0.404,95.0,288,63,21.88,3.91 (3.56-4.25),225,78.12,4.26 (4.02-4.50),6.27,4.24
oligodendrocyte progenitor cells 12,143,0.429,50.0,1,1,100.0,7.70 (NA-NA),0,0.0,NA,1.31,NA
oligodendrocytes 10,806,0.417,91.0,261,36,13.79,3.98 (3.40-4.56),225,86.21,4.43 (4.16-4.69),6.76,5.95
connective tissue cells 21,101,0.304,47.0,116,19,16.38,3.41 (2.52-4.30),97,83.62,4.90 (4.46-5.35),4.37,2.99
astrocytes 15,261,0.128,37.0,8,5,62.5,2.35 (0.70-4.00),3,37.5,7.00 (7.00-7.00),1.59,2.24
oligodendrocytes 16,313,0.545,97.0,291,45,15.46,3.62 (3.26-3.98),246,84.54,4.47 (4.21-4.72),5.85,3.44
da neurons 6,300,0.502,100.0,159,14,8.81,4.97 (4.27-5.67),145,91.19,4.31 (3.98-4.64),3.57,3.74
astrocytes microglia 23,253,0.186,14.0,47,2,4.26,1.42 (0.47-2.37),45,95.74,2.92 (2.59-3.25),2.58,3.10
astrocytes 4,157,0.201,60.0,178,37,20.79,3.25 (2.64-3.87),141,79.21,4.44 (4.16-4.72),3.62,4.73
oligodendrocytes 0,116,0.138,40.0,169,7,4.14,3.85 (2.60-5.10),162,95.86,4.29 (3.99-4.59),2.06,6.68
microglia 1,214,0.171,48.0,227,20,8.81,4.23 (3.63-4.82),207,91.19,4.07 (3.82-4.33),3.76,6.35
oligodendrocytes 3,457,0.218,85.0,345,50,14.49,3.71 (3.33-4.08),295,85.51,4.39 (4.15-4.62),6.86,5.49
oligodendrocytes 2,99,0.208,42.0,116,3,2.59,NA,113,97.41,3.96 (3.66-4.26),2.21,7.37
