tipo_celular,module_size,RSRC2_MM,RSRC2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,185,0.208,57.0,17,0,0.0,NA,17,100.0,1.90 (1.29-2.52),NA,5.26
T cells 18,518,0.126,28.0,131,0,0.0,NA,131,100.0,3.07 (2.80-3.35),NA,4.75
astrocytes 5,1656,0.12,57.0,136,2,1.47,1.39 (1.08-1.71),134,98.53,3.24 (2.97-3.51),6.31,4.97
oligodendrocyte progenitor cells 7,628,0.148,38.0,164,0,0.0,NA,164,100.0,4.08 (3.76-4.41),NA,7.53
GABA neurons expressing GLU receptors 22,567,0.259,74.0,16,1,6.25,1.95 (NA-NA),15,93.75,1.97 (1.25-2.70),1.72,3.76
GLU like neurons 17,685,0.064,8.0,135,4,2.96,1.64 (0.53-2.75),131,97.04,3.25 (2.94-3.56),7.30,3.64
da like neurons 11,168,0.118,53.0,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,80,0.211,79.0,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,385,0.153,80.0,275,5,1.82,1.70 (0.83-2.57),270,98.18,4.01 (3.75-4.27),22.07,5.58
oligodendrocytes 20,271,0.137,32.0,8,0,0.0,NA,8,100.0,3.49 (2.00-4.99),NA,3.42
GABA like neurons 14,2402,0.309,68.0,455,4,0.88,1.64 (0.53-2.75),451,99.12,4.37 (4.19-4.56),23.66,8.70
astrocytes 8,520,0.049,13.0,288,2,0.69,1.88 (-0.73-4.50),286,99.31,4.19 (3.99-4.39),4.81,4.68
oligodendrocyte progenitor cells 12,1049,0.124,66.0,235,0,0.0,NA,235,100.0,3.82 (3.59-4.06),NA,7.61
oligodendrocytes 10,735,0.081,38.0,277,0,0.0,NA,277,100.0,3.89 (3.65-4.14),NA,8.95
connective tissue cells 21,92,0.198,11.0,3,0,0.0,NA,3,100.0,0.61 (-0.07-1.28),NA,2.83
astrocytes 15,377,0.119,25.0,14,0,0.0,NA,14,100.0,2.14 (0.89-3.38),NA,2.45
oligodendrocytes 16,75,0.181,48.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,409,0.118,48.0,235,1,0.43,1.23 (NA-NA),234,99.57,3.99 (3.74-4.24),1.60,4.43
astrocytes microglia 23,96,0.292,33.0,3,0,0.0,NA,3,100.0,1.95 (-1.12-5.03),NA,5.42
astrocytes 4,787,0.171,83.0,65,0,0.0,NA,65,100.0,2.96 (2.57-3.36),NA,5.75
oligodendrocytes 0,613,0.152,58.0,127,0,0.0,NA,127,100.0,3.05 (2.64-3.46),NA,6.28
microglia 1,958,0.103,37.0,290,1,0.34,3.22 (NA-NA),289,99.66,3.82 (3.59-4.05),22.95,4.94
oligodendrocytes 3,357,0.058,16.0,127,0,0.0,NA,127,100.0,3.12 (2.79-3.45),NA,4.24
oligodendrocytes 2,528,0.151,19.0,175,0,0.0,NA,175,100.0,4.38 (4.03-4.73),NA,4.62
