tipo_celular,module_size,OGA_MM,OGA_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,206,0.179,33.0,10,0,0.0,NA,10,100.0,1.83 (0.82-2.85),NA,3.03
T cells 18,388,0.121,33.0,84,0,0.0,NA,84,100.0,2.97 (2.65-3.30),NA,4.32
astrocytes 5,1141,0.12,33.0,166,11,6.63,2.07 (1.27-2.88),155,93.37,3.51 (3.25-3.76),4.78,4.53
oligodendrocyte progenitor cells 7,4285,0.121,28.0,353,18,5.1,1.90 (1.33-2.47),335,94.9,4.03 (3.85-4.21),25.06,7.15
GABA neurons expressing GLU receptors 22,400,0.058,0.0,24,6,25.0,2.27 (1.12-3.42),18,75.0,2.12 (1.54-2.70),5.72,2.87
GLU like neurons 17,1316,0.198,93.0,101,2,1.98,2.76 (2.30-3.22),99,98.02,3.06 (2.70-3.42),3.30,3.05
da like neurons 11,172,0.149,22.0,8,0,0.0,NA,8,100.0,3.69 (3.52-3.86),NA,2.87
GABA neurons expressing GABA receptors 13,238,0.169,54.0,36,0,0.0,NA,36,100.0,3.88 (3.35-4.40),NA,17.22
endothelial cells 9,1653,0.143,62.0,297,1,0.34,2.53 (NA-NA),296,99.66,3.68 (3.47-3.88),5.50,5.52
oligodendrocytes 20,295,0.126,23.0,28,0,0.0,NA,28,100.0,2.19 (1.73-2.65),NA,3.07
GABA like neurons 14,1300,0.149,23.0,306,5,1.63,2.02 (0.83-3.21),301,98.37,5.17 (4.91-5.43),3.24,6.76
astrocytes 8,1266,0.112,74.0,66,3,4.55,1.56 (-0.41-3.53),63,95.45,3.32 (2.90-3.74),5.44,2.83
oligodendrocyte progenitor cells 12,3303,0.133,95.0,276,15,5.43,2.09 (1.51-2.67),261,94.57,3.65 (3.42-3.87),12.67,4.68
oligodendrocytes 10,735,0.044,9.0,277,1,0.36,3.85 (NA-NA),276,99.64,3.89 (3.65-4.14),2.43,8.97
connective tissue cells 21,102,0.213,8.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,377,0.119,24.0,14,0,0.0,NA,14,100.0,2.14 (0.89-3.38),NA,2.45
oligodendrocytes 16,66,0.225,48.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,553,0.12,44.0,124,1,0.81,3.00 (NA-NA),123,99.19,4.20 (3.80-4.59),2.54,3.04
astrocytes microglia 23,253,0.224,34.0,47,1,2.13,0.94 (NA-NA),46,97.87,2.89 (2.57-3.22),2.72,3.09
astrocytes 4,752,0.119,10.0,96,0,0.0,NA,96,100.0,3.29 (2.96-3.62),NA,4.32
oligodendrocytes 0,1186,0.174,89.0,300,0,0.0,NA,300,100.0,3.79 (3.59-4.00),NA,4.16
microglia 1,1615,0.113,56.0,161,16,9.94,1.78 (1.19-2.38),145,90.06,3.48 (3.20-3.75),9.12,5.02
oligodendrocytes 3,1003,0.08,32.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64),NA,4.23
oligodendrocytes 2,804,0.166,66.0,84,8,9.52,2.24 (1.29-3.20),76,90.48,2.75 (2.39-3.11),3.33,3.40
