tipo_celular,module_size,SPAG9_MM,SPAG9_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,305,0.187,52.0,15,0,0.0,NA,15,100.0,5.79 (5.09-6.49),NA,2.34
T cells 18,349,0.207,59.0,68,9,13.24,2.21 (1.19-3.23),59,86.76,4.76 (4.20-5.32),3.20,3.33
astrocytes 5,423,0.17,63.0,80,2,2.5,2.76 (-0.61-6.12),78,97.5,3.42 (2.94-3.90),2.47,5.08
oligodendrocyte progenitor cells 7,448,0.144,52.0,108,0,0.0,NA,108,100.0,3.26 (2.82-3.69),NA,17.12
GABA neurons expressing GLU receptors 22,848,0.073,3.0,262,21,8.02,3.31 (2.64-3.99),241,91.98,4.24 (3.98-4.50),8.39,3.73
GLU like neurons 17,380,0.134,24.0,39,4,10.26,3.41 (1.08-5.74),35,89.74,2.91 (2.35-3.47),3.11,2.51
da like neurons 11,853,0.196,82.0,133,12,9.02,1.81 (1.01-2.62),121,90.98,3.43 (3.10-3.75),5.23,4.06
GABA neurons expressing GABA receptors 13,93,0.222,85.0,2,0,0.0,NA,2,100.0,NA,NA,2.07
endothelial cells 9,412,0.232,71.0,141,7,4.96,2.13 (1.12-3.14),134,95.04,3.01 (2.76-3.25),4.24,6.95
oligodendrocytes 20,676,0.315,56.0,110,17,15.45,3.44 (2.52-4.37),93,84.55,5.33 (4.86-5.80),2.87,3.65
GABA like neurons 14,1300,0.141,20.0,306,21,6.86,2.91 (2.15-3.67),285,93.14,5.31 (5.05-5.57),3.92,6.91
astrocytes 8,577,0.168,86.0,83,1,1.2,0.87 (NA-NA),82,98.8,3.29 (2.84-3.74),1.30,4.51
oligodendrocyte progenitor cells 12,153,0.42,54.0,27,1,3.7,0.95 (NA-NA),26,96.3,5.08 (4.23-5.92),1.35,2.18
oligodendrocytes 10,236,0.539,64.0,82,9,10.98,5.88 (4.97-6.79),73,89.02,4.85 (4.27-5.43),2.47,4.00
connective tissue cells 21,84,0.199,17.0,4,0,0.0,NA,4,100.0,4.34 (4.07-4.60),NA,1.83
astrocytes 15,261,0.104,23.0,8,3,37.5,1.39 (-0.70-3.48),5,62.5,5.40 (3.54-7.25),1.67,1.92
oligodendrocytes 16,153,0.485,93.0,14,0,0.0,NA,14,100.0,4.67 (3.94-5.40),NA,2.89
da neurons 6,553,0.098,27.0,124,5,4.03,2.98 (0.44-5.52),119,95.97,4.22 (3.83-4.62),2.49,3.05
astrocytes microglia 23,59,0.339,75.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,514,0.172,44.0,95,5,5.26,1.79 (0.04-3.55),90,94.74,3.46 (3.04-3.89),2.75,4.75
oligodendrocytes 0,261,0.245,87.0,42,10,23.81,2.06 (1.14-2.98),32,76.19,4.84 (4.18-5.51),2.23,2.29
microglia 1,480,0.289,83.0,163,8,4.91,4.92 (4.70-5.14),155,95.09,3.65 (3.38-3.93),1.78,5.34
oligodendrocytes 3,116,0.35,95.0,7,4,57.14,0.96 (0.79-1.12),3,42.86,5.55 (4.15-6.96),1.55,1.36
oligodendrocytes 2,528,0.075,1.0,175,21,12.0,3.18 (2.67-3.68),154,88.0,4.57 (4.19-4.96),10.74,3.78
