tipo_celular,module_size,SRP72_MM,SRP72_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,185,0.253,74.0,17,0,0.0,NA,17,100.0,1.90 (1.29-2.52),NA,5.26
T cells 18,477,0.132,30.0,43,0,0.0,NA,43,100.0,2.03 (1.52-2.53),NA,7.12
astrocytes 5,1656,0.092,17.0,136,5,3.68,2.70 (1.46-3.94),131,96.32,3.23 (2.95-3.51),4.01,5.03
oligodendrocyte progenitor cells 7,4285,0.124,33.0,353,26,7.37,2.04 (1.46-2.62),327,92.63,4.07 (3.89-4.25),24.65,6.75
GABA neurons expressing GLU receptors 22,848,0.23,58.0,262,15,5.73,3.25 (2.25-4.26),247,94.27,4.22 (3.97-4.47),4.71,4.07
GLU like neurons 17,1316,0.088,17.0,101,0,0.0,NA,101,100.0,3.05 (2.70-3.40),NA,3.05
da like neurons 11,1220,0.152,39.0,410,24,5.85,4.23 (3.36-5.10),386,94.15,4.25 (4.06-4.44),9.87,7.37
GABA neurons expressing GABA receptors 13,77,0.16,44.0,3,0,0.0,NA,3,100.0,1.59 (0.34-2.85),NA,1.97
endothelial cells 9,385,0.093,39.0,275,26,9.45,2.25 (1.59-2.92),249,90.55,4.17 (3.91-4.44),9.75,5.48
oligodendrocytes 20,253,0.163,54.0,7,0,0.0,NA,7,100.0,0.94 (0.08-1.80),NA,5.94
GABA like neurons 14,2402,0.248,55.0,455,31,6.81,2.96 (2.15-3.78),424,93.19,4.46 (4.28-4.64),21.35,7.92
astrocytes 8,520,0.096,40.0,288,18,6.25,3.75 (2.87-4.63),270,93.75,4.21 (4.00-4.41),7.89,4.47
oligodendrocyte progenitor cells 12,1049,0.06,26.0,235,8,3.4,5.62 (4.33-6.91),227,96.6,3.74 (3.51-3.97),7.91,7.60
oligodendrocytes 10,735,0.156,78.0,277,0,0.0,NA,277,100.0,3.89 (3.65-4.14),NA,8.95
connective tissue cells 21,145,0.283,43.0,1,0,0.0,NA,1,100.0,NA,NA,1.58
astrocytes 15,208,0.035,9.0,4,0,0.0,NA,4,100.0,3.12 (0.87-5.36),NA,2.82
oligodendrocytes 16,313,0.152,20.0,291,22,7.56,4.14 (3.22-5.06),269,92.44,4.34 (4.11-4.57),4.93,3.72
da neurons 6,300,0.099,18.0,159,4,2.52,5.60 (4.56-6.64),155,97.48,4.32 (4.01-4.64),2.62,3.76
astrocytes microglia 23,111,0.347,60.0,2,0,0.0,NA,2,100.0,1.26 (-0.42-2.94),NA,2.81
astrocytes 4,1807,0.158,74.0,104,13,12.5,2.21 (1.37-3.05),91,87.5,2.96 (2.67-3.26),8.22,4.99
oligodendrocytes 0,2078,0.131,84.0,238,4,1.68,2.25 (-0.22-4.71),234,98.32,3.66 (3.44-3.88),5.86,5.01
microglia 1,813,0.112,46.0,79,2,2.53,2.99 (1.51-4.47),77,97.47,3.10 (2.69-3.52),4.73,7.98
oligodendrocytes 3,743,0.057,15.0,76,2,2.63,3.09 (1.81-4.37),74,97.37,3.16 (2.76-3.57),3.90,7.38
oligodendrocytes 2,1630,0.16,84.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51),NA,3.59
