tipo_celular,module_size,PPP3CB_MM,PPP3CB_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,401,0.144,40.0,19,0,0.0,NA,19,100.0,2.52 (1.81-3.24),NA,3.33
T cells 18,727,0.125,35.0,49,1,2.04,2.53 (NA-NA),48,97.96,2.43 (2.02-2.83),5.05,6.26
astrocytes 5,1141,0.118,30.0,166,38,22.89,2.22 (1.93-2.50),128,77.11,3.84 (3.56-4.13),6.27,4.04
oligodendrocyte progenitor cells 7,4285,0.135,49.0,353,73,20.68,2.26 (2.02-2.50),280,79.32,4.47 (4.29-4.65),19.69,5.03
GABA neurons expressing GLU receptors 22,848,0.3,76.0,262,51,19.47,4.66 (4.05-5.28),211,80.53,3.99 (3.74-4.25),5.43,3.78
GLU like neurons 17,229,0.164,29.0,22,0,0.0,NA,22,100.0,2.52 (1.91-3.13),NA,3.09
da like neurons 11,172,0.222,48.0,8,0,0.0,NA,8,100.0,3.69 (3.52-3.86),NA,2.87
GABA neurons expressing GABA receptors 13,238,0.153,43.0,36,0,0.0,NA,36,100.0,3.88 (3.35-4.40),NA,17.22
endothelial cells 9,586,0.153,35.0,62,3,4.84,2.90 (2.44-3.36),59,95.16,4.12 (3.65-4.58),2.42,4.30
oligodendrocytes 20,275,0.159,34.0,17,0,0.0,NA,17,100.0,1.72 (1.15-2.29),NA,4.30
GABA like neurons 14,2402,0.12,15.0,455,41,9.01,2.91 (2.27-3.55),414,90.99,4.55 (4.37-4.73),17.72,7.95
astrocytes 8,520,0.043,8.0,288,35,12.15,3.65 (3.12-4.18),253,87.85,4.27 (4.05-4.48),6.80,4.39
oligodendrocyte progenitor cells 12,3303,0.127,93.0,276,64,23.19,2.41 (2.13-2.68),212,76.81,4.00 (3.75-4.25),9.72,3.72
oligodendrocytes 10,806,0.139,43.0,261,21,8.05,4.94 (3.97-5.91),240,91.95,4.30 (4.05-4.54),4.36,6.21
connective tissue cells 21,125,0.227,19.0,10,0,0.0,NA,10,100.0,1.32 (0.64-1.99),NA,2.65
astrocytes 15,367,0.131,43.0,17,1,5.88,2.91 (NA-NA),16,94.12,2.03 (1.01-3.05),1.87,3.39
oligodendrocytes 16,158,0.156,21.0,30,2,6.67,3.03 (0.90-5.17),28,93.33,2.27 (1.59-2.96),1.82,12.75
da neurons 6,553,0.111,36.0,124,8,6.45,3.74 (2.30-5.17),116,93.55,4.22 (3.81-4.63),2.47,3.07
astrocytes microglia 23,131,0.241,11.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,752,0.137,27.0,96,14,14.58,3.04 (2.54-3.54),82,85.42,3.35 (2.96-3.73),2.35,4.66
oligodendrocytes 0,1186,0.103,6.0,300,21,7.0,3.71 (3.30-4.13),279,93.0,3.80 (3.58-4.02),4.22,4.15
microglia 1,1615,0.071,4.0,161,62,38.51,2.14 (1.89-2.38),99,61.49,4.25 (3.94-4.56),8.90,3.26
oligodendrocytes 3,457,0.047,6.0,345,39,11.3,3.80 (3.29-4.31),306,88.7,4.35 (4.13-4.58),6.37,5.61
oligodendrocytes 2,921,0.132,40.0,200,9,4.5,3.01 (2.22-3.80),191,95.5,3.65 (3.38-3.93),5.25,3.38
