tipo_celular,module_size,RANBP9_MM,RANBP9_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,172,0.082,3.0,140,5,3.57,6.27 (4.64-7.90),135,96.43,4.40 (3.97-4.83),2.28,3.62
T cells 18,477,0.113,18.0,43,0,0.0,NA,43,100.0,2.03 (1.52-2.53),NA,7.12
astrocytes 5,1141,0.146,70.0,166,29,17.47,2.08 (1.68-2.48),137,82.53,3.70 (3.43-3.96),7.21,3.99
oligodendrocyte progenitor cells 7,4285,0.153,76.0,353,43,12.18,1.90 (1.55-2.26),310,87.82,4.22 (4.05-4.40),25.82,5.60
GABA neurons expressing GLU receptors 22,823,0.153,33.0,23,2,8.7,1.01 (NA-NA),21,91.3,2.48 (1.73-3.23),2.93,3.47
GLU like neurons 17,685,0.143,58.0,135,30,22.22,2.38 (1.89-2.88),105,77.78,3.45 (3.10-3.81),4.21,3.62
da like neurons 11,97,0.341,73.0,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,88,0.136,36.0,2,0,0.0,NA,2,100.0,NA,NA,1.67
endothelial cells 9,1653,0.134,55.0,297,3,1.01,4.44 (NA-NA),294,98.99,3.67 (3.47-3.87),5.10,5.52
oligodendrocytes 20,271,0.037,3.0,8,0,0.0,NA,8,100.0,3.49 (2.00-4.99),NA,3.42
GABA like neurons 14,3052,0.222,97.0,125,4,3.2,4.06 (3.19-4.93),121,96.8,3.33 (3.00-3.66),4.70,8.74
astrocytes 8,262,0.143,53.0,11,0,0.0,NA,11,100.0,1.91 (1.09-2.74),NA,4.83
oligodendrocyte progenitor cells 12,3303,0.115,87.0,276,31,11.23,2.16 (1.79-2.54),245,88.77,3.78 (3.55-4.01),12.86,4.13
oligodendrocytes 10,2107,0.221,75.0,358,47,13.13,1.77 (1.46-2.07),311,86.87,4.27 (4.09-4.45),26.68,6.87
connective tissue cells 21,111,0.248,30.0,10,0,0.0,NA,10,100.0,2.44 (1.89-3.00),NA,1.84
astrocytes 15,1401,0.036,7.0,96,12,12.5,2.82 (1.95-3.68),84,87.5,3.73 (3.23-4.22),4.27,3.73
oligodendrocytes 16,123,0.154,14.0,4,0,0.0,NA,4,100.0,2.02 (0.43-3.61),NA,3.28
da neurons 6,518,0.112,53.0,122,11,9.02,1.38 (0.67-2.10),111,90.98,4.34 (3.96-4.71),2.93,3.54
astrocytes microglia 23,255,0.256,50.0,57,2,3.51,2.32 (1.54-3.09),55,96.49,2.67 (2.29-3.04),1.75,3.39
astrocytes 4,787,0.13,15.0,65,1,1.54,2.85 (NA-NA),64,98.46,2.96 (2.56-3.37),1.77,5.81
oligodendrocytes 0,2078,0.111,44.0,238,6,2.52,2.57 (1.46-3.67),232,97.48,3.67 (3.45-3.89),7.35,4.96
microglia 1,958,0.17,95.0,290,21,7.24,2.60 (2.02-3.18),269,92.76,3.94 (3.70-4.17),5.01,5.00
oligodendrocytes 3,743,0.075,41.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55),NA,7.29
oligodendrocytes 2,921,0.13,37.0,200,7,3.5,2.94 (2.51-3.38),193,96.5,3.65 (3.37-3.92),5.67,3.38
