tipo_celular,module_size,SOS1_MM,SOS1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,185,0.13,10.0,17,0,0.0,NA,17,100.0,1.90 (1.29-2.52),NA,5.26
T cells 18,388,0.307,92.0,84,10,11.9,2.55 (2.24-2.86),74,88.1,3.03 (2.66-3.39),2.25,4.60
astrocytes 5,1141,0.152,78.0,166,22,13.25,2.33 (1.71-2.95),144,86.75,3.59 (3.33-3.86),3.15,4.76
oligodendrocyte progenitor cells 7,448,0.139,49.0,108,0,0.0,NA,108,100.0,3.26 (2.82-3.69),NA,17.12
GABA neurons expressing GLU receptors 22,459,0.124,31.0,165,17,10.3,2.60 (2.01-3.20),148,89.7,5.44 (5.11-5.77),4.38,4.06
GLU like neurons 17,795,0.143,56.0,80,7,8.75,3.14 (1.94-4.35),73,91.25,5.82 (5.42-6.22),3.85,2.93
da like neurons 11,102,0.442,94.0,8,1,12.5,0.95 (NA-NA),7,87.5,3.07 (2.93-3.20),2.05,1.90
GABA neurons expressing GABA receptors 13,288,0.122,21.0,93,37,39.78,4.45 (3.72-5.18),56,60.22,5.75 (5.13-6.37),5.44,2.96
endothelial cells 9,658,0.284,74.0,120,31,25.83,4.00 (3.43-4.58),89,74.17,4.84 (4.47-5.20),4.45,3.37
oligodendrocytes 20,228,0.168,39.0,5,3,60.0,1.91 (0.06-3.75),2,40.0,5.27 (2.10-8.45),3.04,1.60
GABA like neurons 14,1300,0.259,74.0,306,56,18.3,4.02 (3.43-4.62),250,81.7,5.43 (5.15-5.70),12.10,5.50
astrocytes 8,577,0.097,59.0,83,3,3.61,1.55 (0.88-2.21),80,96.39,3.33 (2.87-3.79),1.94,4.57
oligodendrocyte progenitor cells 12,138,0.474,57.0,5,0,0.0,NA,5,100.0,4.33 (4.33-4.33),NA,2.28
oligodendrocytes 10,2107,0.329,93.0,358,45,12.57,2.13 (1.75-2.50),313,87.43,4.21 (4.02-4.39),20.00,7.96
connective tissue cells 21,110,0.228,31.0,13,1,7.69,0.94 (NA-NA),12,92.31,3.30 (2.48-4.11),1.94,1.68
astrocytes 15,1768,0.109,71.0,105,14,13.33,1.53 (0.97-2.09),91,86.67,3.50 (3.15-3.84),5.54,3.74
oligodendrocytes 16,149,0.198,47.0,70,2,2.86,NA,68,97.14,5.65 (5.18-6.12),2.24,3.35
da neurons 6,553,0.089,20.0,124,0,0.0,NA,124,100.0,4.18 (3.79-4.58),NA,3.03
astrocytes microglia 23,253,0.159,4.0,47,7,14.89,2.48 (1.73-3.23),40,85.11,2.92 (2.55-3.29),2.16,3.24
astrocytes 4,255,0.14,24.0,12,0,0.0,NA,12,100.0,4.62 (3.76-5.48),NA,2.33
oligodendrocytes 0,1186,0.147,55.0,300,6,2.0,3.45 (2.79-4.11),294,98.0,3.80 (3.59-4.01),4.64,4.15
microglia 1,1615,0.142,85.0,161,40,24.84,2.28 (1.88-2.68),121,75.16,3.70 (3.40-4.01),6.68,5.02
oligodendrocytes 3,681,0.123,72.0,87,31,35.63,2.02 (1.73-2.31),56,64.37,2.94 (2.57-3.31),4.39,4.16
oligodendrocytes 2,407,0.156,53.0,122,32,26.23,1.96 (1.65-2.26),90,73.77,4.02 (3.54-4.50),3.27,2.50
