tipo_celular,module_size,ERC1_MM,ERC1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,185,0.128,9.0,17,1,5.88,NA,16,94.12,1.90 (1.29-2.52),1.33,5.50
T cells 18,610,0.169,62.0,98,36,36.73,2.41 (1.82-3.01),62,63.27,3.58 (3.29-3.88),4.66,3.68
astrocytes 5,118,0.28,93.0,8,0,0.0,NA,8,100.0,4.18 (2.41-5.94),NA,2.01
oligodendrocyte progenitor cells 7,200,0.041,2.0,16,2,12.5,2.53 (2.34-2.73),14,87.5,4.16 (3.27-5.04),1.49,4.68
GABA neurons expressing GLU receptors 22,459,0.146,45.0,165,16,9.7,3.26 (2.24-4.28),149,90.3,5.32 (4.98-5.66),5.03,3.99
GLU like neurons 17,300,0.155,20.0,16,1,6.25,0.79 (NA-NA),15,93.75,2.18 (1.29-3.08),1.89,2.51
da like neurons 11,265,0.329,92.0,4,2,50.0,2.74 (NA-NA),2,50.0,1.47 (-0.90-3.84),1.49,2.02
GABA neurons expressing GABA receptors 13,288,0.135,30.0,93,13,13.98,3.52 (2.43-4.61),80,86.02,5.51 (5.00-6.02),3.34,4.05
endothelial cells 9,1653,0.245,98.0,297,8,2.69,6.26 (5.53-6.98),289,97.31,3.63 (3.43-3.83),3.67,5.57
oligodendrocytes 20,233,0.246,73.0,5,0,0.0,NA,5,100.0,0.63 (-0.10-1.37),NA,2.11
GABA like neurons 14,1300,0.34,96.0,306,56,18.3,3.66 (3.14-4.19),250,81.7,5.50 (5.23-5.78),8.20,6.37
astrocytes 8,279,0.288,55.0,78,12,15.38,3.01 (2.33-3.69),66,84.62,4.57 (4.12-5.02),3.36,2.59
oligodendrocyte progenitor cells 12,254,0.326,63.0,37,14,37.84,4.29 (3.36-5.22),23,62.16,4.63 (3.87-5.39),2.66,2.36
oligodendrocytes 10,2107,0.347,94.0,358,58,16.2,2.11 (1.72-2.50),300,83.8,4.30 (4.12-4.48),19.86,7.46
connective tissue cells 21,183,0.148,4.0,32,1,3.12,0.87 (NA-NA),31,96.88,5.26 (4.67-5.86),1.48,2.71
astrocytes 15,208,0.393,76.0,4,0,0.0,NA,4,100.0,3.12 (0.87-5.36),NA,2.82
oligodendrocytes 16,149,0.211,53.0,70,17,24.29,5.63 (4.94-6.32),53,75.71,5.66 (5.09-6.23),2.76,3.49
da neurons 6,398,0.111,28.0,138,25,18.12,3.56 (2.81-4.30),113,81.88,5.15 (4.75-5.55),3.50,2.57
astrocytes microglia 23,39,0.091,0.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,201,0.13,18.0,18,6,33.33,3.13 (2.64-3.62),12,66.67,5.18 (4.10-6.26),2.76,3.26
oligodendrocytes 0,1186,0.177,91.0,300,7,2.33,3.16 (2.43-3.89),293,97.67,3.80 (3.60-4.01),3.35,4.17
microglia 1,315,0.063,3.0,144,5,3.47,4.77 (1.68-7.86),139,96.53,4.45 (4.14-4.76),2.70,4.26
oligodendrocytes 3,854,0.107,69.0,76,3,3.95,2.11 (0.24-3.98),73,96.05,2.81 (2.48-3.14),4.05,4.75
oligodendrocytes 2,347,0.268,77.0,15,9,60.0,6.09 (NA-NA),6,40.0,4.62 (3.89-5.35),2.37,2.37
