tipo_celular,module_size,STXBP5_MM,STXBP5_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,218,0.217,55.0,5,0,0.0,NA,5,100.0,2.33 (0.29-4.37),NA,4.25
T cells 18,518,0.191,73.0,131,0,0.0,NA,131,100.0,3.07 (2.80-3.35),NA,4.75
astrocytes 5,118,0.307,100.0,8,0,0.0,NA,8,100.0,4.18 (2.41-5.94),NA,2.01
oligodendrocyte progenitor cells 7,448,0.091,13.0,108,0,0.0,NA,108,100.0,3.26 (2.82-3.69),NA,17.12
GABA neurons expressing GLU receptors 22,192,0.106,32.0,55,0,0.0,NA,55,100.0,4.03 (3.61-4.44),NA,3.32
GLU like neurons 17,380,0.154,38.0,39,2,5.13,3.04 (1.12-4.96),37,94.87,2.96 (2.38-3.54),2.37,2.58
da like neurons 11,71,0.534,99.0,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,238,0.269,87.0,36,1,2.78,5.16 (NA-NA),35,97.22,3.83 (3.30-4.37),1.45,17.67
endothelial cells 9,1653,0.178,82.0,297,0,0.0,NA,297,100.0,3.67 (3.47-3.88),NA,5.52
oligodendrocytes 20,279,0.159,30.0,16,1,6.25,3.48 (NA-NA),15,93.75,2.30 (1.52-3.09),1.81,3.59
GABA like neurons 14,1300,0.161,27.0,306,26,8.5,2.96 (2.36-3.55),280,91.5,5.39 (5.13-5.65),5.75,6.80
astrocytes 8,279,0.304,65.0,78,4,5.13,2.23 (1.86-2.60),74,94.87,4.45 (4.03-4.87),4.04,2.64
oligodendrocyte progenitor cells 12,153,0.535,95.0,27,5,18.52,3.46 (1.96-4.95),22,81.48,5.57 (4.55-6.59),1.67,2.26
oligodendrocytes 10,2107,0.285,87.0,358,25,6.98,2.66 (2.02-3.31),333,93.02,3.98 (3.79-4.18),11.49,9.32
connective tissue cells 21,95,0.2,8.0,4,1,25.0,5.16 (NA-NA),3,75.0,2.91 (2.68-3.14),1.62,1.75
astrocytes 15,208,0.468,86.0,4,1,25.0,3.56 (NA-NA),3,75.0,2.90 (-0.92-6.72),1.75,3.17
oligodendrocytes 16,82,0.176,52.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,553,0.161,70.0,124,1,0.81,3.94 (NA-NA),123,99.19,4.19 (3.79-4.58),2.23,3.04
astrocytes microglia 23,166,0.386,83.0,7,2,28.57,2.53 (2.34-2.73),5,71.43,5.03 (4.70-5.36),2.59,5.26
astrocytes 4,201,0.175,54.0,18,7,38.89,4.08 (3.19-4.98),11,61.11,4.89 (3.48-6.31),3.49,2.84
oligodendrocytes 0,1186,0.141,43.0,300,3,1.0,3.36 (1.99-4.74),297,99.0,3.80 (3.59-4.01),2.85,4.17
microglia 1,1615,0.135,81.0,161,14,8.7,2.66 (1.66-3.65),147,91.3,3.35 (3.07-3.62),7.14,5.27
oligodendrocytes 3,854,0.129,83.0,76,1,1.32,0.21 (NA-NA),75,98.68,2.82 (2.49-3.14),2.96,4.74
oligodendrocytes 2,804,0.179,77.0,84,3,3.57,0.65 (0.20-1.09),81,96.43,2.78 (2.45-3.12),2.95,3.41
