tipo_celular,module_size,NBEAL1_MM,NBEAL1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,185,0.332,65.0,98,2,2.04,0.92 (0.19-1.65),96,97.96,3.28 (2.81-3.76),2.93,13.67
T cells 18,393,0.182,66.0,59,0,0.0,NA,59,100.0,3.10 (2.60-3.61),NA,5.34
astrocytes 5,1141,0.101,14.0,166,2,1.2,0.38 (0.04-0.71),164,98.8,3.44 (3.19-3.68),2.58,4.57
oligodendrocyte progenitor cells 7,448,0.198,79.0,108,0,0.0,NA,108,100.0,3.26 (2.82-3.69),NA,17.12
GABA neurons expressing GLU receptors 22,400,0.087,3.0,24,8,33.33,2.52 (1.59-3.45),16,66.67,1.97 (1.37-2.58),4.45,3.15
GLU like neurons 17,685,0.151,61.0,135,9,6.67,2.54 (1.46-3.62),126,93.33,3.23 (2.91-3.54),2.87,3.81
da like neurons 11,132,0.347,75.0,12,0,0.0,NA,12,100.0,4.39 (3.57-5.22),NA,2.11
GABA neurons expressing GABA receptors 13,77,0.078,2.0,8,5,62.5,2.88 (1.85-3.92),3,37.5,4.52 (NA-NA),1.79,1.73
endothelial cells 9,586,0.244,56.0,62,2,3.23,NA,60,96.77,4.05 (3.60-4.49),1.96,4.28
oligodendrocytes 20,279,0.182,41.0,16,1,6.25,3.48 (NA-NA),15,93.75,2.30 (1.52-3.09),1.81,3.59
GABA like neurons 14,2402,0.155,26.0,455,7,1.54,2.11 (0.76-3.45),448,98.46,4.38 (4.20-4.57),29.97,8.50
astrocytes 8,577,0.072,40.0,83,0,0.0,NA,83,100.0,3.25 (2.80-3.70),NA,4.47
oligodendrocyte progenitor cells 12,143,0.408,34.0,1,0,0.0,NA,1,100.0,7.70 (NA-NA),NA,1.31
oligodendrocytes 10,483,0.201,71.0,129,0,0.0,NA,129,100.0,3.43 (3.04-3.82),NA,19.19
connective tissue cells 21,118,0.2,8.0,2,0,0.0,NA,2,100.0,6.60 (NA-NA),NA,3.19
astrocytes 15,1768,0.105,68.0,105,6,5.71,2.07 (0.90-3.24),99,94.29,3.29 (2.94-3.63),4.30,3.96
oligodendrocytes 16,82,0.37,99.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,729,0.115,32.0,182,0,0.0,NA,182,100.0,3.64 (3.38-3.89),NA,8.52
astrocytes microglia 23,253,0.147,1.0,47,0,0.0,NA,47,100.0,2.84 (2.52-3.17),NA,3.08
astrocytes 4,752,0.153,48.0,96,0,0.0,NA,96,100.0,3.29 (2.96-3.62),NA,4.32
oligodendrocytes 0,1186,0.091,3.0,300,0,0.0,NA,300,100.0,3.79 (3.59-4.00),NA,4.16
microglia 1,406,0.324,71.0,278,0,0.0,NA,278,100.0,4.36 (4.09-4.63),NA,6.74
oligodendrocytes 3,854,0.076,34.0,76,1,1.32,0.21 (NA-NA),75,98.68,2.82 (2.49-3.14),2.96,4.74
oligodendrocytes 2,804,0.092,3.0,84,3,3.57,0.58 (-0.15-1.31),81,96.43,2.75 (2.42-3.09),2.82,3.42
