tipo_celular,module_size,FBXW11_MM,FBXW11_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,500,0.14,36.0,32,1,3.12,2.24 (NA-NA),31,96.88,3.78 (2.98-4.58),3.06,3.63
T cells 18,624,0.196,81.0,142,7,4.93,3.45 (3.00-3.90),135,95.07,3.20 (2.92-3.48),4.53,4.29
astrocytes 5,1141,0.128,45.0,166,59,35.54,2.81 (2.49-3.13),107,64.46,3.78 (3.44-4.12),4.87,4.37
oligodendrocyte progenitor cells 7,4285,0.138,54.0,353,93,26.35,2.68 (2.41-2.94),260,73.65,4.49 (4.30-4.68),15.31,5.47
GABA neurons expressing GLU receptors 22,823,0.173,46.0,23,6,26.09,2.73 (1.56-3.90),17,73.91,2.30 (1.42-3.18),1.95,3.94
GLU like neurons 17,1316,0.104,32.0,101,8,7.92,3.47 (2.71-4.22),93,92.08,3.02 (2.65-3.39),2.58,3.09
da like neurons 11,108,0.27,72.0,5,0,0.0,NA,5,100.0,4.24 (3.33-5.15),NA,3.13
GABA neurons expressing GABA receptors 13,200,0.124,26.0,34,2,5.88,3.54 (3.28-3.81),32,94.12,3.92 (2.96-4.88),1.46,3.62
endothelial cells 9,1653,0.095,23.0,297,19,6.4,4.20 (3.42-4.98),278,93.6,3.64 (3.43-3.85),7.41,5.39
oligodendrocytes 20,275,0.146,29.0,17,0,0.0,NA,17,100.0,1.72 (1.15-2.29),NA,4.30
GABA like neurons 14,2402,0.162,29.0,455,50,10.99,2.93 (2.45-3.41),405,89.01,4.58 (4.39-4.77),14.71,8.11
astrocytes 8,727,0.12,59.0,29,1,3.45,3.17 (NA-NA),28,96.55,2.33 (1.82-2.84),2.85,3.57
oligodendrocyte progenitor cells 12,3303,0.083,56.0,276,88,31.88,2.92 (2.64-3.21),188,68.12,3.95 (3.66-4.23),7.37,4.05
oligodendrocytes 10,2107,0.153,52.0,358,101,28.21,2.60 (2.36-2.85),257,71.79,4.59 (4.39-4.79),17.42,6.35
connective tissue cells 21,95,0.189,5.0,4,3,75.0,2.91 (2.68-3.14),1,25.0,5.16 (NA-NA),1.75,1.62
astrocytes 15,443,0.147,45.0,9,6,66.67,3.73 (2.40-5.05),3,33.33,1.89 (-1.31-5.09),2.16,2.35
oligodendrocytes 16,107,0.178,17.0,11,2,18.18,0.85 (0.21-1.49),9,81.82,1.63 (0.84-2.42),2.75,3.75
da neurons 6,553,0.087,18.0,124,26,20.97,4.12 (3.43-4.81),98,79.03,4.20 (3.73-4.66),3.10,3.01
astrocytes microglia 23,255,0.352,97.0,57,14,24.56,3.37 (2.81-3.94),43,75.44,2.41 (1.99-2.82),2.65,3.56
astrocytes 4,721,0.151,49.0,61,9,14.75,3.60 (2.89-4.31),52,85.25,2.85 (2.38-3.31),3.15,6.52
oligodendrocytes 0,1186,0.114,11.0,300,26,8.67,3.72 (3.14-4.30),274,91.33,3.80 (3.58-4.02),4.67,4.11
microglia 1,480,0.127,16.0,163,15,9.2,3.77 (2.96-4.59),148,90.8,3.70 (3.42-3.98),4.71,5.21
oligodendrocytes 3,681,0.086,41.0,87,56,64.37,2.43 (2.14-2.72),31,35.63,2.94 (2.35-3.53),4.31,4.11
oligodendrocytes 2,528,0.092,3.0,175,7,4.0,3.05 (1.74-4.36),168,96.0,4.45 (4.09-4.81),3.39,4.67
