tipo_celular,module_size,DNAJB6_MM,DNAJB6_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,159,0.199,43.0,18,1,5.56,4.08 (NA-NA),17,94.44,1.92 (1.48-2.35),1.56,3.37
T cells 18,477,0.304,95.0,43,3,6.98,8.28 (NA-NA),40,93.02,1.85 (1.47-2.22),1.56,7.54
astrocytes 5,423,0.212,79.0,80,6,7.5,4.76 (0.65-8.86),74,92.5,3.34 (2.88-3.80),3.01,5.18
oligodendrocyte progenitor cells 7,666,0.483,97.0,127,22,17.32,3.82 (2.41-5.23),105,82.68,3.83 (3.51-4.16),3.67,6.29
GABA neurons expressing GLU receptors 22,400,0.293,89.0,24,13,54.17,1.84 (1.08-2.61),11,45.83,2.52 (1.91-3.14),4.33,2.70
GLU like neurons 17,229,0.254,83.0,22,0,0.0,NA,22,100.0,2.52 (1.91-3.13),NA,3.09
da like neurons 11,1220,0.241,68.0,410,18,4.39,4.09 (2.91-5.26),392,95.61,4.25 (4.07-4.44),9.08,7.44
GABA neurons expressing GABA receptors 13,417,0.143,37.0,213,25,11.74,1.89 (1.17-2.60),188,88.26,4.08 (3.86-4.30),5.85,10.20
endothelial cells 9,385,0.296,95.0,275,52,18.91,2.31 (1.81-2.81),223,81.09,4.38 (4.11-4.64),9.73,4.98
oligodendrocytes 20,938,0.157,65.0,169,11,6.51,2.37 (1.42-3.33),158,93.49,3.57 (3.35-3.79),3.97,5.46
GABA like neurons 14,2402,0.38,77.0,455,39,8.57,2.63 (1.95-3.31),416,91.43,4.53 (4.35-4.71),17.45,8.03
astrocytes 8,577,0.158,83.0,83,8,9.64,4.90 (1.91-7.90),75,90.36,3.15 (2.71-3.58),3.01,4.63
oligodendrocyte progenitor cells 12,3303,0.077,48.0,276,25,9.06,1.95 (1.53-2.38),251,90.94,3.75 (3.52-3.97),13.39,4.29
oligodendrocytes 10,735,0.096,50.0,277,7,2.53,5.72 (4.21-7.23),270,97.47,3.88 (3.63-4.12),3.22,9.09
connective tissue cells 21,86,0.191,8.0,7,2,28.57,3.30 (2.61-3.99),5,71.43,3.16 (2.11-4.22),1.55,1.45
astrocytes 15,268,0.093,54.0,10,1,10.0,2.95 (NA-NA),9,90.0,3.80 (1.86-5.74),1.46,1.60
oligodendrocytes 16,113,0.167,18.0,10,1,10.0,2.80 (NA-NA),9,90.0,2.95 (2.05-3.86),2.34,1.83
da neurons 6,409,0.148,61.0,235,13,5.53,2.68 (1.39-3.97),222,94.47,4.03 (3.78-4.28),6.47,4.29
astrocytes microglia 23,327,0.394,75.0,120,19,15.83,2.23 (1.31-3.14),101,84.17,3.92 (3.65-4.19),3.66,2.63
astrocytes 4,514,0.305,87.0,95,14,14.74,3.86 (1.75-5.96),81,85.26,3.31 (2.91-3.71),3.11,4.91
oligodendrocytes 0,613,0.281,98.0,127,18,14.17,3.09 (2.46-3.71),109,85.83,3.04 (2.57-3.52),4.00,6.65
microglia 1,958,0.266,100.0,290,32,11.03,3.07 (2.35-3.80),258,88.97,3.90 (3.67-4.14),4.59,5.05
oligodendrocytes 3,743,0.123,86.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55),NA,7.29
oligodendrocytes 2,528,0.282,81.0,175,12,6.86,5.00 (3.51-6.50),163,93.14,4.33 (3.97-4.69),5.19,4.58
