tipo_celular,module_size,MBP_MM,MBP_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,305,0.308,81.0,15,1,6.67,NA,14,93.33,5.79 (5.09-6.49),3.67,2.24
T cells 18,349,0.346,84.0,68,13,19.12,3.41 (1.90-4.92),55,80.88,4.57 (3.99-5.15),2.91,3.41
astrocytes 5,165,0.557,96.0,51,2,3.92,NA,49,96.08,5.35 (4.68-6.01),1.78,3.00
oligodendrocyte progenitor cells 7,229,0.336,88.0,45,1,2.22,NA,44,97.78,5.01 (4.39-5.62),2.58,5.42
GABA neurons expressing GLU receptors 22,567,0.59,99.0,16,1,6.25,1.95 (NA-NA),15,93.75,1.97 (1.25-2.70),1.72,3.76
GLU like neurons 17,637,0.627,99.0,91,12,13.19,2.77 (1.63-3.91),79,86.81,4.88 (4.34-5.43),3.17,3.04
da like neurons 11,408,0.682,99.0,25,8,32.0,2.90 (0.44-5.35),17,68.0,5.54 (4.19-6.88),2.52,2.16
GABA neurons expressing GABA receptors 13,288,0.472,96.0,93,23,24.73,4.33 (3.43-5.24),70,75.27,5.47 (4.89-6.04),3.62,4.06
endothelial cells 9,450,0.618,94.0,74,10,13.51,6.10 (4.69-7.51),64,86.49,5.38 (4.78-5.97),3.99,3.58
oligodendrocytes 20,298,0.093,35.0,6,0,0.0,NA,6,100.0,0.26 (NA-NA),NA,1.94
GABA like neurons 14,2402,0.048,1.0,455,18,3.96,2.40 (1.35-3.44),437,96.04,4.44 (4.26-4.62),15.68,8.55
astrocytes 8,771,0.788,99.0,48,5,10.42,0.79 (NA-NA),43,89.58,4.53 (3.78-5.27),2.07,3.27
oligodendrocyte progenitor cells 12,708,0.552,98.0,25,2,8.0,0.21 (NA-NA),23,92.0,3.00 (2.02-3.99),1.80,2.60
oligodendrocytes 10,204,0.648,100.0,92,11,11.96,5.22 (3.65-6.79),81,88.04,5.76 (5.26-6.26),3.83,3.71
connective tissue cells 21,250,0.534,80.0,117,12,10.26,4.01 (3.27-4.76),105,89.74,5.57 (5.15-6.00),4.66,3.63
astrocytes 15,458,0.522,98.0,36,1,2.78,NA,35,97.22,3.77 (2.68-4.85),2.14,2.59
oligodendrocytes 16,94,0.12,5.0,5,0,0.0,NA,5,100.0,2.89 (1.71-4.06),NA,1.87
da neurons 6,398,0.413,94.0,138,29,21.01,3.59 (2.80-4.38),109,78.99,5.20 (4.81-5.58),2.69,2.74
astrocytes microglia 23,327,0.269,27.0,120,33,27.5,2.80 (2.26-3.34),87,72.5,4.00 (3.67-4.33),3.43,2.55
astrocytes 4,102,0.53,94.0,42,5,11.9,5.00 (4.97-5.04),37,88.1,5.73 (4.96-6.50),2.50,3.25
oligodendrocytes 0,546,0.181,57.0,252,24,9.52,2.65 (1.70-3.61),228,90.48,4.24 (3.99-4.49),8.81,8.15
microglia 1,127,0.164,43.0,24,5,20.83,3.41 (1.49-5.33),19,79.17,5.37 (4.66-6.08),2.59,2.44
oligodendrocytes 3,99,0.142,14.0,24,0,0.0,NA,24,100.0,6.50 (5.81-7.19),NA,2.23
oligodendrocytes 2,526,0.076,1.0,213,6,2.82,5.01 (3.03-6.98),207,97.18,3.95 (3.68-4.23),7.35,7.95
