tipo_celular,module_size,RPN1_MM,RPN1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,178,0.34,94.0,13,0,0.0,NA,13,100.0,1.68 (1.03-2.33),NA,5.07
T cells 18,282,0.306,88.0,241,2,0.83,3.67 (3.54-3.80),239,99.17,4.06 (3.81-4.31),1.90,4.36
astrocytes 5,932,0.085,14.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08),NA,4.30
oligodendrocyte progenitor cells 7,628,0.168,52.0,164,8,4.88,4.09 (2.78-5.40),156,95.12,4.08 (3.75-4.42),8.53,7.47
GABA neurons expressing GLU receptors 22,848,0.232,59.0,262,13,4.96,2.31 (1.55-3.08),249,95.04,4.30 (4.05-4.54),4.62,4.08
GLU like neurons 17,229,0.281,93.0,22,0,0.0,NA,22,100.0,2.52 (1.91-3.13),NA,3.09
da like neurons 11,1220,0.091,11.0,410,17,4.15,3.23 (2.40-4.05),393,95.85,4.31 (4.12-4.50),9.87,7.41
GABA neurons expressing GABA receptors 13,265,0.129,33.0,78,5,6.41,4.33 (3.22-5.45),73,93.59,4.36 (3.92-4.80),2.92,4.36
endothelial cells 9,916,0.12,20.0,302,14,4.64,3.50 (2.47-4.53),288,95.36,4.01 (3.78-4.24),5.08,10.92
oligodendrocytes 20,358,0.063,23.0,31,4,12.9,3.77 (3.66-3.88),27,87.1,2.14 (1.70-2.58),1.79,4.13
GABA like neurons 14,2402,0.281,62.0,455,28,6.15,2.02 (1.44-2.60),427,93.85,4.56 (4.38-4.74),22.90,7.91
astrocytes 8,354,0.062,16.0,8,0,0.0,NA,8,100.0,0.78 (0.08-1.47),NA,5.07
oligodendrocyte progenitor cells 12,3303,0.062,29.0,276,19,6.88,1.90 (1.47-2.33),257,93.12,3.70 (3.48-3.93),12.26,4.58
oligodendrocytes 10,735,0.149,75.0,277,1,0.36,3.85 (NA-NA),276,99.64,3.89 (3.65-4.14),2.43,8.97
connective tissue cells 21,111,0.285,51.0,26,4,15.38,2.52 (1.93-3.12),22,84.62,2.53 (1.71-3.35),2.89,2.04
astrocytes 15,208,0.09,46.0,4,0,0.0,NA,4,100.0,3.12 (0.87-5.36),NA,2.82
oligodendrocytes 16,104,0.244,74.0,1,1,100.0,0.26 (NA-NA),0,0.0,NA,1.45,NA
da neurons 6,409,0.125,52.0,235,5,2.13,1.69 (0.64-2.74),230,97.87,4.05 (3.80-4.29),3.25,4.44
astrocytes microglia 23,96,0.35,68.0,1,0,0.0,NA,1,100.0,0.39 (NA-NA),NA,4.29
astrocytes 4,1807,0.14,42.0,104,25,24.04,2.10 (1.63-2.58),79,75.96,3.13 (2.81-3.45),8.83,4.31
oligodendrocytes 0,2078,0.106,33.0,238,6,2.52,2.45 (1.55-3.36),232,97.48,3.67 (3.45-3.90),9.75,4.90
microglia 1,406,0.132,29.0,278,1,0.36,2.61 (NA-NA),277,99.64,4.37 (4.10-4.64),1.95,6.75
oligodendrocytes 3,303,0.075,17.0,154,3,1.95,6.80 (6.40-7.20),151,98.05,3.57 (3.25-3.88),2.89,12.02
oligodendrocytes 2,528,0.197,48.0,175,7,4.0,3.82 (2.68-4.95),168,96.0,4.41 (4.05-4.78),8.38,4.46
