tipo_celular,module_size,HMGB1_MM,HMGB1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,305,0.155,38.0,15,6,40.0,6.20 (5.24-7.16),9,60.0,5.45 (4.46-6.44),2.04,2.53
T cells 18,518,0.18,67.0,131,7,5.34,3.74 (2.88-4.60),124,94.66,3.03 (2.74-3.32),2.79,4.87
astrocytes 5,222,0.186,42.0,98,14,14.29,4.80 (3.60-6.01),84,85.71,4.56 (4.13-4.98),2.81,2.62
oligodendrocyte progenitor cells 7,448,0.146,53.0,108,1,0.93,3.55 (NA-NA),107,99.07,3.25 (2.81-3.70),1.97,17.26
GABA neurons expressing GLU receptors 22,192,0.117,40.0,55,6,10.91,2.10 (1.82-2.39),49,89.09,4.30 (3.88-4.71),1.60,3.54
GLU like neurons 17,1247,0.192,81.0,51,2,3.92,2.04 (1.96-2.12),49,96.08,3.70 (3.11-4.30),2.73,3.26
da like neurons 11,408,0.075,9.0,25,11,44.0,2.26 (1.26-3.26),14,56.0,7.49 (6.86-8.11),2.02,2.48
GABA neurons expressing GABA receptors 13,288,0.14,34.0,93,28,30.11,3.79 (3.16-4.42),65,69.89,6.03 (5.46-6.60),4.97,3.51
endothelial cells 9,916,0.229,56.0,302,17,5.63,3.30 (2.18-4.41),285,94.37,4.02 (3.79-4.25),5.53,10.96
oligodendrocytes 20,221,0.153,30.0,12,0,0.0,NA,12,100.0,2.42 (0.83-4.00),NA,4.23
GABA like neurons 14,1300,0.205,50.0,306,59,19.28,3.44 (3.04-3.83),247,80.72,5.73 (5.46-6.00),8.74,6.22
astrocytes 8,279,0.303,65.0,78,27,34.62,3.23 (2.76-3.69),51,65.38,5.01 (4.50-5.51),2.91,2.60
oligodendrocyte progenitor cells 12,153,0.434,62.0,27,4,14.81,2.71 (1.45-3.97),23,85.19,5.67 (4.89-6.44),1.68,2.23
oligodendrocytes 10,130,0.344,37.0,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,126,0.296,58.0,7,5,71.43,1.96 (0.72-3.19),2,28.57,0.60 (-0.07-1.26),1.86,1.93
astrocytes 15,208,0.432,82.0,4,1,25.0,4.85 (NA-NA),3,75.0,2.25 (-0.30-4.81),3.98,2.43
oligodendrocytes 16,199,0.127,14.0,3,0,0.0,NA,3,100.0,5.28 (1.90-8.66),NA,4.76
da neurons 6,398,0.089,13.0,138,45,32.61,3.45 (3.01-3.90),93,67.39,5.68 (5.26-6.11),2.52,2.84
astrocytes microglia 23,122,0.194,14.0,46,2,4.35,4.19 (3.55-4.83),44,95.65,5.07 (4.49-5.66),1.88,3.27
astrocytes 4,255,0.121,11.0,12,1,8.33,NA,11,91.67,4.62 (3.76-5.48),1.33,2.42
oligodendrocytes 0,613,0.187,83.0,127,22,17.32,2.59 (2.16-3.02),105,82.68,3.20 (2.67-3.73),3.43,6.87
microglia 1,406,0.103,18.0,278,34,12.23,5.54 (5.04-6.04),244,87.77,4.11 (3.81-4.41),2.29,7.36
oligodendrocytes 3,242,0.101,32.0,6,0,0.0,NA,6,100.0,5.99 (5.03-6.94),NA,2.04
oligodendrocytes 2,921,0.11,11.0,200,15,7.5,3.23 (2.63-3.84),185,92.5,3.66 (3.37-3.94),3.22,3.48
