tipo_celular,module_size,TMEM106B_MM,TMEM106B_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,178,0.298,83.0,13,0,0.0,NA,13,100.0,1.68 (1.03-2.33),NA,5.07
T cells 18,727,0.173,72.0,49,0,0.0,NA,49,100.0,2.43 (2.03-2.82),NA,6.24
astrocytes 5,1656,0.128,70.0,136,0,0.0,NA,136,100.0,3.21 (2.94-3.48),NA,4.99
oligodendrocyte progenitor cells 7,628,0.187,62.0,164,11,6.71,3.75 (3.19-4.30),153,93.29,4.12 (3.76-4.47),3.14,7.84
GABA neurons expressing GLU receptors 22,848,0.167,31.0,262,33,12.6,4.33 (3.55-5.12),229,87.4,4.12 (3.87-4.38),6.32,3.78
GLU like neurons 17,1316,0.112,40.0,101,2,1.98,3.71 (3.06-4.37),99,98.02,3.04 (2.68-3.39),1.93,3.08
da like neurons 11,1220,0.081,7.0,410,22,5.37,3.32 (2.81-3.83),388,94.63,4.32 (4.12-4.51),10.87,7.33
GABA neurons expressing GABA receptors 13,238,0.114,19.0,36,0,0.0,NA,36,100.0,3.88 (3.35-4.40),NA,17.22
endothelial cells 9,1653,0.063,4.0,297,1,0.34,4.81 (NA-NA),296,99.66,3.67 (3.46-3.87),2.85,5.53
oligodendrocytes 20,250,0.174,49.0,14,0,0.0,NA,14,100.0,1.92 (1.21-2.62),NA,4.81
GABA like neurons 14,2402,0.149,25.0,455,25,5.49,2.58 (2.00-3.16),430,94.51,4.49 (4.30-4.67),23.69,7.97
astrocytes 8,283,0.125,43.0,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,3303,0.118,88.0,276,12,4.35,2.85 (2.08-3.62),264,95.65,3.58 (3.36-3.81),9.30,4.92
oligodendrocytes 10,806,0.088,22.0,261,28,10.73,4.35 (3.60-5.11),233,89.27,4.37 (4.11-4.62),7.68,5.87
connective tissue cells 21,92,0.306,62.0,3,0,0.0,NA,3,100.0,0.61 (-0.07-1.28),NA,2.83
astrocytes 15,1768,0.109,70.0,105,9,8.57,1.74 (1.16-2.31),96,91.43,3.36 (3.01-3.71),4.53,3.93
oligodendrocytes 16,121,0.187,29.0,3,0,0.0,NA,3,100.0,2.94 (1.35-4.53),NA,2.09
da neurons 6,307,0.108,38.0,95,1,1.05,4.08 (NA-NA),94,98.95,4.86 (4.41-5.30),1.36,3.38
astrocytes microglia 23,101,0.286,33.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,787,0.199,100.0,65,0,0.0,NA,65,100.0,2.96 (2.57-3.36),NA,5.75
oligodendrocytes 0,613,0.139,46.0,127,2,1.57,2.74 (2.35-3.14),125,98.43,3.06 (2.63-3.48),2.84,6.33
microglia 1,1615,0.078,8.0,161,13,8.07,1.12 (0.56-1.69),148,91.93,3.49 (3.23-3.75),11.99,4.86
oligodendrocytes 3,743,0.118,84.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55),NA,7.29
oligodendrocytes 2,528,0.206,53.0,175,16,9.14,3.49 (2.97-4.01),159,90.86,4.52 (4.13-4.91),8.71,4.21
