tipo_celular,module_size,TNRC6A_MM,TNRC6A_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,185,0.119,6.0,17,1,5.88,3.05 (NA-NA),16,94.12,1.83 (1.19-2.47),1.36,5.50
T cells 18,388,0.18,66.0,84,4,4.76,2.26 (2.13-2.40),80,95.24,3.01 (2.67-3.35),2.48,4.42
astrocytes 5,222,0.236,64.0,98,2,2.04,1.43 (0.17-2.69),96,97.96,4.68 (4.28-5.08),1.55,2.67
oligodendrocyte progenitor cells 7,436,0.109,36.0,219,0,0.0,NA,219,100.0,5.21 (4.92-5.50),NA,4.61
GABA neurons expressing GLU receptors 22,459,0.074,9.0,165,3,1.82,0.90 (0.75-1.04),162,98.18,5.18 (4.85-5.51),3.19,4.11
GLU like neurons 17,1247,0.295,98.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20),NA,3.24
da like neurons 11,215,0.363,92.0,9,0,0.0,NA,9,100.0,0.85 (0.17-1.52),NA,5.38
GABA neurons expressing GABA receptors 13,288,0.308,86.0,93,3,3.23,0.90 (0.75-1.04),90,96.77,5.33 (4.87-5.80),1.82,4.02
endothelial cells 9,1653,0.206,91.0,297,3,1.01,5.64 (5.34-5.94),294,98.99,3.65 (3.44-3.85),1.91,5.55
oligodendrocytes 20,676,0.632,92.0,110,5,4.55,1.31 (0.80-1.82),105,95.45,5.24 (4.83-5.66),4.02,3.50
GABA like neurons 14,2090,0.347,100.0,74,6,8.11,1.86 (1.58-2.15),68,91.89,3.05 (2.65-3.46),3.56,11.11
astrocytes 8,1266,0.388,100.0,66,21,31.82,1.98 (1.45-2.51),45,68.18,3.95 (3.51-4.39),3.87,2.53
oligodendrocyte progenitor cells 12,411,0.305,73.0,103,0,0.0,NA,103,100.0,5.55 (5.16-5.93),NA,3.08
oligodendrocytes 10,236,0.37,23.0,82,0,0.0,NA,82,100.0,4.99 (4.48-5.51),NA,3.84
connective tissue cells 21,183,0.097,1.0,32,1,3.12,0.87 (NA-NA),31,96.88,5.26 (4.67-5.86),1.48,2.71
astrocytes 15,418,0.104,50.0,54,0,0.0,NA,54,100.0,3.68 (3.24-4.12),NA,3.01
oligodendrocytes 16,287,0.32,53.0,105,5,4.76,1.31 (0.80-1.82),100,95.24,5.36 (4.96-5.77),2.42,3.52
da neurons 6,398,0.214,72.0,138,19,13.77,2.69 (1.93-3.45),119,86.23,5.24 (4.88-5.60),2.54,2.77
astrocytes microglia 23,141,0.225,36.0,30,0,0.0,NA,30,100.0,5.66 (4.78-6.55),NA,4.05
astrocytes 4,251,0.171,54.0,34,0,0.0,NA,34,100.0,5.25 (4.63-5.86),NA,3.07
oligodendrocytes 0,261,0.257,90.0,42,8,19.05,1.36 (1.04-1.68),34,80.95,4.96 (4.41-5.52),2.01,2.34
microglia 1,127,0.085,3.0,24,0,0.0,NA,24,100.0,5.17 (4.46-5.87),NA,2.47
oligodendrocytes 3,116,0.293,69.0,7,2,28.57,0.96 (0.79-1.12),5,71.43,5.55 (4.15-6.96),1.62,1.41
oligodendrocytes 2,407,0.114,10.0,122,48,39.34,2.08 (1.76-2.41),74,60.66,4.58 (4.09-5.07),3.36,2.27
