tipo_celular,module_size,ARHGAP24_MM,ARHGAP24_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,235.0,0.307,69.0,140,19,13.57,3.77 (3.11-4.44),121,86.43,4.69 (4.39-5.00),4.73,3.36
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,1141.0,0.075,1.0,166,12,7.23,3.37 (2.38-4.37),154,92.77,3.39 (3.13-3.65),2.48,4.71
oligodendrocyte progenitor cells 7,229.0,0.286,81.0,45,3,6.67,4.93 (4.67-5.19),42,93.33,5.01 (4.34-5.69),3.52,5.49
GABA neurons expressing GLU receptors 22,459.0,0.174,58.0,165,11,6.67,2.54 (1.76-3.32),154,93.33,5.33 (5.00-5.67),4.16,4.08
GLU like neurons 17,795.0,0.269,90.0,80,0,0.0,NA,80,100.0,5.68 (5.27-6.09),NA,3.01
da like neurons 11,153.0,0.392,92.0,2,0,0.0,NA,2,100.0,5.80 (NA-NA),NA,6.43
GABA neurons expressing GABA receptors 13,88.0,0.139,44.0,2,0,0.0,NA,2,100.0,NA,NA,1.67
endothelial cells 9,1653.0,0.149,66.0,297,0,0.0,NA,297,100.0,3.67 (3.47-3.88),NA,5.52
oligodendrocytes 20,298.0,0.101,38.0,6,0,0.0,NA,6,100.0,0.26 (NA-NA),NA,1.94
GABA like neurons 14,1300.0,0.199,47.0,306,39,12.75,3.64 (3.06-4.21),267,87.25,5.41 (5.14-5.69),7.98,6.52
astrocytes 8,727.0,0.119,58.0,29,0,0.0,NA,29,100.0,2.37 (1.87-2.86),NA,3.55
oligodendrocyte progenitor cells 12,708.0,0.114,52.0,25,3,12.0,3.51 (0.27-6.75),22,88.0,2.76 (1.72-3.80),2.01,2.61
oligodendrocytes 10,2107.0,0.415,98.0,358,16,4.47,2.53 (1.69-3.38),342,95.53,3.94 (3.75-4.14),6.75,9.60
connective tissue cells 21,111.0,0.175,7.0,1,0,0.0,NA,1,100.0,NA,NA,1.30
astrocytes 15,458.0,0.103,56.0,36,1,2.78,NA,35,97.22,3.77 (2.68-4.85),1.88,2.59
oligodendrocytes 16,108.0,0.54,100.0,5,4,80.0,4.09 (2.79-5.38),1,20.0,3.52 (NA-NA),2.75,1.65
da neurons 6,398.0,0.146,49.0,138,32,23.19,3.65 (3.13-4.18),106,76.81,5.26 (4.83-5.70),3.10,2.62
astrocytes microglia 23,229.0,0.555,100.0,99,9,9.09,4.77 (3.85-5.69),90,90.91,4.24 (3.89-4.60),5.09,3.05
astrocytes 4,201.0,0.13,17.0,18,14,77.78,4.56 (3.75-5.37),4,22.22,4.45 (0.69-8.21),3.45,1.86
oligodendrocytes 0,1186.0,0.163,80.0,300,15,5.0,3.79 (3.38-4.21),285,95.0,3.79 (3.58-4.01),4.45,4.14
microglia 1,315.0,0.247,80.0,144,13,9.03,4.69 (3.68-5.70),131,90.97,4.43 (4.11-4.76),3.76,4.25
oligodendrocytes 3,94.0,0.154,75.0,7,1,14.29,NA,6,85.71,5.62 (2.52-8.73),1.34,4.24
oligodendrocytes 2,99.0,0.086,0.0,116,0,0.0,NA,116,100.0,3.96 (3.66-4.26),NA,7.24
