tipo_celular,module_size,CALM3_MM,CALM3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,181,0.348,98.0,8,0,0.0,NA,8,100.0,1.27 (0.48-2.07),NA,4.68
T cells 18,506,0.213,60.0,225,0,0.0,NA,225,100.0,3.61 (3.36-3.86),NA,7.90
astrocytes 5,228,0.314,89.0,266,0,0.0,NA,266,100.0,4.11 (3.90-4.32),NA,4.98
oligodendrocyte progenitor cells 7,296,0.354,94.0,251,11,4.38,4.56 (4.06-5.06),240,95.62,4.04 (3.79-4.29),3.02,6.30
GABA neurons expressing GLU receptors 22,848,0.54,100.0,262,0,0.0,NA,262,100.0,4.16 (3.91-4.40),NA,4.10
GLU like neurons 17,1316,0.147,70.0,101,0,0.0,NA,101,100.0,3.05 (2.70-3.40),NA,3.05
da like neurons 11,1220,0.527,98.0,410,0,0.0,NA,410,100.0,4.25 (4.06-4.43),NA,7.52
GABA neurons expressing GABA receptors 13,238,0.182,60.0,36,0,0.0,NA,36,100.0,3.88 (3.35-4.40),NA,17.22
endothelial cells 9,338,0.288,86.0,191,16,8.38,4.03 (3.58-4.48),175,91.62,3.87 (3.62-4.11),2.83,9.74
oligodendrocytes 20,938,0.051,13.0,169,0,0.0,NA,169,100.0,3.48 (3.26-3.70),NA,5.36
GABA like neurons 14,2402,0.714,99.0,455,0,0.0,NA,455,100.0,4.34 (4.15-4.53),NA,8.83
astrocytes 8,520,0.369,93.0,288,0,0.0,NA,288,100.0,4.17 (3.97-4.37),NA,4.69
oligodendrocyte progenitor cells 12,1049,0.134,70.0,235,6,2.55,4.28 (2.42-6.15),229,97.45,3.81 (3.58-4.04),3.87,7.71
oligodendrocytes 10,806,0.48,95.0,261,0,0.0,NA,261,100.0,4.36 (4.12-4.61),NA,6.07
connective tissue cells 21,101,0.442,83.0,116,0,0.0,NA,116,100.0,4.61 (4.19-5.02),NA,3.22
astrocytes 15,458,0.051,19.0,36,1,2.78,NA,35,97.22,3.77 (2.68-4.85),1.97,2.59
oligodendrocytes 16,313,0.315,75.0,291,0,0.0,NA,291,100.0,4.33 (4.10-4.55),NA,3.82
da neurons 6,729,0.224,82.0,182,2,1.1,1.57 (1.57-1.57),180,98.9,3.66 (3.41-3.92),3.49,8.58
astrocytes microglia 23,70,0.34,56.0,76,8,10.53,4.87 (4.39-5.35),68,89.47,4.06 (3.46-4.67),4.11,4.58
astrocytes 4,157,0.298,79.0,178,0,0.0,NA,178,100.0,4.15 (3.87-4.42),NA,4.50
oligodendrocytes 0,116,0.202,66.0,169,9,5.33,4.33 (3.37-5.28),160,94.67,4.27 (3.96-4.58),3.66,6.65
microglia 1,214,0.34,86.0,227,0,0.0,NA,227,100.0,4.09 (3.86-4.33),NA,6.12
oligodendrocytes 3,457,0.321,94.0,345,44,12.75,3.96 (3.55-4.36),301,87.25,4.33 (4.10-4.57),4.61,5.85
oligodendrocytes 2,99,0.298,66.0,116,5,4.31,4.00 (3.41-4.59),111,95.69,3.95 (3.64-4.27),2.20,7.46
