tipo_celular,module_size,PPP1R12C_MM,PPP1R12C_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,401,0.063,3.0,19,0,0.0,NA,19,100.0,2.52 (1.81-3.24),NA,3.33
T cells 18,477,0.106,13.0,43,0,0.0,NA,43,100.0,2.03 (1.52-2.53),NA,7.12
astrocytes 5,1656,0.082,7.0,136,0,0.0,NA,136,100.0,3.21 (2.94-3.48),NA,4.99
oligodendrocyte progenitor cells 7,4285,0.124,33.0,353,4,1.13,0.93 (0.21-1.65),349,98.87,3.93 (3.75-4.12),34.41,7.76
GABA neurons expressing GLU receptors 22,599,0.187,38.0,22,0,0.0,NA,22,100.0,2.24 (1.45-3.03),NA,3.95
GLU like neurons 17,1316,0.078,11.0,101,0,0.0,NA,101,100.0,3.05 (2.70-3.40),NA,3.05
da like neurons 11,1220,0.13,29.0,410,3,0.73,3.16 (0.60-5.73),407,99.27,4.26 (4.07-4.45),4.98,7.53
GABA neurons expressing GABA receptors 13,93,0.152,49.0,2,0,0.0,NA,2,100.0,NA,NA,2.07
endothelial cells 9,303,0.088,20.0,54,0,0.0,NA,54,100.0,4.84 (4.22-5.46),NA,5.04
oligodendrocytes 20,322,0.031,5.0,10,0,0.0,NA,10,100.0,1.41 (0.38-2.43),NA,5.13
GABA like neurons 14,2402,0.097,8.0,455,3,0.66,0.59 (0.19-0.98),452,99.34,4.38 (4.19-4.56),48.01,8.57
astrocytes 8,603,0.062,38.0,89,0,0.0,NA,89,100.0,2.76 (2.41-3.11),NA,6.04
oligodendrocyte progenitor cells 12,1049,0.028,2.0,235,1,0.43,4.47 (NA-NA),234,99.57,3.82 (3.59-4.05),1.40,7.64
oligodendrocytes 10,806,0.105,29.0,261,0,0.0,NA,261,100.0,4.36 (4.12-4.61),NA,6.07
connective tissue cells 21,103,0.374,90.0,2,0,0.0,NA,2,100.0,3.59 (3.46-3.72),NA,1.57
astrocytes 15,1401,0.048,16.0,96,0,0.0,NA,96,100.0,3.61 (3.16-4.06),NA,3.80
oligodendrocytes 16,122,0.275,89.0,11,0,0.0,NA,11,100.0,3.57 (3.08-4.06),NA,1.95
da neurons 6,553,0.089,20.0,124,1,0.81,4.07 (NA-NA),123,99.19,4.18 (3.79-4.58),1.80,3.04
astrocytes microglia 23,124,0.323,56.0,1,0,0.0,NA,1,100.0,4.05 (NA-NA),NA,1.36
astrocytes 4,1807,0.129,23.0,104,2,1.92,1.25 (-0.12-2.62),102,98.08,2.90 (2.61-3.18),3.39,5.44
oligodendrocytes 0,2078,0.081,4.0,238,0,0.0,NA,238,100.0,3.64 (3.42-3.86),NA,5.02
microglia 1,958,0.091,20.0,290,0,0.0,NA,290,100.0,3.81 (3.58-4.04),NA,5.00
oligodendrocytes 3,457,0.03,1.0,345,0,0.0,NA,345,100.0,4.27 (4.06-4.48),NA,5.69
oligodendrocytes 2,1630,0.131,28.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51),NA,3.59
