tipo_celular,module_size,XIAP_MM,XIAP_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,395,0.156,48.0,97,3,3.09,3.25 (1.57-4.92),94,96.91,3.05 (2.64-3.45),3.79,4.94
T cells 18,727,0.122,33.0,49,10,20.41,4.06 (3.15-4.97),39,79.59,2.18 (1.80-2.56),4.85,6.59
astrocytes 5,932,0.077,8.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08),NA,4.30
oligodendrocyte progenitor cells 7,4285,0.144,63.0,353,57,16.15,2.34 (1.99-2.70),296,83.85,4.24 (4.05-4.42),20.79,5.61
GABA neurons expressing GLU receptors 22,487,0.229,56.0,73,3,4.11,1.40 (1.32-1.48),70,95.89,2.82 (2.43-3.22),2.07,7.55
GLU like neurons 17,1247,0.098,23.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20),NA,3.24
da like neurons 11,1220,0.073,4.0,410,19,4.63,4.14 (3.48-4.79),391,95.37,4.25 (4.06-4.45),5.26,7.62
GABA neurons expressing GABA receptors 13,200,0.195,76.0,34,3,8.82,3.58 (3.41-3.75),31,91.18,3.93 (2.92-4.94),1.65,3.67
endothelial cells 9,1653,0.087,17.0,297,15,5.05,3.72 (3.05-4.40),282,94.95,3.67 (3.46-3.88),9.28,5.32
oligodendrocytes 20,938,0.046,11.0,169,17,10.06,3.72 (2.76-4.67),152,89.94,3.45 (3.23-3.67),3.50,5.57
GABA like neurons 14,2402,0.035,1.0,455,35,7.69,2.76 (2.11-3.41),420,92.31,4.52 (4.34-4.70),15.61,8.27
astrocytes 8,218,0.05,24.0,9,0,0.0,NA,9,100.0,2.12 (1.21-3.03),NA,4.91
oligodendrocyte progenitor cells 12,3303,0.093,67.0,276,46,16.67,2.44 (2.07-2.80),230,83.33,3.79 (3.55-4.03),10.41,4.05
oligodendrocytes 10,735,0.08,37.0,277,4,1.44,5.34 (4.77-5.91),273,98.56,3.86 (3.62-4.11),2.76,9.04
connective tissue cells 21,100,0.243,23.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,418,0.035,14.0,54,3,5.56,3.53 (3.35-3.70),51,94.44,3.69 (3.23-4.16),1.87,3.08
oligodendrocytes 16,112,0.174,50.0,1,0,0.0,NA,1,100.0,NA,NA,1.31
da neurons 6,553,0.195,83.0,124,12,9.68,3.48 (2.20-4.76),112,90.32,4.24 (3.83-4.65),2.97,3.04
astrocytes microglia 23,127,0.264,22.0,1,0,0.0,NA,1,100.0,NA,NA,1.78
astrocytes 4,787,0.146,41.0,65,0,0.0,NA,65,100.0,2.96 (2.57-3.36),NA,5.75
oligodendrocytes 0,2078,0.124,70.0,238,21,8.82,3.22 (2.66-3.78),217,91.18,3.67 (3.44-3.91),4.95,5.03
microglia 1,813,0.065,2.0,79,0,0.0,NA,79,100.0,3.10 (2.70-3.50),NA,7.90
oligodendrocytes 3,1003,0.054,8.0,111,5,4.5,3.13 (2.31-3.96),106,95.5,3.31 (2.96-3.65),3.27,4.28
oligodendrocytes 2,921,0.137,49.0,200,6,3.0,2.92 (1.92-3.92),194,97.0,3.65 (3.38-3.92),4.35,3.44
