tipo_celular,module_size,RPS15_MM,RPS15_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,185,0.49,90.0,98,37,37.76,3.43 (2.71-4.15),61,62.24,3.04 (2.42-3.66),25.82,5.96
T cells 18,506,0.615,99.0,225,48,21.33,3.35 (2.84-3.86),177,78.67,3.70 (3.41-3.98),18.17,5.12
astrocytes 5,328,0.411,94.0,128,13,10.16,3.80 (3.32-4.29),115,89.84,3.54 (3.16-3.92),14.81,5.85
oligodendrocyte progenitor cells 7,448,0.431,98.0,108,18,16.67,4.73 (3.82-5.63),90,83.33,2.93 (2.46-3.39),21.13,16.32
GABA neurons expressing GLU receptors 22,487,0.392,91.0,73,21,28.77,3.34 (2.61-4.08),52,71.23,2.48 (2.05-2.91),9.77,6.34
GLU like neurons 17,685,0.265,87.0,135,39,28.89,2.36 (1.97-2.75),96,71.11,3.59 (3.20-3.97),5.84,2.90
da like neurons 11,1220,0.332,86.0,410,32,7.8,3.26 (2.78-3.74),378,92.2,4.35 (4.15-4.54),10.45,7.27
GABA neurons expressing GABA receptors 13,417,0.165,53.0,213,50,23.47,2.63 (2.13-3.13),163,76.53,4.17 (3.92-4.41),10.59,9.41
endothelial cells 9,916,0.647,100.0,302,22,7.28,4.03 (2.98-5.08),280,92.72,3.98 (3.75-4.21),24.29,9.58
oligodendrocytes 20,938,0.297,94.0,169,28,16.57,3.34 (2.68-4.00),141,83.43,3.51 (3.28-3.74),10.86,4.27
GABA like neurons 14,2402,0.644,97.0,455,58,12.75,2.83 (2.35-3.32),397,87.25,4.62 (4.44-4.80),18.98,7.35
astrocytes 8,603,0.298,97.0,89,23,25.84,2.80 (2.25-3.35),66,74.16,2.74 (2.28-3.19),8.16,5.30
oligodendrocyte progenitor cells 12,1049,0.473,99.0,235,23,9.79,4.21 (3.51-4.91),212,90.21,3.78 (3.53-4.02),19.14,6.36
oligodendrocytes 10,483,0.474,95.0,129,27,20.93,4.54 (3.92-5.16),102,79.07,3.17 (2.72-3.61),26.61,17.22
connective tissue cells 21,301,0.498,78.0,158,30,18.99,3.70 (3.00-4.40),128,81.01,4.42 (4.00-4.85),19.86,4.07
astrocytes 15,458,0.121,64.0,36,3,8.33,4.13 (2.88-5.38),33,91.67,3.71 (2.48-4.95),2.07,2.62
oligodendrocytes 16,96,0.312,84.0,102,43,42.16,2.77 (2.16-3.37),59,57.84,3.76 (3.44-4.09),12.83,3.90
da neurons 6,729,0.323,98.0,182,32,17.58,3.56 (2.88-4.24),150,82.42,3.65 (3.38-3.92),18.71,6.35
astrocytes microglia 23,137,0.549,92.0,188,45,23.94,2.81 (2.27-3.36),143,76.06,4.99 (4.64-5.35),18.27,3.64
astrocytes 4,208,0.212,58.0,173,14,8.09,3.89 (3.18-4.59),159,91.91,3.79 (3.46-4.11),11.15,5.13
oligodendrocytes 0,546,0.385,98.0,252,52,20.63,2.93 (2.35-3.51),200,79.37,4.45 (4.21-4.70),16.99,5.93
microglia 1,406,0.6,98.0,278,18,6.47,4.20 (3.59-4.81),260,93.53,4.37 (4.08-4.66),30.23,5.11
oligodendrocytes 3,303,0.317,98.0,154,24,15.58,4.74 (3.96-5.53),130,84.42,3.44 (3.10-3.77),30.26,8.44
oligodendrocytes 2,526,0.556,96.0,213,17,7.98,4.38 (3.59-5.18),196,92.02,3.95 (3.66-4.24),26.89,6.29
