tipo_celular,module_size,FUS_MM,FUS_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,360,0.134,23.0,102,46,45.1,3.38 (2.78-3.98),56,54.9,3.60 (3.17-4.04),3.33,2.79
T cells 18,727,0.091,11.0,49,1,2.04,3.05 (NA-NA),48,97.96,2.41 (2.01-2.82),1.32,6.34
astrocytes 5,1141,0.096,10.0,166,57,34.34,2.91 (2.53-3.28),109,65.66,3.73 (3.41-4.05),5.21,4.20
oligodendrocyte progenitor cells 7,4285,0.137,53.0,353,89,25.21,2.82 (2.51-3.14),264,74.79,4.39 (4.20-4.59),15.74,5.48
GABA neurons expressing GLU receptors 22,823,0.211,71.0,23,3,13.04,2.61 (0.99-4.24),20,86.96,2.35 (1.52-3.18),1.67,3.68
GLU like neurons 17,685,0.084,18.0,135,41,30.37,2.40 (2.03-2.77),94,69.63,3.63 (3.24-4.03),3.91,3.68
da like neurons 11,408,0.088,15.0,25,10,40.0,1.82 (0.87-2.77),15,60.0,6.90 (5.94-7.86),2.07,2.41
GABA neurons expressing GABA receptors 13,88,0.26,94.0,2,0,0.0,NA,2,100.0,NA,NA,1.67
endothelial cells 9,412,0.143,34.0,141,9,6.38,2.37 (1.44-3.30),132,93.62,3.01 (2.76-3.25),3.83,7.02
oligodendrocytes 20,250,0.17,47.0,14,0,0.0,NA,14,100.0,1.92 (1.21-2.62),NA,4.81
GABA like neurons 14,3052,0.141,52.0,125,3,2.4,3.94 (2.34-5.54),122,97.6,3.33 (3.00-3.66),2.95,8.75
astrocytes 8,603,0.054,27.0,89,11,12.36,1.72 (1.18-2.26),78,87.64,2.97 (2.59-3.36),4.67,6.24
oligodendrocyte progenitor cells 12,3303,0.072,41.0,276,66,23.91,2.60 (2.29-2.92),210,76.09,3.94 (3.69-4.20),8.46,4.06
oligodendrocytes 10,2107,0.233,78.0,358,100,27.93,2.83 (2.53-3.13),258,72.07,4.47 (4.26-4.67),19.04,5.76
connective tissue cells 21,106,0.296,56.0,4,2,50.0,4.95 (4.95-4.95),2,50.0,5.06 (NA-NA),1.99,1.75
astrocytes 15,1768,0.123,80.0,105,36,34.29,2.72 (2.20-3.23),69,65.71,3.51 (3.08-3.93),5.62,3.12
oligodendrocytes 16,156,0.148,11.0,3,0,0.0,NA,3,100.0,0.40 (0.24-0.56),NA,1.61
da neurons 6,518,0.062,4.0,122,11,9.02,1.74 (1.01-2.47),111,90.98,4.29 (3.90-4.68),4.24,3.41
astrocytes microglia 23,255,0.25,46.0,57,7,12.28,2.71 (2.23-3.19),50,87.72,2.64 (2.24-3.05),1.76,3.55
astrocytes 4,721,0.162,70.0,61,7,11.48,3.15 (1.75-4.55),54,88.52,2.94 (2.51-3.38),2.41,6.49
oligodendrocytes 0,1186,0.124,21.0,300,17,5.67,3.89 (3.39-4.40),283,94.33,3.79 (3.57-4.00),4.86,4.11
microglia 1,958,0.119,63.0,290,37,12.76,3.44 (2.86-4.01),253,87.24,3.88 (3.64-4.13),5.50,4.93
oligodendrocytes 3,1003,0.06,11.0,111,9,8.11,4.96 (4.18-5.74),102,91.89,3.14 (2.79-3.49),2.95,4.34
oligodendrocytes 2,921,0.11,11.0,200,25,12.5,4.00 (3.39-4.60),175,87.5,3.56 (3.27-3.85),4.32,3.34
