tipo_celular,module_size,RDX_MM,RDX_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,401,0.209,79.0,19,0,0.0,NA,19,100.0,2.52 (1.81-3.24),NA,3.33
T cells 18,349,0.274,75.0,68,24,35.29,3.67 (2.91-4.43),44,64.71,4.92 (4.18-5.67),2.94,3.52
astrocytes 5,1141,0.178,95.0,166,30,18.07,2.63 (2.12-3.13),136,81.93,3.60 (3.32-3.87),3.56,4.77
oligodendrocyte progenitor cells 7,628,0.163,49.0,164,6,3.66,4.12 (2.94-5.29),158,96.34,4.08 (3.74-4.42),4.80,7.63
GABA neurons expressing GLU receptors 22,487,0.205,47.0,73,7,9.59,1.94 (1.04-2.84),66,90.41,2.86 (2.45-3.27),2.67,7.82
GLU like neurons 17,685,0.2,77.0,135,55,40.74,2.71 (2.28-3.14),80,59.26,3.52 (3.11-3.92),4.68,3.11
da like neurons 11,408,0.156,46.0,25,9,36.0,1.87 (0.88-2.85),16,64.0,6.86 (5.86-7.87),2.12,2.36
GABA neurons expressing GABA receptors 13,73,0.134,28.0,16,0,0.0,NA,16,100.0,2.22 (1.28-3.17),NA,9.28
endothelial cells 9,450,0.139,26.0,74,12,16.22,4.97 (4.07-5.86),62,83.78,5.63 (4.96-6.29),3.51,3.66
oligodendrocytes 20,676,0.353,62.0,110,46,41.82,4.37 (3.86-4.89),64,58.18,5.71 (5.01-6.41),3.59,3.48
GABA like neurons 14,2402,0.145,23.0,455,52,11.43,3.26 (2.70-3.83),403,88.57,4.52 (4.33-4.71),17.44,7.72
astrocytes 8,771,0.279,78.0,48,9,18.75,5.61 (4.31-6.92),39,81.25,4.07 (3.21-4.94),2.22,3.36
oligodendrocyte progenitor cells 12,218,0.328,66.0,1,0,0.0,NA,1,100.0,2.68 (NA-NA),NA,2.31
oligodendrocytes 10,236,0.483,49.0,82,28,34.15,5.01 (4.38-5.65),54,65.85,4.98 (4.23-5.74),3.40,4.06
connective tissue cells 21,118,0.242,20.0,4,0,0.0,NA,4,100.0,1.60 (-1.03-4.24),NA,2.02
astrocytes 15,338,0.113,18.0,14,0,0.0,NA,14,100.0,1.77 (1.03-2.51),NA,5.71
oligodendrocytes 16,287,0.433,85.0,105,53,50.48,4.51 (3.97-5.04),52,49.52,6.17 (5.55-6.78),3.73,3.20
da neurons 6,398,0.139,46.0,138,56,40.58,3.97 (3.51-4.42),82,59.42,5.54 (5.04-6.03),2.93,2.60
astrocytes microglia 23,41,0.269,30.0,2,0,0.0,NA,2,100.0,1.57 (1.57-1.57),NA,8.62
astrocytes 4,752,0.151,47.0,96,14,14.58,2.89 (2.39-3.39),82,85.42,3.38 (2.99-3.76),2.45,4.64
oligodendrocytes 0,546,0.149,38.0,252,43,17.06,2.90 (2.26-3.54),209,82.94,4.35 (4.10-4.60),12.95,7.24
microglia 1,346,0.137,42.0,43,0,0.0,NA,43,100.0,3.77 (3.26-4.27),NA,4.48
oligodendrocytes 3,127,0.362,77.0,45,13,28.89,3.17 (2.29-4.05),32,71.11,5.16 (3.99-6.32),2.11,7.47
oligodendrocytes 2,526,0.189,26.0,213,2,0.94,4.92 (3.04-6.80),211,99.06,3.97 (3.69-4.24),2.83,7.99
