tipo_celular,module_size,CNOT4_MM,CNOT4_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,178,0.168,19.0,13,0,0.0,NA,13,100.0,1.68 (1.03-2.33),NA,5.07
T cells 18,727,0.108,22.0,49,10,20.41,3.92 (3.10-4.73),39,79.59,2.15 (1.77-2.54),4.77,6.61
astrocytes 5,1141,0.152,78.0,166,56,33.73,3.18 (2.80-3.56),110,66.27,3.52 (3.19-3.85),4.61,4.52
oligodendrocyte progenitor cells 7,4285,0.129,40.0,353,75,21.25,3.17 (2.79-3.54),278,78.75,4.15 (3.94-4.35),13.12,6.70
GABA neurons expressing GLU receptors 22,1069,0.172,55.0,37,3,8.11,2.03 (1.31-2.75),34,91.89,2.17 (1.67-2.67),2.49,3.16
GLU like neurons 17,637,0.071,8.0,91,10,10.99,2.31 (1.42-3.20),81,89.01,4.93 (4.39-5.46),3.02,3.06
da like neurons 11,140,0.317,77.0,1,0,0.0,NA,1,100.0,NA,NA,1.72
GABA neurons expressing GABA receptors 13,65,0.222,80.0,2,0,0.0,NA,2,100.0,4.02 (3.45-4.59),NA,18.27
endothelial cells 9,1653,0.152,68.0,297,12,4.04,4.59 (3.80-5.37),285,95.96,3.64 (3.43-3.84),8.35,5.40
oligodendrocytes 20,403,0.239,87.0,18,7,38.89,1.83 (0.92-2.75),11,61.11,1.91 (0.93-2.89),3.32,4.09
GABA like neurons 14,3052,0.114,29.0,125,6,4.8,4.04 (2.51-5.57),119,95.2,3.33 (3.00-3.66),3.72,8.86
astrocytes 8,283,0.258,95.0,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,218,0.324,62.0,1,1,100.0,2.68 (NA-NA),0,0.0,NA,2.31,NA
oligodendrocytes 10,2107,0.223,75.0,358,85,23.74,3.17 (2.80-3.53),273,76.26,4.17 (3.96-4.38),16.23,7.37
connective tissue cells 21,126,0.232,21.0,7,3,42.86,1.36 (0.78-1.94),4,57.14,1.65 (-0.44-3.74),2.15,1.68
astrocytes 15,338,0.174,67.0,14,0,0.0,NA,14,100.0,1.77 (1.03-2.51),NA,5.71
oligodendrocytes 16,122,0.15,12.0,11,2,18.18,3.01 (2.80-3.22),9,81.82,3.76 (3.18-4.34),1.91,1.95
da neurons 6,398,0.064,3.0,138,21,15.22,2.82 (2.14-3.50),117,84.78,5.26 (4.89-5.63),2.43,2.79
astrocytes microglia 23,190,0.303,71.0,7,1,14.29,3.22 (NA-NA),6,85.71,5.16 (4.09-6.24),1.81,1.81
astrocytes 4,752,0.174,81.0,96,21,21.88,3.50 (2.95-4.06),75,78.12,3.23 (2.83-3.62),2.78,4.75
oligodendrocytes 0,1186,0.147,55.0,300,5,1.67,4.16 (3.13-5.20),295,98.33,3.79 (3.58-3.99),8.90,4.08
microglia 1,813,0.104,33.0,79,0,0.0,NA,79,100.0,3.10 (2.70-3.50),NA,7.90
oligodendrocytes 3,1003,0.11,63.0,111,17,15.32,5.08 (4.51-5.66),94,84.68,3.02 (2.67-3.37),3.10,4.44
oligodendrocytes 2,921,0.129,35.0,200,18,9.0,4.75 (4.07-5.42),182,91.0,3.48 (3.20-3.76),4.63,3.35
