tipo_celular,module_size,PPP2R2A_MM,PPP2R2A_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,351,0.149,46.0,71,2,2.82,0.96 (-0.52-2.44),69,97.18,2.68 (2.26-3.09),4.29,3.56
T cells 18,477,0.188,67.0,43,0,0.0,NA,43,100.0,2.03 (1.52-2.53),NA,7.12
astrocytes 5,165,0.134,25.0,51,0,0.0,NA,51,100.0,5.35 (4.68-6.01),NA,2.95
oligodendrocyte progenitor cells 7,448,0.126,38.0,108,0,0.0,NA,108,100.0,3.26 (2.82-3.69),NA,17.12
GABA neurons expressing GLU receptors 22,567,0.338,85.0,16,1,6.25,1.95 (NA-NA),15,93.75,1.97 (1.25-2.70),1.72,3.76
GLU like neurons 17,637,0.273,78.0,91,10,10.99,1.23 (0.41-2.05),81,89.01,5.12 (4.66-5.57),3.34,3.02
da like neurons 11,197,0.194,48.0,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,288,0.13,26.0,93,2,2.15,3.12 (2.26-3.98),91,97.85,5.21 (4.70-5.71),3.50,3.96
endothelial cells 9,412,0.192,56.0,141,0,0.0,NA,141,100.0,2.96 (2.72-3.20),NA,6.82
oligodendrocytes 20,676,0.458,75.0,110,0,0.0,NA,110,100.0,4.99 (4.54-5.44),NA,3.52
GABA like neurons 14,2402,0.082,4.0,455,19,4.18,1.34 (0.90-1.78),436,95.82,4.53 (4.35-4.70),26.81,8.05
astrocytes 8,771,0.238,72.0,48,0,0.0,NA,48,100.0,4.43 (3.68-5.18),NA,3.14
oligodendrocyte progenitor cells 12,103,0.444,43.0,9,0,0.0,NA,9,100.0,3.60 (1.89-5.31),NA,2.84
oligodendrocytes 10,236,0.478,47.0,82,0,0.0,NA,82,100.0,4.99 (4.48-5.51),NA,3.84
connective tissue cells 21,250,0.188,14.0,117,2,1.71,3.12 (2.26-3.98),115,98.29,5.43 (5.03-5.83),2.76,3.76
astrocytes 15,458,0.091,47.0,36,0,0.0,NA,36,100.0,3.77 (2.68-4.85),NA,2.57
oligodendrocytes 16,153,0.381,59.0,14,0,0.0,NA,14,100.0,4.67 (3.94-5.40),NA,2.89
da neurons 6,398,0.118,33.0,138,8,5.8,2.35 (1.35-3.35),130,94.2,5.01 (4.64-5.37),3.05,2.71
astrocytes microglia 23,255,0.222,26.0,57,2,3.51,3.07 (2.93-3.20),55,96.49,2.63 (2.26-3.01),5.62,3.25
astrocytes 4,514,0.146,25.0,95,0,0.0,NA,95,100.0,3.37 (2.95-3.79),NA,4.64
oligodendrocytes 0,261,0.143,25.0,42,1,2.38,1.18 (NA-NA),41,97.62,4.15 (3.46-4.84),2.19,2.28
microglia 1,958,0.15,90.0,290,5,1.72,3.87 (2.66-5.08),285,98.28,3.81 (3.58-4.05),5.29,5.00
oligodendrocytes 3,116,0.262,40.0,7,0,0.0,NA,7,100.0,3.71 (1.38-6.05),NA,1.47
oligodendrocytes 2,348,0.17,38.0,114,1,0.88,3.56 (NA-NA),113,99.12,5.13 (4.72-5.55),1.72,4.42
