tipo_celular,module_size,RPL14_MM,RPL14_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,185,0.459,86.0,98,41,41.84,3.46 (2.78-4.14),57,58.16,2.99 (2.34-3.64),24.03,5.85
T cells 18,506,0.487,94.0,225,41,18.22,3.47 (2.79-4.16),184,81.78,3.64 (3.38-3.91),23.00,4.54
astrocytes 5,328,0.229,73.0,128,9,7.03,3.57 (3.00-4.15),119,92.97,3.57 (3.20-3.94),22.36,5.58
oligodendrocyte progenitor cells 7,448,0.358,94.0,108,12,11.11,4.34 (3.45-5.23),96,88.89,3.09 (2.61-3.56),30.82,15.41
GABA neurons expressing GLU receptors 22,487,0.391,91.0,73,17,23.29,2.98 (2.24-3.72),56,76.71,2.68 (2.23-3.13),13.08,5.58
GLU like neurons 17,685,0.143,58.0,135,30,22.22,2.25 (1.76-2.74),105,77.78,3.44 (3.09-3.79),6.51,2.96
da like neurons 11,1220,0.21,60.0,410,25,6.1,3.28 (2.67-3.89),385,93.9,4.31 (4.12-4.51),18.24,6.82
GABA neurons expressing GABA receptors 13,417,0.149,43.0,213,36,16.9,2.46 (1.89-3.04),177,83.1,4.06 (3.81-4.31),15.04,8.60
endothelial cells 9,916,0.552,96.0,302,18,5.96,3.92 (2.98-4.87),284,94.04,3.99 (3.75-4.22),29.25,9.47
oligodendrocytes 20,403,0.191,75.0,18,8,44.44,1.00 (0.36-1.64),10,55.56,2.58 (1.66-3.49),5.24,2.63
GABA like neurons 14,2402,0.651,97.0,455,40,8.79,2.75 (2.10-3.41),415,91.21,4.53 (4.35-4.71),25.38,7.24
astrocytes 8,603,0.214,91.0,89,20,22.47,2.51 (1.93-3.10),69,77.53,2.86 (2.43-3.30),9.66,5.00
oligodendrocyte progenitor cells 12,1049,0.431,97.0,235,24,10.21,4.10 (3.37-4.83),211,89.79,3.79 (3.55-4.04),22.22,5.95
oligodendrocytes 10,483,0.406,91.0,129,22,17.05,4.63 (3.83-5.42),107,82.95,3.18 (2.76-3.60),29.01,17.17
connective tissue cells 21,301,0.65,98.0,158,20,12.66,3.36 (2.50-4.22),138,87.34,4.44 (4.04-4.83),28.02,4.03
astrocytes 15,418,0.036,16.0,54,2,3.7,3.69 (-1.01-8.39),52,96.3,3.68 (3.25-4.11),3.45,3.00
oligodendrocytes 16,107,0.195,29.0,11,1,9.09,0.52 (NA-NA),10,90.91,1.58 (0.87-2.29),3.11,3.61
da neurons 6,729,0.218,79.0,182,26,14.29,3.70 (2.84-4.57),156,85.71,3.62 (3.37-3.88),22.26,6.23
astrocytes microglia 23,137,0.45,81.0,188,41,21.81,3.15 (2.52-3.78),147,78.19,4.78 (4.41-5.15),20.62,3.39
astrocytes 4,208,0.153,25.0,173,10,5.78,3.57 (3.00-4.15),163,94.22,3.81 (3.49-4.13),15.01,5.04
oligodendrocytes 0,546,0.256,81.0,252,48,19.05,2.98 (2.33-3.64),204,80.95,4.38 (4.13-4.62),21.93,4.98
microglia 1,406,0.531,91.0,278,12,4.32,4.17 (3.08-5.27),266,95.68,4.37 (4.09-4.65),43.64,5.07
oligodendrocytes 3,303,0.207,73.0,154,16,10.39,4.73 (3.81-5.65),138,89.61,3.49 (3.16-3.82),41.16,8.44
oligodendrocytes 2,526,0.324,69.0,213,10,4.69,4.48 (3.35-5.61),203,95.31,3.95 (3.67-4.23),44.56,6.13
