tipo_celular,module_size,ZDHHC21_MM,ZDHHC21_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,500,0.122,22.0,32,1,3.12,2.24 (NA-NA),31,96.88,3.78 (2.98-4.58),3.06,3.63
T cells 18,727,0.202,88.0,49,2,4.08,3.04 (2.03-4.05),47,95.92,2.40 (1.99-2.81),5.67,6.26
astrocytes 5,1141,0.155,80.0,166,12,7.23,1.85 (1.13-2.56),154,92.77,3.54 (3.28-3.79),5.69,4.46
oligodendrocyte progenitor cells 7,448,0.125,37.0,108,0,0.0,NA,108,100.0,3.26 (2.82-3.69),NA,17.12
GABA neurons expressing GLU receptors 22,823,0.131,20.0,23,4,17.39,2.59 (1.55-3.63),19,82.61,2.34 (1.44-3.24),1.97,3.73
GLU like neurons 17,1316,0.117,45.0,101,2,1.98,2.76 (2.30-3.22),99,98.02,3.06 (2.70-3.42),3.30,3.05
da like neurons 11,94,0.286,63.0,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,200,0.108,13.0,34,0,0.0,NA,34,100.0,3.89 (3.01-4.76),NA,3.49
endothelial cells 9,1653,0.148,66.0,297,3,1.01,3.27 (2.53-4.00),294,98.99,3.68 (3.47-3.89),4.90,5.52
oligodendrocytes 20,250,0.221,64.0,14,0,0.0,NA,14,100.0,1.92 (1.21-2.62),NA,4.81
GABA like neurons 14,3052,0.035,1.0,125,3,2.4,3.37 (3.00-3.73),122,97.6,3.35 (3.02-3.68),4.53,8.71
astrocytes 8,603,0.047,19.0,89,5,5.62,1.10 (0.88-1.32),84,94.38,2.90 (2.54-3.26),5.38,6.08
oligodendrocyte progenitor cells 12,254,0.36,72.0,37,8,21.62,2.78 (2.46-3.09),29,78.38,5.09 (4.49-5.70),2.08,2.58
oligodendrocytes 10,2107,0.151,52.0,358,30,8.38,1.83 (1.37-2.28),328,91.62,4.12 (3.93-4.31),23.44,8.20
connective tissue cells 21,250,0.213,21.0,117,15,12.82,3.42 (2.82-4.02),102,87.18,5.76 (5.35-6.16),3.49,3.77
astrocytes 15,1768,0.194,99.0,105,19,18.1,2.05 (1.56-2.54),86,81.9,3.49 (3.12-3.87),4.85,3.79
oligodendrocytes 16,69,0.228,56.0,1,0,0.0,NA,1,100.0,NA,NA,1.56
da neurons 6,448,0.156,85.0,43,0,0.0,NA,43,100.0,3.28 (2.76-3.80),NA,3.47
astrocytes microglia 23,166,0.304,57.0,7,2,28.57,2.53 (2.34-2.73),5,71.43,5.03 (4.70-5.36),2.59,5.26
astrocytes 4,752,0.154,51.0,96,0,0.0,NA,96,100.0,3.29 (2.96-3.62),NA,4.32
oligodendrocytes 0,309,0.142,59.0,30,0,0.0,NA,30,100.0,6.09 (5.49-6.69),NA,2.87
microglia 1,1615,0.127,74.0,161,22,13.66,1.60 (1.11-2.09),139,86.34,3.61 (3.34-3.87),10.90,4.57
oligodendrocytes 3,854,0.135,86.0,76,3,3.95,2.11 (0.24-3.98),73,96.05,2.81 (2.48-3.14),4.05,4.75
oligodendrocytes 2,347,0.108,5.0,15,0,0.0,NA,15,100.0,4.87 (4.10-5.63),NA,2.37
