tipo_celular,module_size,AP3D1_MM,AP3D1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,172,0.216,65.0,140,21,15.0,4.07 (3.46-4.68),119,85.0,4.60 (4.11-5.10),3.85,3.52
T cells 18,282,0.193,61.0,241,16,6.64,4.03 (3.63-4.43),225,93.36,4.06 (3.79-4.33),3.25,4.42
astrocytes 5,932,0.099,36.0,80,1,1.25,5.10 (NA-NA),79,98.75,3.65 (3.24-4.06),1.90,4.33
oligodendrocyte progenitor cells 7,4285,0.127,38.0,353,49,13.88,2.98 (2.56-3.40),304,86.12,4.09 (3.89-4.29),15.44,6.88
GABA neurons expressing GLU receptors 22,848,0.147,22.0,262,49,18.7,3.73 (3.33-4.12),213,81.3,4.28 (3.99-4.57),5.37,3.81
GLU like neurons 17,1247,0.135,51.0,51,2,3.92,2.04 (1.96-2.12),49,96.08,3.70 (3.11-4.30),2.73,3.26
da like neurons 11,853,0.172,73.0,133,9,6.77,1.47 (0.62-2.33),124,93.23,3.41 (3.09-3.72),5.09,4.09
GABA neurons expressing GABA receptors 13,77,0.155,36.0,8,6,75.0,3.08 (1.87-4.30),2,25.0,3.52 (NA-NA),1.83,1.56
endothelial cells 9,338,0.076,16.0,191,25,13.09,3.86 (3.51-4.22),166,86.91,3.89 (3.63-4.15),4.06,9.93
oligodendrocytes 20,228,0.193,49.0,5,2,40.0,1.10 (-0.55-2.76),3,60.0,4.69 (2.53-6.85),1.93,2.82
GABA like neurons 14,2090,0.151,48.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32),NA,10.50
astrocytes 8,1266,0.071,39.0,66,11,16.67,1.44 (0.60-2.28),55,83.33,3.65 (3.26-4.04),3.53,2.84
oligodendrocyte progenitor cells 12,3303,0.04,7.0,276,41,14.86,3.77 (3.36-4.18),235,85.14,3.49 (3.24-3.74),6.15,4.93
oligodendrocytes 10,735,0.134,71.0,277,2,0.72,4.40 (4.40-4.40),275,99.28,3.89 (3.64-4.13),1.70,9.00
connective tissue cells 21,100,0.19,17.0,8,0,0.0,NA,8,100.0,1.58 (-0.37-3.52),NA,1.97
astrocytes 15,1401,0.11,71.0,96,6,6.25,3.24 (2.39-4.09),90,93.75,3.64 (3.16-4.12),3.07,3.85
oligodendrocytes 16,91,0.173,30.0,1,0,0.0,NA,1,100.0,7.70 (NA-NA),NA,5.09
da neurons 6,307,0.164,79.0,95,6,6.32,4.69 (3.81-5.57),89,93.68,4.86 (4.39-5.32),3.12,3.38
astrocytes microglia 23,80,0.244,8.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,721,0.172,85.0,61,4,6.56,2.87 (1.31-4.42),57,93.44,2.97 (2.54-3.40),2.52,6.27
oligodendrocytes 0,2078,0.116,54.0,238,18,7.56,3.64 (3.07-4.21),220,92.44,3.64 (3.40-3.87),5.67,4.97
microglia 1,813,0.085,11.0,79,6,7.59,2.88 (2.23-3.52),73,92.41,3.12 (2.69-3.56),3.16,8.29
oligodendrocytes 3,357,0.112,62.0,127,0,0.0,NA,127,100.0,3.12 (2.79-3.45),NA,4.24
oligodendrocytes 2,407,0.147,43.0,122,12,9.84,1.64 (0.77-2.51),110,90.16,3.55 (3.15-3.95),3.03,2.66
