tipo_celular,module_size,KMT2A_MM,KMT2A_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,159,0.195,40.0,18,0,0.0,NA,18,100.0,2.04 (1.57-2.51),NA,3.27
T cells 18,388,0.223,80.0,84,13,15.48,3.18 (2.52-3.85),71,84.52,2.94 (2.57-3.30),2.30,4.69
astrocytes 5,1141,0.092,8.0,166,50,30.12,2.58 (2.25-2.90),116,69.88,3.83 (3.52-4.14),5.64,4.08
oligodendrocyte progenitor cells 7,666,0.054,2.0,127,8,6.3,1.66 (0.86-2.46),119,93.7,4.00 (3.66-4.33),4.52,5.93
GABA neurons expressing GLU receptors 22,459,0.095,18.0,165,10,6.06,2.63 (1.76-3.49),155,93.94,5.30 (4.96-5.64),4.63,4.05
GLU like neurons 17,1247,0.158,67.0,51,2,3.92,4.07 (NA-NA),49,96.08,3.61 (3.02-4.21),1.59,3.30
da like neurons 11,853,0.126,47.0,133,56,42.11,2.29 (1.98-2.61),77,57.89,4.07 (3.66-4.49),5.51,3.18
GABA neurons expressing GABA receptors 13,93,0.222,84.0,2,0,0.0,NA,2,100.0,NA,NA,2.07
endothelial cells 9,1653,0.104,30.0,297,15,5.05,4.20 (3.31-5.09),282,94.95,3.66 (3.45-3.87),4.27,5.58
oligodendrocytes 20,250,0.168,45.0,14,0,0.0,NA,14,100.0,1.92 (1.21-2.62),NA,4.81
GABA like neurons 14,1300,0.205,50.0,306,23,7.52,2.43 (1.93-2.94),283,92.48,5.36 (5.11-5.62),6.70,6.71
astrocytes 8,1266,0.073,41.0,66,25,37.88,2.20 (1.72-2.68),41,62.12,4.03 (3.54-4.52),3.69,2.50
oligodendrocyte progenitor cells 12,218,0.363,79.0,1,1,100.0,2.68 (NA-NA),0,0.0,NA,2.31,NA
oligodendrocytes 10,2107,0.124,40.0,358,96,26.82,2.25 (2.00-2.51),262,73.18,4.53 (4.35-4.71),19.81,5.69
connective tissue cells 21,111,0.166,3.0,26,4,15.38,2.52 (1.93-3.12),22,84.62,2.53 (1.71-3.35),2.89,2.04
astrocytes 15,1401,0.115,74.0,96,8,8.33,3.00 (2.31-3.69),88,91.67,3.68 (3.19-4.17),2.58,3.91
oligodendrocytes 16,74,0.16,27.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,448,0.174,91.0,43,5,11.63,3.67 (3.42-3.92),38,88.37,3.22 (2.61-3.82),3.08,3.52
astrocytes microglia 23,253,0.164,5.0,47,10,21.28,2.99 (2.21-3.76),37,78.72,2.80 (2.43-3.16),2.46,3.25
astrocytes 4,752,0.124,12.0,96,17,17.71,3.08 (2.68-3.48),79,82.29,3.35 (2.94-3.75),2.63,4.68
oligodendrocytes 0,1186,0.173,89.0,300,21,7.0,3.73 (3.02-4.44),279,93.0,3.80 (3.58-4.01),4.51,4.13
microglia 1,1615,0.113,55.0,161,66,40.99,2.22 (1.95-2.49),95,59.01,4.26 (3.96-4.57),8.77,3.11
oligodendrocytes 3,357,0.202,90.0,127,14,11.02,3.94 (2.87-5.01),113,88.98,3.08 (2.74-3.42),3.87,4.28
oligodendrocytes 2,407,0.175,69.0,122,64,52.46,2.14 (1.88-2.41),58,47.54,4.99 (4.48-5.51),3.07,2.30
