tipo_celular,module_size,GOLGA3_MM,GOLGA3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,181,0.213,53.0,8,0,0.0,NA,8,100.0,1.27 (0.48-2.07),NA,4.68
T cells 18,624,0.1,13.0,142,0,0.0,NA,142,100.0,3.21 (2.94-3.48),NA,4.30
astrocytes 5,1656,0.111,42.0,136,1,0.74,3.31 (NA-NA),135,99.26,3.21 (2.93-3.48),2.54,5.01
oligodendrocyte progenitor cells 7,4285,0.157,81.0,353,23,6.52,2.00 (1.46-2.54),330,93.48,4.06 (3.88-4.25),32.71,6.35
GABA neurons expressing GLU receptors 22,714,0.171,45.0,17,5,29.41,2.70 (2.17-3.23),12,70.59,2.15 (1.35-2.94),2.48,4.02
GLU like neurons 17,300,0.19,53.0,16,5,31.25,2.70 (2.17-3.23),11,68.75,1.74 (0.48-3.00),2.13,2.62
da like neurons 11,853,0.066,4.0,133,12,9.02,1.69 (1.03-2.34),121,90.98,3.44 (3.12-3.76),5.81,4.00
GABA neurons expressing GABA receptors 13,238,0.095,9.0,36,0,0.0,NA,36,100.0,3.88 (3.35-4.40),NA,17.22
endothelial cells 9,385,0.094,40.0,275,19,6.91,1.74 (1.15-2.33),256,93.09,4.18 (3.92-4.44),12.22,5.41
oligodendrocytes 20,358,0.285,89.0,31,0,0.0,NA,31,100.0,2.36 (1.93-2.79),NA,3.83
GABA like neurons 14,2090,0.152,48.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32),NA,10.50
astrocytes 8,260,0.102,37.0,4,2,50.0,1.10 (-0.55-2.76),2,50.0,3.78 (NA-NA),2.39,1.78
oligodendrocyte progenitor cells 12,3303,0.073,43.0,276,13,4.71,2.15 (1.65-2.65),263,95.29,3.63 (3.40-3.85),17.02,4.52
oligodendrocytes 10,735,0.053,14.0,277,0,0.0,NA,277,100.0,3.89 (3.65-4.14),NA,8.95
connective tissue cells 21,85,0.295,45.0,3,0,0.0,NA,3,100.0,1.74 (1.73-1.75),NA,3.74
astrocytes 15,443,0.107,15.0,9,1,11.11,0.95 (NA-NA),8,88.89,3.60 (2.32-4.88),3.96,2.00
oligodendrocytes 16,121,0.225,58.0,3,0,0.0,NA,3,100.0,2.94 (1.35-4.53),NA,2.09
da neurons 6,448,0.132,75.0,43,0,0.0,NA,43,100.0,3.28 (2.76-3.80),NA,3.47
astrocytes microglia 23,63,0.295,33.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,1807,0.157,73.0,104,11,10.58,2.17 (1.55-2.79),93,89.42,2.95 (2.65-3.25),14.48,4.32
oligodendrocytes 0,2078,0.124,71.0,238,1,0.42,3.31 (NA-NA),237,99.58,3.64 (3.42-3.86),2.14,5.03
microglia 1,813,0.102,31.0,79,4,5.06,2.81 (1.68-3.94),75,94.94,3.12 (2.70-3.54),4.64,8.08
oligodendrocytes 3,681,0.069,25.0,87,13,14.94,1.91 (1.34-2.49),74,85.06,2.71 (2.42-3.01),8.64,3.47
oligodendrocytes 2,1630,0.15,67.0,154,1,0.65,4.40 (NA-NA),153,99.35,3.24 (2.97-3.50),2.04,3.60
