tipo_celular,module_size,LTN1_MM,LTN1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,125,0.218,54.0,1,0,0.0,NA,1,100.0,0.55 (NA-NA),NA,3.32
T cells 18,610,0.171,64.0,98,23,23.47,2.32 (1.71-2.93),75,76.53,3.40 (3.06-3.75),4.85,3.79
astrocytes 5,1656,0.167,99.0,136,5,3.68,1.93 (1.13-2.73),131,96.32,3.26 (2.99-3.54),6.65,4.92
oligodendrocyte progenitor cells 7,4285,0.176,96.0,353,42,11.9,2.19 (1.75-2.62),311,88.1,4.14 (3.96-4.33),18.86,6.61
GABA neurons expressing GLU receptors 22,848,0.184,40.0,262,16,6.11,2.92 (2.15-3.69),246,93.89,4.27 (4.01-4.52),5.01,4.04
GLU like neurons 17,1316,0.056,3.0,101,2,1.98,3.29 (1.80-4.78),99,98.02,3.05 (2.69-3.40),4.16,3.03
da like neurons 11,1220,0.08,7.0,410,17,4.15,3.19 (2.63-3.75),393,95.85,4.31 (4.11-4.50),11.69,7.33
GABA neurons expressing GABA receptors 13,357,0.098,14.0,237,2,0.84,4.25 (2.46-6.04),235,99.16,4.41 (4.17-4.64),4.97,4.18
endothelial cells 9,412,0.081,8.0,141,0,0.0,NA,141,100.0,2.96 (2.72-3.20),NA,6.82
oligodendrocytes 20,330,0.114,24.0,36,4,11.11,1.94 (0.66-3.22),32,88.89,1.92 (1.55-2.28),2.29,3.23
GABA like neurons 14,3052,0.172,77.0,125,4,3.2,3.56 (NA-NA),121,96.8,3.35 (3.02-3.68),3.86,8.77
astrocytes 8,771,0.079,30.0,48,0,0.0,NA,48,100.0,4.43 (3.68-5.18),NA,3.14
oligodendrocyte progenitor cells 12,3303,0.11,83.0,276,29,10.51,2.45 (1.94-2.96),247,89.49,3.68 (3.45-3.91),8.98,4.66
oligodendrocytes 10,483,0.071,24.0,129,4,3.1,3.79 (2.68-4.90),125,96.9,3.41 (3.01-3.82),54.17,18.07
connective tissue cells 21,84,0.363,84.0,1,0,0.0,NA,1,100.0,NA,NA,1.55
astrocytes 15,338,0.041,4.0,14,0,0.0,NA,14,100.0,1.77 (1.03-2.51),NA,5.71
oligodendrocytes 16,74,0.114,7.0,1,0,0.0,NA,1,100.0,NA,NA,1.34
da neurons 6,518,0.144,80.0,122,20,16.39,2.68 (2.04-3.33),102,83.61,4.32 (3.89-4.76),3.26,3.53
astrocytes microglia 23,96,0.273,28.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,1807,0.151,63.0,104,18,17.31,1.96 (1.41-2.51),86,82.69,3.07 (2.77-3.38),7.88,4.88
oligodendrocytes 0,1186,0.146,52.0,300,2,0.67,NA,298,99.33,3.79 (3.59-4.00),2.49,4.17
microglia 1,958,0.091,19.0,290,9,3.1,2.63 (1.91-3.34),281,96.9,3.86 (3.63-4.10),5.72,4.98
oligodendrocytes 3,1003,0.087,41.0,111,4,3.6,3.56 (NA-NA),107,96.4,3.30 (2.95-3.65),3.66,4.25
oligodendrocytes 2,921,0.136,46.0,200,3,1.5,2.26 (0.99-3.53),197,98.5,3.65 (3.38-3.92),5.42,3.43
