tipo_celular,module_size,AP2A2_MM,AP2A2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,500,0.422,97.0,32,5,15.62,4.63 (3.36-5.90),27,84.38,3.52 (2.62-4.41),2.21,3.87
T cells 18,624,0.101,14.0,142,0,0.0,NA,142,100.0,3.21 (2.94-3.48),NA,4.30
astrocytes 5,932,0.09,20.0,80,1,1.25,5.10 (NA-NA),79,98.75,3.65 (3.24-4.06),1.90,4.33
oligodendrocyte progenitor cells 7,296,0.14,24.0,251,9,3.59,5.58 (4.86-6.29),242,96.41,4.03 (3.79-4.27),2.93,6.27
GABA neurons expressing GLU receptors 22,848,0.215,52.0,262,27,10.31,3.51 (2.91-4.11),235,89.69,4.25 (3.98-4.52),5.95,3.89
GLU like neurons 17,489,0.091,19.0,42,0,0.0,NA,42,100.0,5.99 (5.44-6.55),NA,3.21
da like neurons 11,853,0.116,38.0,133,10,7.52,2.18 (0.90-3.45),123,92.48,3.36 (3.04-3.67),5.83,4.03
GABA neurons expressing GABA receptors 13,265,0.192,68.0,78,14,17.95,3.45 (2.77-4.13),64,82.05,4.59 (4.12-5.05),3.75,4.38
endothelial cells 9,658,0.091,10.0,120,4,3.33,2.48 (2.12-2.84),116,96.67,4.69 (4.37-5.01),3.16,3.67
oligodendrocytes 20,279,0.143,25.0,16,0,0.0,NA,16,100.0,2.38 (1.63-3.13),NA,3.48
GABA like neurons 14,2402,0.176,33.0,455,38,8.35,3.14 (2.57-3.71),417,91.65,4.48 (4.29-4.67),17.92,8.01
astrocytes 8,520,0.117,50.0,288,45,15.62,3.85 (3.33-4.37),243,84.38,4.24 (4.02-4.45),7.38,4.19
oligodendrocyte progenitor cells 12,1049,0.083,43.0,235,15,6.38,3.58 (3.12-4.05),220,93.62,3.84 (3.59-4.09),3.35,7.90
oligodendrocytes 10,806,0.184,59.0,261,26,9.96,3.53 (2.97-4.09),235,90.04,4.48 (4.22-4.74),8.26,5.82
connective tissue cells 21,73,0.309,64.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,1768,0.043,8.0,105,9,8.57,1.95 (1.10-2.80),96,91.43,3.34 (2.99-3.69),5.12,3.87
oligodendrocytes 16,313,0.194,40.0,291,29,9.97,3.16 (2.74-3.58),262,90.03,4.48 (4.24-4.71),6.72,3.49
da neurons 6,300,0.195,62.0,159,11,6.92,4.49 (3.94-5.04),148,93.08,4.35 (4.02-4.69),3.69,3.73
astrocytes microglia 23,109,0.286,33.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,721,0.133,18.0,61,1,1.64,5.10 (NA-NA),60,98.36,2.93 (2.52-3.34),1.48,6.10
oligodendrocytes 0,2078,0.074,2.0,238,7,2.94,3.12 (1.86-4.39),231,97.06,3.65 (3.43-3.88),6.86,4.97
microglia 1,346,0.103,16.0,43,4,9.3,4.32 (3.14-5.50),39,90.7,3.70 (3.15-4.25),3.27,4.61
oligodendrocytes 3,457,0.075,24.0,345,42,12.17,3.90 (3.44-4.36),303,87.83,4.33 (4.10-4.56),7.39,5.46
oligodendrocytes 2,99,0.106,7.0,116,2,1.72,5.57 (NA-NA),114,98.28,3.94 (3.64-4.24),2.31,7.32
