tipo_celular,module_size,PABPC1_MM,PABPC1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,395,0.198,71.0,97,5,5.15,4.35 (2.63-6.06),92,94.85,3.00 (2.60-3.40),2.99,5.01
T cells 18,518,0.281,96.0,131,10,7.63,3.42 (2.93-3.91),121,92.37,3.05 (2.75-3.34),4.01,4.82
astrocytes 5,328,0.093,11.0,128,4,3.12,3.45 (2.49-4.40),124,96.88,3.57 (3.22-3.93),13.01,6.56
oligodendrocyte progenitor cells 7,4285,0.126,35.0,353,82,23.23,2.89 (2.50-3.27),271,76.77,4.29 (4.10-4.47),14.76,6.04
GABA neurons expressing GLU receptors 22,848,0.211,51.0,262,29,11.07,2.86 (2.13-3.59),233,88.93,4.30 (4.04-4.55),6.64,3.79
GLU like neurons 17,685,0.094,25.0,135,52,38.52,2.52 (2.15-2.89),83,61.48,3.64 (3.23-4.06),4.84,3.07
da like neurons 11,197,0.215,56.0,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,86,0.14,26.0,4,0,0.0,NA,4,100.0,3.07 (1.41-4.72),NA,4.82
endothelial cells 9,916,0.115,19.0,302,9,2.98,3.38 (1.88-4.88),293,97.02,4.00 (3.77-4.23),9.97,10.67
oligodendrocytes 20,358,0.116,32.0,31,2,6.45,3.01 (2.80-3.22),29,93.55,2.31 (1.85-2.77),1.95,3.96
GABA like neurons 14,2402,0.252,56.0,455,57,12.53,2.68 (2.18-3.18),398,87.47,4.61 (4.43-4.80),17.50,7.59
astrocytes 8,727,0.077,29.0,29,2,6.9,1.82 (NA-NA),27,93.1,2.39 (1.88-2.90),2.73,3.61
oligodendrocyte progenitor cells 12,1049,0.169,79.0,235,21,8.94,3.28 (2.82-3.73),214,91.06,3.88 (3.63-4.12),12.44,7.14
oligodendrocytes 10,483,0.432,93.0,129,12,9.3,4.09 (2.95-5.23),117,90.7,3.36 (2.95-3.78),20.28,19.08
connective tissue cells 21,116,0.343,77.0,2,0,0.0,NA,2,100.0,0.40 (0.12-0.68),NA,1.74
astrocytes 15,338,0.161,59.0,14,1,7.14,4.40 (NA-NA),13,92.86,1.55 (0.90-2.20),1.93,6.00
oligodendrocytes 16,69,0.187,45.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,448,0.098,46.0,43,5,11.63,3.90 (3.68-4.13),38,88.37,3.18 (2.58-3.78),3.01,3.53
astrocytes microglia 23,137,0.328,37.0,188,24,12.77,1.93 (1.42-2.45),164,87.23,4.84 (4.51-5.17),14.56,6.06
astrocytes 4,787,0.144,38.0,65,1,1.54,NA,64,98.46,2.96 (2.57-3.36),1.43,5.81
oligodendrocytes 0,613,0.146,54.0,127,31,24.41,3.01 (2.42-3.60),96,75.59,3.07 (2.52-3.62),3.26,7.25
microglia 1,406,0.236,59.0,278,4,1.44,3.66 (2.44-4.88),274,98.56,4.38 (4.10-4.65),24.64,6.47
oligodendrocytes 3,743,0.102,74.0,76,5,6.58,3.46 (1.62-5.30),71,93.42,3.15 (2.74-3.55),1.88,7.67
oligodendrocytes 2,528,0.152,20.0,175,18,10.29,3.79 (2.88-4.71),157,89.71,4.45 (4.07-4.82),9.80,4.03
