tipo_celular,module_size,CAPZA1_MM,CAPZA1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,181,0.11,4.0,8,0,0.0,NA,8,100.0,1.27 (0.48-2.07),NA,4.68
T cells 18,518,0.14,39.0,131,0,0.0,NA,131,100.0,3.07 (2.80-3.35),NA,4.75
astrocytes 5,1141,0.138,61.0,166,10,6.02,2.39 (1.47-3.31),156,93.98,3.47 (3.21-3.73),3.22,4.63
oligodendrocyte progenitor cells 7,4285,0.131,44.0,353,20,5.67,1.66 (1.16-2.16),333,94.33,4.07 (3.89-4.25),23.53,7.14
GABA neurons expressing GLU receptors 22,599,0.234,64.0,22,0,0.0,NA,22,100.0,2.24 (1.45-3.03),NA,3.95
GLU like neurons 17,685,0.139,56.0,135,13,9.63,2.22 (0.94-3.50),122,90.37,3.26 (2.95-3.57),5.11,3.60
da like neurons 11,200,0.132,24.0,8,0,0.0,NA,8,100.0,NA,NA,1.62
GABA neurons expressing GABA receptors 13,65,0.116,15.0,2,0,0.0,NA,2,100.0,4.02 (3.45-4.59),NA,18.27
endothelial cells 9,412,0.147,37.0,141,4,2.84,1.53 (0.29-2.76),137,97.16,3.01 (2.77-3.25),6.04,6.84
oligodendrocytes 20,279,0.18,40.0,16,0,0.0,NA,16,100.0,2.38 (1.63-3.13),NA,3.48
GABA like neurons 14,3052,0.176,80.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68),NA,8.61
astrocytes 8,577,0.066,33.0,83,1,1.2,0.87 (NA-NA),82,98.8,3.29 (2.84-3.74),1.30,4.51
oligodendrocyte progenitor cells 12,3303,0.097,72.0,276,12,4.35,2.10 (1.24-2.95),264,95.65,3.62 (3.40-3.84),5.45,5.09
oligodendrocytes 10,2107,0.131,43.0,358,21,5.87,1.39 (0.98-1.80),337,94.13,4.07 (3.89-4.26),20.63,8.78
connective tissue cells 21,104,0.311,65.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,1768,0.102,65.0,105,8,7.62,1.53 (0.89-2.17),97,92.38,3.36 (3.02-3.71),4.98,3.90
oligodendrocytes 16,91,0.164,26.0,1,0,0.0,NA,1,100.0,7.70 (NA-NA),NA,5.09
da neurons 6,228,0.109,61.0,2,0,0.0,NA,2,100.0,2.12 (-0.17-4.40),NA,1.99
astrocytes microglia 23,255,0.269,57.0,57,2,3.51,3.79 (NA-NA),55,96.49,2.63 (2.26-2.99),1.95,3.38
astrocytes 4,721,0.153,52.0,61,3,4.92,2.12 (1.37-2.87),58,95.08,3.01 (2.58-3.44),2.87,6.18
oligodendrocytes 0,1186,0.138,38.0,300,5,1.67,3.56 (2.66-4.47),295,98.33,3.80 (3.59-4.01),7.21,4.10
microglia 1,480,0.14,24.0,163,2,1.23,5.21 (1.69-8.73),161,98.77,3.69 (3.42-3.95),1.87,5.21
oligodendrocytes 3,639,0.073,29.0,15,5,33.33,0.85 (0.13-1.56),10,66.67,4.86 (3.58-6.13),2.83,1.91
oligodendrocytes 2,921,0.141,58.0,200,6,3.0,3.89 (2.92-4.85),194,97.0,3.61 (3.34-3.89),2.12,3.51
