tipo_celular,module_size,ROBO1_MM,ROBO1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,305.0,0.276,77.0,15,5,33.33,6.20 (5.24-7.16),10,66.67,5.45 (4.46-6.44),2.10,2.46
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,165.0,0.145,32.0,51,3,5.88,6.45 (4.60-8.31),48,94.12,5.25 (4.55-5.96),1.85,3.02
oligodendrocyte progenitor cells 7,436.0,0.042,2.0,219,47,21.46,5.47 (4.88-6.07),172,78.54,5.13 (4.80-5.46),6.40,4.12
GABA neurons expressing GLU receptors 22,459.0,0.416,99.0,165,27,16.36,3.59 (2.81-4.38),138,83.64,5.44 (5.09-5.78),3.62,4.18
GLU like neurons 17,489.0,0.351,95.0,42,20,47.62,6.28 (5.50-7.07),22,52.38,5.61 (4.85-6.37),3.51,2.95
da like neurons 11,289.0,0.289,86.0,6,0,0.0,NA,6,100.0,2.89 (2.54-3.24),NA,2.16
GABA neurons expressing GABA receptors 13,288.0,0.136,30.0,93,45,48.39,4.84 (4.19-5.49),48,51.61,5.56 (4.82-6.31),5.35,2.64
endothelial cells 9,450.0,0.29,67.0,74,21,28.38,5.90 (4.99-6.80),53,71.62,5.23 (4.54-5.93),5.59,2.86
oligodendrocytes 20,676.0,0.732,98.0,110,43,39.09,4.81 (4.15-5.46),67,60.91,5.18 (4.57-5.79),4.40,2.96
GABA like neurons 14,1300.0,0.211,53.0,306,83,27.12,4.67 (4.17-5.18),223,72.88,5.32 (5.02-5.61),10.59,5.26
astrocytes 8,771.0,0.269,76.0,48,9,18.75,6.72 (4.95-8.49),39,81.25,3.84 (3.14-4.54),3.28,3.11
oligodendrocyte progenitor cells 12,411.0,0.199,58.0,103,23,22.33,5.98 (4.99-6.98),80,77.67,5.43 (5.02-5.84),3.69,2.91
oligodendrocytes 10,236.0,0.353,18.0,82,31,37.8,5.02 (4.41-5.64),51,62.2,4.97 (4.19-5.76),3.07,4.30
connective tissue cells 21,183.0,0.556,97.0,32,5,15.62,4.72 (2.74-6.69),27,84.38,5.20 (4.52-5.87),1.63,2.86
astrocytes 15,377.0,0.167,62.0,14,0,0.0,NA,14,100.0,2.14 (0.89-3.38),NA,2.45
oligodendrocytes 16,287.0,0.238,33.0,105,49,46.67,4.70 (4.06-5.34),56,53.33,5.71 (5.26-6.16),3.90,3.10
da neurons 6,398.0,0.185,62.0,138,46,33.33,3.89 (3.36-4.41),92,66.67,5.41 (4.96-5.86),2.73,2.74
astrocytes microglia 23,49.0,0.231,13.0,1,0,0.0,NA,1,100.0,6.09 (NA-NA),NA,1.31
astrocytes 4,752.0,0.176,85.0,96,15,15.62,3.67 (2.92-4.42),81,84.38,3.20 (2.83-3.56),2.54,4.65
oligodendrocytes 0,479.0,0.135,36.0,40,20,50.0,6.27 (5.40-7.13),20,50.0,5.46 (4.95-5.97),3.47,3.47
microglia 1,127.0,0.163,42.0,24,8,33.33,5.06 (3.76-6.36),16,66.67,5.25 (4.41-6.08),2.75,2.33
oligodendrocytes 3,99.0,0.227,47.0,24,11,45.83,7.40 (6.72-8.08),13,54.17,5.20 (4.66-5.75),2.34,2.13
oligodendrocytes 2,348.0,0.433,96.0,114,60,52.63,5.30 (4.80-5.80),54,47.37,4.86 (4.17-5.55),5.82,2.80
